family,arch,seed,checkpoint,arm,role,group,n,mean_gain,repeated_nll,unrepeated_control_nll,normalized_gain_by_control,gain_sd,gain_se
copy,RBT,43022,chck_100M,RBT_V_43022,V,span_4,1000,0.5127154740327969,4.215106420813128,4.727821894845925,0.10844644435352738,0.769975896002547,0.02434877574796986
copy,RBT,43022,chck_60M,RBT_C_43022,C,span_4,1000,0.26067876908183096,5.600796175807714,5.861474944889546,0.04447323779983218,0.5393527840441503,0.017055832599324368
copy,RBT,43022,chck_60M,RBT_R_43022,R,span_4,1000,0.46428075051307677,5.873706431746482,6.3379871822595595,0.07325365879764303,0.5801023012869676,0.01834444547972044
copy,RBT,43022,chck_60M,RBT_V_43022,V,span_4,1000,0.3874027185440064,5.939240551829338,6.326643270373345,0.06123353285274533,0.5940558087988772,0.018785694130579476
copy,RBT,43022,chck_70M,RBT_C_43022,C,span_4,1000,0.36625878540612755,4.7976222776155915,5.163881063021719,0.07092703742324498,0.6102818908578989,0.019298807898652508
copy,RBT,43022,chck_70M,RBT_R_43022,R,span_4,1000,0.4763146726191044,5.800239639550448,6.2765543121695515,0.0758879233619603,0.6417436085246563,0.020293714767933624
copy,RBT,43022,chck_70M,RBT_V_43022,V,span_4,1000,0.3753175945021212,5.370736416548491,5.746054011050612,0.06531744981518159,0.6707098894551283,0.021209708998779556
copy,RBT,43022,chck_80M,RBT_C_43022,C,span_4,1000,0.48820348825328985,4.1971521052685565,4.685355593521846,0.10419774518892416,0.7347635926851903,0.023235264946534356
copy,RBT,43022,chck_80M,RBT_R_43022,R,span_4,1000,0.3921707733273506,5.832597103983164,6.224767877310515,0.06300167027220824,0.5521924487939681,0.01746185844934837
copy,RBT,43022,chck_80M,RBT_V_43022,V,span_4,1000,0.4491241944488138,4.495024305028841,4.944148499477655,0.0908395438559872,0.7040574551595566,0.022264251619260666
copy,RBT,43022,chck_90M,RBT_C_43022,C,span_4,1000,0.5353713948579971,4.0473786973315296,4.582750092189526,0.11682317038636722,0.7744469584793917,0.02449016315784729
copy,RBT,43022,chck_90M,RBT_R_43022,R,span_4,1000,0.35742338907718657,5.839589163497091,6.197012552574277,0.05767672504208672,0.5612460161854415,0.017748157388417223
copy,RBT,43022,chck_90M,RBT_V_43022,V,span_4,1000,0.5070678117843345,4.252482576198876,4.75955038798321,0.10653691429857874,0.7636124601677541,0.024147546238147053
