arch,seed,checkpoint,contrast,pair_id,n_tokens_a,n_tokens_b,gain_delta,true_delta,unrelated_delta,excess_true_cost
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009574,2,2,-4.261157155036926,3.932469964027405,-0.3286871910095215,4.261157155036926
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009667,2,2,-0.8312184810638426,0.9320988655090332,0.10088038444519043,0.8312184810638428
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009730,1,1,-4.01862907409668,4.451555252075195,0.4329261779785174,4.018629074096678
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009810,2,2,-1.1199321746826172,0.741511344909668,-0.3784208297729492,1.1199321746826172
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009848,2,2,0.7041311264038087,-0.5359644889831543,0.1681666374206543,-0.7041311264038086
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009853,2,2,-1.4447894096374512,2.1289722919464102,0.68418288230896,1.4447894096374503
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_009910,2,2,-0.32030296325683594,1.3257575035095215,1.0054545402526864,0.32030296325683505
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010011,2,2,1.873213291168213,-1.266444206237793,0.6067690849304199,-1.873213291168213
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010025,2,2,-1.7598518729209898,0.5845577120780945,-1.1752941608428955,1.75985187292099
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010041,2,2,-3.0412373542785645,2.943615198135376,-0.09762215614318848,3.0412373542785645
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010260,2,2,-0.3726886622607708,0.023771893233060837,-0.34891676902770996,0.3726886622607708
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010288,1,1,-1.0486869812011719,-0.943903923034668,-1.9925909042358416,1.0486869812011737
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010322,2,2,0.7110421657562256,-1.5273122787475595,-0.816270112991333,-0.7110421657562265
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010456,2,2,-1.9030816555023193,1.305978775024414,-0.5971028804779053,1.9030816555023193
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010504,2,2,1.319047451019287,-2.872044086456299,-1.5529966354370117,-1.319047451019287
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010622,2,2,-3.130146622657776,3.0704637765884417,-0.05968284606933594,3.1301466226577777
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_010685,1,1,-0.22104167938232422,0.1909494400024414,-0.030092239379882812,0.22104167938232422
