family,arch,seed,group,contrast,checkpoint_set,n_checkpoints,checkpoints,n_items_per_checkpoint_min,mean_gain_delta,sd_across_checkpoints_gain_delta,se_across_checkpoints_gain_delta,checkpoint_values_gain_delta,mean_normalized_gain_delta,sd_across_checkpoints_normalized_gain_delta,se_across_checkpoints_normalized_gain_delta,checkpoint_values_normalized_gain_delta,mean_unrepeated_control_nll_delta_a_minus_b,sd_across_checkpoints_unrepeated_control_nll_delta_a_minus_b,se_across_checkpoints_unrepeated_control_nll_delta_a_minus_b,checkpoint_values_unrepeated_control_nll_delta_a_minus_b,mean_repeated_nll_delta_a_minus_b,sd_across_checkpoints_repeated_nll_delta_a_minus_b,se_across_checkpoints_repeated_nll_delta_a_minus_b,checkpoint_values_repeated_nll_delta_a_minus_b
copy,RBT,43022,ALL,CminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,0.1669075481556744,0.04664209336297556,0.0269288251586816,chck_100M:0.197993;chck_80M:0.113276;chck_90M:0.189454,0.05423524553154709,0.010397279257265813,0.00600287197802213,chck_100M:0.0611678;chck_80M:0.0422803;chck_90M:0.0592577,-1.4862716996046366,0.050267067844569406,0.02902170515143533,chck_100M:-1.5234;chck_80M:-1.42907;chck_90M:-1.50635,-1.6531792477603109,0.0968341206768006,0.05590720563949154,chck_100M:-1.72139;chck_80M:-1.54235;chck_90M:-1.6958
copy,RBT,43022,ALL,RminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,-0.1669075481556744,0.04664209336297556,0.0269288251586816,chck_100M:-0.197993;chck_80M:-0.113276;chck_90M:-0.189454,-0.05423524553154709,0.010397279257265813,0.00600287197802213,chck_100M:-0.0611678;chck_80M:-0.0422803;chck_90M:-0.0592577,1.4862716996046366,0.050267067844569406,0.02902170515143533,chck_100M:1.5234;chck_80M:1.42907;chck_90M:1.50635,1.6531792477603109,0.0968341206768006,0.05590720563949154,chck_100M:1.72139;chck_80M:1.54235;chck_90M:1.6958
copy,RBT,43022,ALL,RminusV,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,-0.14858863105329997,0.05555069438760971,0.032072208358357106,chck_100M:-0.186186;chck_80M:-0.084782;chck_90M:-0.174798,-0.04631484796967222,0.012812471196189704,0.007397283694104452,chck_100M:-0.0550364;chck_80M:-0.0316047;chck_90M:-0.0523034,1.3037946831717466,0.09771034439695327,0.056413093640192015,chck_100M:1.37405;chck_80M:1.19221;chck_90M:1.34512,1.4523833142250464,0.15322377072914578,0.08846378527672183,chck_100M:1.56023;chck_80M:1.27699;chck_90M:1.51992
copy,RBT,43022,ALL,VminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,-0.018318917102374446,0.00892622454704553,0.005153558145083783,chck_100M:-0.011807;chck_80M:-0.028494;chck_90M:-0.0146558,-0.00792039756187488,0.002421284762473274,0.0013979294093986838,chck_100M:-0.00613133;chck_80M:-0.0106756;chck_90M:-0.00695427,0.1824770164328899,0.04746803967995852,0.02740568548712789,chck_100M:0.14935;chck_80M:0.236858;chck_90M:0.161223,0.20079593353526434,0.05638969640728722,0.03255660640026855,chck_100M:0.161157;chck_80M:0.265352;chck_90M:0.175879
copy,RBT,43022,ALL,VminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,0.14858863105329997,0.05555069438760971,0.032072208358357106,chck_100M:0.186186;chck_80M:0.084782;chck_90M:0.174798,0.04631484796967222,0.012812471196189704,0.007397283694104452,chck_100M:0.0550364;chck_80M:0.0316047;chck_90M:0.0523034,-1.3037946831717466,0.09771034439695327,0.056413093640192015,chck_100M:-1.37405;chck_80M:-1.19221;chck_90M:-1.34512,-1.4523833142250464,0.15322377072914578,0.08846378527672183,chck_100M:-1.56023;chck_80M:-1.27699;chck_90M:-1.51992
copy,RBT,43022,span_1,CminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.18046985976250532,0.04349037510913085,0.025109179776414497,chck_100M:0.20993;chck_80M:0.130519;chck_90M:0.20096,0.054793910516980904,0.0098364081417699,0.005679052888509878,chck_100M:0.0614202;chck_80M:0.0434918;chck_90M:0.0594698,-1.3760229352576812,0.05001115657470799,0.028873954710892182,chck_100M:-1.41091;chck_80M:-1.31873;chck_90M:-1.39843,-1.5564927950201868,0.09349602256846963,0.05397995379806527,chck_100M:-1.62084;chck_80M:-1.44925;chck_90M:-1.59939
copy,RBT,43022,span_1,RminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,-0.18046985976250532,0.04349037510913085,0.025109179776414497,chck_100M:-0.20993;chck_80M:-0.130519;chck_90M:-0.20096,-0.054793910516980904,0.0098364081417699,0.005679052888509878,chck_100M:-0.0614202;chck_80M:-0.0434918;chck_90M:-0.0594698,1.3760229352576812,0.05001115657470799,0.028873954710892182,chck_100M:1.41091;chck_80M:1.31873;chck_90M:1.39843,1.5564927950201868,0.09349602256846963,0.05397995379806527,chck_100M:1.62084;chck_80M:1.44925;chck_90M:1.59939
copy,RBT,43022,span_1,RminusV,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,-0.17441129253835727,0.05378861379957662,0.031054870656522383,chck_100M:-0.210671;chck_80M:-0.112611;chck_90M:-0.199952,-0.04988371031128464,0.012522506863871108,0.0072298727087849205,chck_100M:-0.0583195;chck_80M:-0.0354952;chck_90M:-0.0558364,1.210158634301896,0.09270893516667716,0.05352552867476463,chck_100M:1.27389;chck_80M:1.1038;chck_90M:1.25279,1.3845699268402532,0.14649410225299492,0.08457840937045918,chck_100M:1.48456;chck_80M:1.21641;chck_90M:1.45274
copy,RBT,43022,span_1,VminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,-0.00605856722414804,0.010299634752510351,0.005946496896916676,chck_100M:0.000740941;chck_80M:-0.0179086;chck_90M:-0.00100803,-0.0049102002056962595,0.002686098723861259,0.0015508198212912084,chck_100M:-0.00310062;chck_80M:-0.00799655;chck_90M:-0.00363343,0.16586430095578544,0.04270439459091745,0.024655393712646186,chck_100M:0.137024;chck_80M:0.214923;chck_90M:0.145646,0.1719228681799335,0.05300295285328412,0.030601269097688632,chck_100M:0.136283;chck_80M:0.232832;chck_90M:0.146654
copy,RBT,43022,span_1,VminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.17441129253835727,0.05378861379957662,0.031054870656522383,chck_100M:0.210671;chck_80M:0.112611;chck_90M:0.199952,0.04988371031128464,0.012522506863871108,0.0072298727087849205,chck_100M:0.0583195;chck_80M:0.0354952;chck_90M:0.0558364,-1.210158634301896,0.09270893516667716,0.05352552867476463,chck_100M:-1.27389;chck_80M:-1.1038;chck_90M:-1.25279,-1.3845699268402532,0.14649410225299492,0.08457840937045918,chck_100M:-1.48456;chck_80M:-1.21641;chck_90M:-1.45274
