column,subtask,n_items,score_70,score_72,score_74,score_76,score_78,score_80,score_82,score_84,score_86,score_88,score_90
BLiMP,left_branch_island_echo_question,947,30.517423442449843,29.46145723336853,32.312565997888065,33.47412882787751,30.20063357972545,28.93347412882788,29.3558606124604,29.778247096092926,29.250263991552274,30.30623020063358,31.784582893347412
BLiMP,left_branch_island_simple_question,951,52.78654048370137,45.42586750788644,47.10830704521556,45.2155625657203,47.423764458464774,49.63196635120926,47.94952681388013,47.84437434279706,49.31650893796004,49.42166140904311,50.683491062039955
BLiMP,matrix_question_npi_licensor_present,929,27.664155005382128,33.3692142088267,32.400430570505925,31.216361679224974,31.216361679224974,32.18514531754575,41.01184068891281,38.32077502691066,35.952637244348765,35.414424111948335,33.692142088266955
BLiMP,npi_present_1,909,20.792079207920793,19.691969196919693,20.022002200220022,20.68206820682068,20.13201320132013,17.601760176017603,23.1023102310231,21.232123212321234,19.691969196919693,22.772277227722775,20.13201320132013
BLiMP,npi_present_2,914,30.63457330415755,27.13347921225383,30.962800875273523,31.50984682713348,31.50984682713348,27.680525164113785,31.291028446389497,31.400437636761485,29.540481400437635,32.38512035010941,31.50984682713348
BLiMP,only_npi_licensor_present,882,53.74149659863946,48.52607709750567,46.3718820861678,40.702947845804985,39.342403628117914,37.188208616780045,41.269841269841265,42.63038548752834,42.17687074829932,41.950113378684804,40.022675736961446
BLiMP,only_npi_scope,837,67.62246117084827,69.77299880525688,57.94504181600956,66.06929510155317,63.799283154121866,69.41457586618877,68.81720430107528,67.62246117084827,66.30824372759857,67.14456391875747,66.78614097968936
BLiMP,passive_1,840,77.5,76.90476190476191,77.02380952380953,76.78571428571429,76.30952380952381,76.19047619047619,76.66666666666667,75.71428571428571,76.90476190476191,77.5,77.5
BLiMP,passive_2,903,72.53599114064231,71.20708748615725,71.42857142857143,71.76079734219269,73.421926910299,73.421926910299,72.42524916943522,73.31118493909192,73.64341085271317,72.53599114064231,73.86489479512736
BLiMP,principle_A_c_command,946,51.26849894291755,47.56871035940804,50.10570824524313,50.63424947145877,52.21987315010571,49.89429175475687,50.7399577167019,49.15433403805497,48.837209302325576,49.04862579281184,50.0
BLiMP,principle_A_case_1,912,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BLiMP,principle_A_case_2,915,78.14207650273224,77.81420765027323,79.01639344262294,79.45355191256832,79.12568306010928,80.76502732240436,80.87431693989072,81.74863387978142,80.5464480874317,80.76502732240436,79.78142076502732
BLiMP,principle_A_domain_1,914,87.96498905908096,81.83807439824945,82.93216630196937,86.32385120350109,88.51203501094092,90.48140043763676,89.16849015317287,90.48140043763676,89.05908096280088,89.05908096280088,88.07439824945295
BLiMP,principle_A_domain_2,915,55.95628415300546,53.77049180327869,55.30054644808743,56.0655737704918,55.62841530054645,57.267759562841526,56.393442622950815,57.595628415300546,56.50273224043716,56.830601092896174,56.284153005464475
BLiMP,principle_A_domain_3,941,54.30393198724761,54.19766206163656,51.2221041445271,53.028692879914985,53.56004250797024,56.00425079702445,55.366631243358135,56.64187035069076,56.429330499468655,55.15409139213603,55.260361317747076
BLiMP,principle_A_reconstruction,967,35.8841778697001,32.988624612202685,40.641158221302994,38.986556359875905,47.88004136504654,42.08893485005171,40.33092037228542,40.5377456049638,45.39813857290589,43.64012409513961,43.53671147880041
BLiMP,regular_plural_subject_verb_agreement_1,890,77.19101123595506,75.1685393258427,77.64044943820225,76.85393258426966,77.64044943820225,76.62921348314606,76.06741573033707,76.51685393258427,76.62921348314606,76.40449438202246,76.62921348314606
BLiMP,regular_plural_subject_verb_agreement_2,945,69.84126984126983,70.37037037037037,70.47619047619048,70.8994708994709,70.15873015873015,70.58201058201058,69.84126984126983,70.58201058201058,71.11111111111111,70.37037037037037,69.94708994708995
BLiMP,sentential_negation_npi_licensor_present,919,97.71490750816105,95.6474428726877,97.27965179542981,98.4766050054407,97.49727965179544,97.60609357997824,98.04134929270947,96.95321001088139,96.51795429815017,96.30032644178455,97.170837867247
BLiMP,sentential_negation_npi_scope,871,84.3857634902411,85.76349024110218,85.87830080367394,87.48564867967853,83.23765786452354,84.27095292766934,85.4190585533869,85.64867967853043,83.81171067738232,86.10792192881746,86.22273249138921
