arm,epoch,subset,n,joint_correct,a_correct,b_correct,a_only_right,b_only_right,one_right,both_wrong,gated_fraction,prior_b_fraction,mean_a_margin,mean_b_margin,old_expected_joint,old_gating_count
answer_corrupt_update_state,10,both_entities_in_source_115,115,14,65,64,51,50,101,0,0.12174,0.49505,0.1907634108839379,0.2993991137584875,36.17391304347826,-22.173913043478258
answer_corrupt_update_state,10,not_both_entities_in_source_85,85,11,43,53,32,42,74,0,0.12941,0.56757,0.010315620596764578,0.6120188761362991,26.811764705882354,-15.811764705882354
answer_corrupt_update_state,15,all_pairs,200,30,113,117,83,87,170,0,0.15,0.51176,0.286654413084637,0.42940151730865356,66.105,-36.105000000000004
answer_corrupt_update_state,15,updated_entity_in_source_119,119,15,69,65,54,50,104,0,0.12605,0.48077,0.35144435980425315,0.3095073003395814,37.6890756302521,-22.6890756302521
answer_corrupt_update_state,15,updated_entity_not_in_source_81,81,15,44,52,29,37,66,0,0.18519,0.56061,0.19146918271878122,0.60554240396692,28.246913580246915,-13.246913580246915
answer_corrupt_update_state,15,both_entities_in_source_115,115,14,66,63,52,49,101,0,0.12174,0.48515,0.3375901307081539,0.2986234560121935,36.15652173913043,-22.156521739130433
answer_corrupt_update_state,15,not_both_entities_in_source_85,85,16,47,54,31,38,69,0,0.18824,0.55072,0.2177413833587024,0.606336541415629,29.858823529411765,-13.858823529411765
answer_corrupt_update_state,20,all_pairs,200,30,116,113,86,83,169,1,0.15,0.49112,0.4379425030621907,0.42770255911637445,65.54,-35.540000000000006
answer_corrupt_update_state,20,updated_entity_in_source_119,119,13,71,60,58,47,105,1,0.10924,0.44762,0.4877522472302475,0.30068125077815,35.79831932773109,-22.798319327731093
answer_corrupt_update_state,20,updated_entity_not_in_source_81,81,17,45,53,28,36,64,0,0.20988,0.5625,0.3647652245930701,0.6143141108725314,29.444444444444443,-12.444444444444443
answer_corrupt_update_state,20,both_entities_in_source_115,115,12,69,58,57,46,103,0,0.10435,0.4466,0.47685117181386005,0.28658156407804436,34.8,-22.799999999999997
answer_corrupt_update_state,20,not_both_entities_in_source_85,85,18,47,55,29,37,66,1,0.21176,0.56061,0.38530136298640266,0.6186309641682328,30.41176470588235,-12.411764705882351
