endpoint,form,token_kind,distance_bin,row_length_bin,tokens,kl_mean,kl_sd_pop,kl_max
dense64_u0080,coherent_no_special,content,none,128-255,8525,0.003345769087104887,0.015581257713537525,0.4217878580093384
dense64_u0080,coherent_no_special,content,none,>=256,2048,0.0012964733088264395,0.005810183088008741,0.10370858013629913
dense64_u0080,short_add_special,content,1,0-15,38,0.007683768189604291,0.027419859999495578,0.1696731597185135
dense64_u0080,short_add_special,content,1,16-31,32,0.008877064246476607,0.027199541290074937,0.13792935013771057
dense64_u0080,short_add_special,content,1,32-63,22,0.008475407263678004,0.02308344056404584,0.10110489279031754
dense64_u0080,short_add_special,content,1,64-127,4,0.03030125271925499,0.029297247096005778,0.07483431696891785
dense64_u0080,short_add_special,content,16-31,32-63,124,0.02508099451464872,0.11041820950063812,0.852754533290863
dense64_u0080,short_add_special,content,16-31,64-127,64,0.012234035155199052,0.0331050180087915,0.17323090136051178
dense64_u0080,short_add_special,content,2-3,0-15,65,0.03739521132418986,0.2765941958870055,2.2494843006134033
dense64_u0080,short_add_special,content,2-3,16-31,64,0.0032922898852518756,0.0145779672633592,0.11574189364910126
dense64_u0080,short_add_special,content,2-3,32-63,44,0.006451643447400618,0.022739651376859557,0.14146888256072998
dense64_u0080,short_add_special,content,2-3,64-127,8,0.04333421353862832,0.11075494175915704,0.33634015917778015
dense64_u0080,short_add_special,content,32-63,64-127,28,0.0043283885392578925,0.009016961547304959,0.03614158183336258
dense64_u0080,short_add_special,content,4-7,0-15,31,0.0031639126714216835,0.00768882993810747,0.03633657097816467
dense64_u0080,short_add_special,content,4-7,16-31,128,0.010330160123187326,0.035676026548087256,0.3151863217353821
dense64_u0080,short_add_special,content,4-7,32-63,88,0.008432147141483236,0.0495633420604256,0.4643840193748474
dense64_u0080,short_add_special,content,4-7,64-127,16,0.006780261181347669,0.013148323656753638,0.051033779978752136
dense64_u0080,short_add_special,content,8-15,16-31,105,0.006175894417910535,0.019009884741509667,0.1447007656097412
dense64_u0080,short_add_special,content,8-15,32-63,176,0.008770042278734215,0.03190088990539642,0.24229207634925842
dense64_u0080,short_add_special,content,8-15,64-127,32,0.003158637951045762,0.007621010054452788,0.03332170099020004
dense64_u0080,short_add_special,special,0,0-15,38,0.0441093348092277,0.06476267402332535,0.3839499056339264
dense64_u0080,short_add_special,special,0,16-31,32,0.07350935213617049,0.08846891960827413,0.37997210025787354
dense64_u0080,short_add_special,special,0,32-63,22,0.03653381177520549,0.0346756591723719,0.1230042576789856
dense64_u0080,short_add_special,special,0,64-127,4,0.03577949811005965,0.03457518311156393,0.09001299738883972
dense65_u0080,coherent_add_special,content,1,128-255,78,0.010508936906255975,0.029354903111891126,0.1590982973575592
dense65_u0080,coherent_add_special,content,1,>=256,18,0.0007733734713042395,0.00251571916678403,0.011098944582045078
dense65_u0080,coherent_add_special,content,16-31,128-255,1248,0.0036941693700578314,0.018786479180630564,0.30676648020744324
dense65_u0080,coherent_add_special,content,16-31,>=256,288,0.0010210852213574403,0.003404125090268532,0.027337390929460526
dense65_u0080,coherent_add_special,content,2-3,128-255,156,0.0028998647509763777,0.011107616308175854,0.1078028678894043
dense65_u0080,coherent_add_special,content,2-3,>=256,36,0.0003327686769853955,0.0010244634490194364,0.005723727401345968
dense65_u0080,coherent_add_special,content,32-63,128-255,2496,0.004050542872337768,0.018634356437925322,0.38579416275024414
dense65_u0080,coherent_add_special,content,32-63,>=256,576,0.0016019471140583169,0.006873150063534949,0.10254967212677002
dense65_u0080,coherent_add_special,content,4-7,128-255,312,0.005355225504213461,0.023787719737727794,0.2784595191478729
dense65_u0080,coherent_add_special,content,4-7,>=256,72,0.0018496732494405815,0.006840967566111875,0.050984762609004974
dense65_u0080,coherent_add_special,content,64-127,128-255,3356,0.0037703849834769356,0.02176365952191847,0.6526716351509094
dense65_u0080,coherent_add_special,content,64-127,>=256,1152,0.0010262872728106995,0.004509110638909013,0.0815562903881073
dense65_u0080,coherent_add_special,content,8-15,128-255,624,0.005398073137897057,0.02433756158911714,0.2970844507217407
