checkpoint,checkpoint_elapsed_sec,example_id,full_nll,full_nll_delta_chck100_minus_chck82,ig_r16,ig_r16_delta_chck100_minus_chck82,ig_r4,ig_r4_delta_chck100_minus_chck82,ig_r8,ig_r8_delta_chck100_minus_chck82,item_id,local_r16_nll,local_r4_nll,local_r8_nll,log_sample_freq,position,position_frac,row_index,row_words,sample_freq,seq_len,source,target_context_count,target_id,target_token
chck82,3.236175775527954,43307,0.7380877137184143,-0.04938703775405884,0.8872190117835999,0.07146197557449341,0.3161999583244324,-0.07930982112884521,0.5651089549064636,0.010124385356903076,row52171:tok132:id451,1.6253067255020142,1.0542876720428467,1.303196668624878,4.5217885770490405,132,0.5569620253164557,52171,160,91,238,open_subtitles,2,451,'m
chck82,3.236175775527954,310564,0.9944980144500732,-0.008481264114379883,2.214970827102661,0.09989476203918457,3.120438814163208,0.02881455421447754,2.4916832447052,0.07831931114196777,row52970:tok37:id2347,3.2094688415527344,4.114936828613281,3.4861812591552734,1.9459101490553132,37,0.19473684210526315,52970,148,6,191,qwen_pair_packed,0,2347,ĠAlthough
chck82,3.236175775527954,310564,5.610512733459473,0.0029091835021972656,-0.33534669876098633,-0.030182361602783203,-1.5307836532592773,-0.18503785133361816,0.038125038146972656,0.16456079483032227,row52970:tok88:id765,5.275166034698486,4.079729080200195,5.648637771606445,2.772588722239781,88,0.4631578947368421,52970,148,15,191,qwen_pair_packed,0,765,Ġunder
chck82,3.236175775527954,310564,11.315043449401855,-0.005539894104003906,-2.362863540649414,-0.562281608581543,-2.0900402069091797,-0.10260009765625,-0.9213151931762695,-0.5991945266723633,row52970:tok133:id13886,8.952179908752441,9.225003242492676,10.393728256225586,1.3862943611198906,133,0.7,52970,148,3,191,qwen_pair_packed,1,13886,Ġfilling
chck82,3.236175775527954,310564,0.06139926612377167,0.02025952935218811,-0.05518824001774192,-0.019847690127789974,0.6102170497179031,0.4422083795070648,0.5977488309144974,-0.035131484270095825,row52970:tok184:id195,0.006211026106029749,0.6716163158416748,0.659148097038269,7.3658128372094716,184,0.968421052631579,52970,148,1580,191,qwen_pair_packed,9,195,Ġthe
chck82,3.236175775527954,18219,0.38285180926322937,0.08714720606803894,1.9047026932239532,-0.19033882021903992,-0.10447147488594055,-0.11975772678852081,0.9010966122150421,0.09510651230812073,row53066:tok27:id235,2.2875545024871826,0.2783803343772888,1.2839484214782715,6.541029999189903,27,0.1067193675889328,53066,160,692,254,childes,13,235,CHI
chck82,3.236175775527954,18219,0.37725192308425903,-0.18960770964622498,-0.012107312679290771,0.033849745988845825,0.11044606566429138,0.08794677257537842,0.22251319885253906,-0.018117249011993408,row53066:tok145:id3500,0.36514461040496826,0.4876979887485504,0.5997651219367981,0.6931471805599453,145,0.5731225296442688,53066,160,1,254,childes,0,3500,Ġbackground
chck82,3.236175775527954,18219,6.280951499938965,-0.3680591583251953,0.0949859619140625,-0.16829967498779297,-1.1369118690490723,-0.2240462303161621,0.8299708366394043,0.09348058700561523,row53066:tok203:id5402,6.375937461853027,5.144039630889893,7.110922336578369,0.6931471805599453,203,0.8023715415019763,53066,160,1,254,childes,0,5402,Ġeleven
chck82,3.236175775527954,18219,0.3943185806274414,0.16672444343566895,0.937768816947937,0.6225718259811401,-0.2054392695426941,-0.14531581103801727,-0.2677527368068695,-0.15112964808940887,row53066:tok252:id249,1.3320873975753784,0.18887931108474731,0.1265658438205719,6.244166900663736,252,0.9960474308300395,53066,160,514,254,childes,1,249,'s
chck82,3.236175775527954,35402,8.434337615966797,0.28644466400146484,0.14681529998779297,-0.10905838012695312,0.9890613555908203,-0.2791910171508789,0.7669448852539062,-0.2882118225097656,row53197:tok47:id6127,8.58115291595459,9.423398971557617,9.201282501220703,0.6931471805599453,47,0.22065727699530516,53197,160,1,214,gutenberg,0,6127,Ġshel
chck82,3.236175775527954,35402,8.677464485168457,-0.18415164947509766,0.6824569702148438,0.0682821273803711,-1.9145212173461914,0.29059600830078125,1.7062368392944336,0.4594459533691406,row53197:tok150:id4757,9.3599214553833,6.762943267822266,10.38370132446289,0.6931471805599453,150,0.704225352112676,53197,160,1,214,gutenberg,0,4757,Ġmerely
chck82,3.236175775527954,35402,6.768808364868164,-0.2673525810241699,-0.5620908737182617,0.5177669525146484,2.1428632736206055,-0.0595250129699707,1.8780012130737305,0.7425007820129395,row53197:tok155:id8330,6.206717491149902,8.91167163848877,8.646809577941895,0.6931471805599453,155,0.7276995305164319,53197,160,1,214,gutenberg,0,8330,Ġfriendship
chck82,3.236175775527954,35402,0.0008632985409349203,-0.00028315605595707893,-0.00010493822628632188,9.383278666064143e-06,-0.00010958389611914754,0.00023955735377967358,-0.00012471218360587955,6.796035449951887e-07,row53197:tok170:id213,0.0007583603146485984,0.0007537146448157728,0.0007385863573290408,6.777646593635117,170,0.7981220657276995,53197,160,877,214,gutenberg,8,213,Ġto
chck82,3.236175775527954,23936,5.457517623901367,0.06809425354003906,0.3076305389404297,0.19126415252685547,1.0181331634521484,-0.3659663200378418,-0.08174800872802734,0.029625415802001953,row53282:tok8:id490,5.765148162841797,6.475650787353516,5.37576961517334,4.007333185232471,8,0.04040404040404041,53282,160,54,199,gutenberg,0,490,Ġlook
chck82,3.236175775527954,23936,2.0386221408843994,0.24230051040649414,-0.020865678787231445,-0.0933842658996582,-0.03560185432434082,-0.21022772789001465,-0.28026890754699707,-0.062364816665649414,row53282:tok70:id5235,2.017756462097168,2.0030202865600586,1.7583532333374023,1.791759469228055,70,0.35353535353535354,53282,160,5,199,gutenberg,0,5235,Ġanxious
chck82,3.236175775527954,23936,1.5331947803497314,0.07742691040039062,0.4324897527694702,0.02723371982574463,0.45589494705200195,0.0609438419342041,-0.11825394630432129,-0.009100794792175293,row53282:tok109:id533,1.9656845331192017,1.9890897274017334,1.4149408340454102,4.110873864173311,109,0.5505050505050505,53282,160,60,199,gutenberg,0,533,Ġtime
chck82,3.236175775527954,23936,0.15707920491695404,-0.04126457870006561,0.012104243040084839,-0.028318330645561218,0.20704855024814606,-0.09295108914375305,0.1429695039987564,-0.07670286297798157,row53282:tok128:id413,0.16918344795703888,0.3641277551651001,0.30004870891571045,4.3694478524670215,128,0.6464646464646465,53282,160,78,199,gutenberg,0,413,Ġdid
chck82,3.236175775527954,28424,5.742301940917969,-0.2244396209716797,0.32846879959106445,0.11284494400024414,-0.6254339218139648,0.23970603942871094,0.6189579963684082,0.14197874069213867,row53620:tok8:id381,6.070770740509033,5.116868019104004,6.361259937286377,4.624972813284271,8,0.042328042328042326,53620,160,101,190,gutenberg,0,381,Ġthere
chck82,3.236175775527954,28424,1.5902336835861206,0.12329983711242676,0.1063227653503418,-0.01934230327606201,-0.08036863803863525,-0.10208415985107422,-0.2775704860687256,-0.011887907981872559,row53620:tok57:id389,1.6965564489364624,1.5098650455474854,1.312663197517395,4.762173934797756,57,0.30158730158730157,53620,160,116,190,gutenberg,0,389,Ġbut
chck82,3.236175775527954,28424,1.7485136985778809,-0.26678359508514404,1.081045150756836,-0.25578200817108154,1.984659194946289,0.14255034923553467,0.25455236434936523,0.008058786392211914,row53620:tok70:id431,2.829558849334717,3.73317289352417,2.003066062927246,4.110873864173311,70,0.37037037037037035,53620,160,60,190,gutenberg,0,431,Ġwho
chck82,3.236175775527954,28424,5.312256813049316,-0.11284160614013672,-0.41553735733032227,0.07415962219238281,0.5616540908813477,0.18940448760986328,-0.058680057525634766,0.008896827697753906,row53620:tok114:id2170,4.896719455718994,5.873910903930664,5.253576755523682,1.6094379124341003,114,0.6031746031746031,53620,160,4,190,gutenberg,0,2170,Ġpassed
chck82,3.236175775527954,309280,0.3423421084880829,0.04298827052116394,8.154303818941116,-0.40044543147087097,9.83483436703682,-0.8494686782360077,9.2001431286335,-0.4577431380748749,row53853:tok24:id4829,8.4966459274292,10.177176475524902,9.542485237121582,1.3862943611198906,24,0.11707317073170732,53853,148,3,206,qwen_pair_packed,1,4829,Ġindividual
chck82,3.236175775527954,309280,6.093432903289795,-0.4330410957336426,0.27848005294799805,-0.07144927978515625,1.3306641578674316,0.24303054809570312,1.065131664276123,-0.1757040023803711,row53853:tok70:id12207,6.371912956237793,7.424097061157227,7.158564567565918,0.6931471805599453,70,0.34146341463414637,53853,148,1,206,qwen_pair_packed,0,12207,Ġdemocracy
