family,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain
copy,D_R_43122,chck_100M,43122,R,domain_bnc_spoken,180,4.707298635026058,0.42024177237180993,5.127540407397868,3.7947693789740278,0.2828454096773529
copy,D_R_43122,chck_100M,43122,R,domain_childes,642,2.8836160092921177,0.20208893533013075,3.0857049446222486,3.4305952033725893,0.135394792814157
copy,D_R_43122,chck_100M,43122,R,domain_gutenberg,468,4.976624600032136,0.18211410650259588,5.158738706534732,4.331344087380708,0.20021645126575535
copy,D_R_43122,chck_100M,43122,R,domain_open_subtitles,434,5.086733740394517,0.28421614195528916,5.370949882349806,4.315136256740287,0.20713316869098744
copy,D_R_43122,chck_100M,43122,R,domain_simple_wiki,272,4.8171399277930735,0.18662201881829787,5.003761946611371,4.932521513101824,0.2990780470463274
copy,D_R_43122,chck_100M,43122,R,domain_switchboard,4,3.2033346199896187,0.02476044953800738,3.228095069527626,2.759049955896445,1.3795249779482226
copy,D_R_43122,chck_100M,43122,R,span_1,1000,4.331782472045212,0.32654115399200373,4.658323626037216,4.481333809196279,0.14171221792578662
copy,D_R_43122,chck_100M,43122,R,span_4,1000,4.226590915210952,0.1382828998854054,4.364873815096358,3.9302113054200993,0.12428419410871183
copy,D_R_43122,chck_80M,43122,R,ALL,2000,4.307701968534677,0.24800168725201582,4.555703655786693,4.219872751342224,0.09435922328400279
copy,D_R_43122,chck_80M,43122,R,domain_bnc_spoken,180,4.701208568725269,0.45816093641559646,5.159369505140866,3.7776173143539102,0.2815669702625178
copy,D_R_43122,chck_80M,43122,R,domain_childes,642,2.9121549518796424,0.21457411647576383,3.1267290683554063,3.443974651469789,0.13592283751068873
copy,D_R_43122,chck_80M,43122,R,domain_gutenberg,468,5.013992550072428,0.19692791434468573,5.210920464417113,4.33645018346493,0.20045248064074392
copy,D_R_43122,chck_80M,43122,R,domain_open_subtitles,434,5.140655650574784,0.30050937185890264,5.441165022433687,4.338328577721861,0.20824643572321805
copy,D_R_43122,chck_80M,43122,R,domain_simple_wiki,272,4.819818878507336,0.19515579081380163,5.014974669321138,4.908363707653784,0.29761326493536583
copy,D_R_43122,chck_80M,43122,R,domain_switchboard,4,2.749778713681735,0.028029192588292062,2.777807906270027,1.961501052341425,0.9807505261707125
copy,D_R_43122,chck_80M,43122,R,span_1,1000,4.404806846451118,0.34716419059588044,4.7519710370469985,4.512375305730644,0.14269383623607476
copy,D_R_43122,chck_80M,43122,R,span_4,1000,4.2105970906182355,0.1488391839081512,4.359436274526387,3.9031093323968173,0.12342715447033173
copy,D_R_43122,chck_90M,43122,R,ALL,2000,4.278936018238308,0.23462003241361004,4.513556050651918,4.209504394074603,0.09412737976734875
copy,D_R_43122,chck_90M,43122,R,domain_bnc_spoken,180,4.706078535740218,0.425078759760072,5.131157295500291,3.803921382319373,0.28352755973103616
copy,D_R_43122,chck_90M,43122,R,domain_childes,642,2.8775969159097836,0.20401853342144297,3.0816154493312267,3.4210678451421996,0.1350187779778972
copy,D_R_43122,chck_90M,43122,R,domain_gutenberg,468,4.981021047410642,0.18479055170420408,5.165811599114846,4.325459700100131,0.1999444453674886
copy,D_R_43122,chck_90M,43122,R,domain_open_subtitles,434,5.088030192057773,0.2851530076384457,5.373183199696219,4.304211531301395,0.20660876508873688
copy,D_R_43122,chck_90M,43122,R,domain_simple_wiki,272,4.820495962042314,0.1889754788955663,5.0094714409378795,4.927219493120523,0.2987565648637974
copy,D_R_43122,chck_90M,43122,R,domain_switchboard,4,3.215706203132868,0.026568960398435593,3.2422751635313034,2.6872812181597303,1.3436406090798652
copy,D_R_43122,chck_90M,43122,R,span_1,1000,4.321607970686675,0.3317143314455243,4.653322302132199,4.470054611355843,0.14135553837223228
copy,D_R_43122,chck_90M,43122,R,span_4,1000,4.23626406578994,0.13752573338169577,4.373789799171636,3.9312624521788977,0.12431743428784091
copy,D_V_43022,chck_100M,43022,V,ALL,2000,4.014276821363527,0.3784424102000573,4.392719231563584,4.085801879872711,0.0913613074599181
