pair_id,family,target_word,ord_word_pos,scr_word_pos,nll_ord_s,nll_scr_s,nll_ord,nll_scr,I_f,source_effect_ord,source_effect_scr,order_effect_with_source,order_effect_without_source,copy_zone,lex_class,source_match_bin,source_decile_min,source_decile_max,counterpart_visible,complete_bpe_copy,contentlike,min_visible_gap,family_x_copy_zone
compact:frontier_consolidation_fwcompact_medium_048043,sourcewide_onegap_vs_sourcewide_onegap_scrambled,it's,2,4,0.040038736537098885,4.767554044723511,0.3235492408275604,5.088491678237915,-0.03742712922394276,0.28351050429046154,0.3209376335144043,4.727515308186412,4.764942437410355,prefix_only,content,1_unique,1,1,True,True,True,19,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_058766,sourcewide_onegap_vs_sourcewide_onegap_scrambled,to,4,9,0.004291847813874483,1.9178186655044556,0.06268031150102615,4.297911643981934,-2.3217045147903264,0.05838846368715167,2.380092978477478,1.913526817690581,4.235231332480907,prefix_only,function,1_unique,6,6,True,True,False,18,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_058766,sourcewide_onegap_vs_sourcewide_onegap_scrambled,and,8,4,0.029862653464078903,11.253087043762207,3.7429046630859375,9.906065940856934,5.060063112527132,3.7130420096218586,-1.3470211029052734,11.223224390298128,6.163161277770996,both_prefix_tail,function,2_3,3,8,True,True,False,18,sourcewide_onegap_vs_sourcewide_onegap_scrambled/both_prefix_tail
compact:frontier_consolidation_fwcompact_medium_058766,sourcewide_onegap_vs_sourcewide_onegap_scrambled,larger,7,1,0.042634885758161545,14.219408988952637,3.553084373474121,14.17921257019043,3.5506459064781666,3.5104494877159595,-0.04019641876220703,14.176774103194475,10.626128196716309,tail_only,content,1_unique,8,8,True,True,True,18,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_058766,sourcewide_onegap_vs_sourcewide_onegap_scrambled,corms,5,6,0.04659948994716009,10.952922662099203,6.762233734130859,7.0559132893880205,10.612643616894882,6.7156342441837,-3.8970093727111825,10.906323172152042,0.29367955525716116,tail_only,content,1_unique,6,6,True,True,True,16,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_058766,sourcewide_onegap_vs_sourcewide_onegap_scrambled,similar,3,8,0.019751066341996193,7.614505290985107,2.2023327350616455,8.089460372924805,1.707626586779952,2.1825816687196493,0.47495508193969727,7.594754224643111,5.887127637863159,prefix_only,content,1_unique,5,5,True,True,True,18,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_016871,sourcewide_onegap_vs_sourcewide_onegap_scrambled,radiators.,25,22,0.9768836051225662,3.4368371764818826,5.848063786824544,8.268828550974527,0.03918880720933293,4.871180181701978,4.831991374492645,2.4599535713593164,2.4207647641499834,tail_only,content,2_3,6,9,True,True,True,31,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_016871,sourcewide_onegap_vs_sourcewide_onegap_scrambled,with,2,20,0.7897521257400513,4.012508392333984,6.125958442687988,4.152217864990234,5.196496844291687,5.336206316947937,0.13970947265625,3.222756266593933,-1.973740577697754,prefix_only,function,1_unique,0,0,True,True,False,47,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_016871,sourcewide_onegap_vs_sourcewide_onegap_scrambled,the,17,10,0.1542307585477829,0.9894006252288818,0.23361046612262726,1.7502952814102173,-0.6815149486064911,0.07937970757484436,0.7608946561813354,0.8351698666810989,1.51668481528759,both_prefix_tail,function,4plus,2,8,True,True,False,28,sourcewide_onegap_vs_sourcewide_onegap_scrambled/both_prefix_tail
compact:frontier_consolidation_fwcompact_medium_016871,sourcewide_onegap_vs_sourcewide_onegap_scrambled,distant,24,0,0.03594427928328514,12.051443099975586,6.620118141174316,11.79366397857666,6.841952983289957,6.584173861891031,-0.2577791213989258,12.0154988206923,5.173545837402344,tail_only,content,1_unique,9,9,True,True,True,33,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_016871,sourcewide_onegap_vs_sourcewide_onegap_scrambled,In,5,2,1.1914664506912231,12.94057559967041,9.142976760864258,13.20433235168457,7.6877535581588745,7.951510310173035,0.26375675201416016,11.749109148979187,4.0613555908203125,prefix_only,function,1_unique,1,1,True,True,False,47,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_052018,sourcewide_onegap_vs_sourcewide_onegap_scrambled,daily,9,10,0.2295949012041092,8.491178512573242,10.522645950317383,10.275232315063477,8.50899724662304,10.293051049113274,1.7840538024902344,8.261583611369133,-0.24741363525390625,tail_only,content,1_unique,7,7,True,True,True,20,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_052018,sourcewide_onegap_vs_sourcewide_onegap_scrambled,of,2,7,0.0017817826010286808,9.038741111755371,0.016526589170098305,8.14013671875,0.9133491995744407,0.014744806569069624,-0.8986043930053711,9.036959329154342,8.123610129579902,both_prefix_tail,function,4plus,0,8,True,True,False,7,sourcewide_onegap_vs_sourcewide_onegap_scrambled/both_prefix_tail
compact:frontier_consolidation_fwcompact_medium_052018,sourcewide_onegap_vs_sourcewide_onegap_scrambled,One,0,1,2.712162971496582,6.333746910095215,7.290767669677734,11.10586929321289,-0.19351768493652344,4.578604698181152,4.772122383117676,3.621583938598633,3.8151016235351562,prefix_only,capitalized_content,1_unique,0,0,True,True,True,34,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_052018,sourcewide_onegap_vs_sourcewide_onegap_scrambled,fresh,3,13,0.014829755760729313,10.951774597167969,6.541966438293457,10.14582347869873,7.333087801001966,6.527136682532728,-0.8059511184692383,10.93694484140724,3.6038570404052734,prefix_only,content,1_unique,1,1,True,True,True,34,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_052018,sourcewide_onegap_vs_sourcewide_onegap_scrambled,contains,5,0,1.003381371498108,8.78368091583252,5.3770012855529785,12.264809608459473,0.8924912214279175,4.373619914054871,3.481128692626953,7.780299544334412,6.887808322906494,prefix_only,content,1_unique,2,2,True,True,True,34,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_051634,sourcewide_onegap_vs_sourcewide_onegap_scrambled,Aphasia,0,4,0.41684537086014944,7.65077543258667,8.789572397867838,9.047592798868815,6.975909660725544,8.372727027007688,1.3968173662821446,7.233930061726521,0.25802040100097656,prefix_only,capitalized_content,1_unique,0,0,True,True,True,16,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_051634,sourcewide_onegap_vs_sourcewide_onegap_scrambled,is,1,1,0.2757212519645691,8.304049491882324,1.1470458507537842,10.809516906738281,-1.634142816066742,0.8713245987892151,2.505467414855957,8.028328239917755,9.662471055984497,prefix_only,function,1_unique,0,0,True,True,False,18,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_051634,sourcewide_onegap_vs_sourcewide_onegap_scrambled,control,5,5,0.19637295603752136,10.1903076171875,9.058616638183594,9.478874206542969,9.573677092790604,8.862243682146072,-0.7114334106445312,9.993934661149979,0.420257568359375,tail_only,content,1_unique,8,8,True,True,True,9,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_051634,sourcewide_onegap_vs_sourcewide_onegap_scrambled,that,4,6,0.09437863528728485,10.244540214538574,4.834327697753906,5.833140850067139,9.151348426938057,4.739949062466621,-4.4113993644714355,10.15016157925129,0.9988131523132324,tail_only,function,1_unique,8,8,True,True,False,9,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_051634,sourcewide_onegap_vs_sourcewide_onegap_scrambled,the,2,0,0.2015698403120041,10.781423568725586,0.6239556074142456,7.4226603507995605,3.781148985028267,0.4223857671022415,-3.3587632179260254,10.579853728413582,6.798704743385315,tail_only,function,2_3,5,6,True,True,False,9,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_054700,sourcewide_onegap_vs_sourcewide_onegap_scrambled,we,1,6,9.58112907409668,5.428023338317871,7.304035663604736,5.840767860412598,-2.68983793258667,-2.2770934104919434,0.41274452209472656,-4.153105735778809,-1.4632678031921387,prefix_only,function,1_unique,0,0,True,True,False,17,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_054700,sourcewide_onegap_vs_sourcewide_onegap_scrambled,Now,0,3,9.775339126586914,13.16598129272461,9.116800308227539,15.11728286743164,-2.6098403930664062,-0.658538818359375,1.9513015747070312,3.3906421661376953,6.000482559204102,prefix_only,capitalized_content,1_unique,0,0,True,True,True,17,sourcewide_onegap_vs_sourcewide_onegap_scrambled/prefix_only
compact:frontier_consolidation_fwcompact_medium_054700,sourcewide_onegap_vs_sourcewide_onegap_scrambled,will,5,2,0.052210789173841476,8.890603065490723,1.944352388381958,3.25594162940979,7.526803035289049,1.8921415992081165,-5.634661436080933,8.838392276316881,1.311589241027832,tail_only,function,1_unique,8,8,True,True,False,10,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
compact:frontier_consolidation_fwcompact_medium_054700,sourcewide_onegap_vs_sourcewide_onegap_scrambled,disappearing,4,5,0.15860360115766525,10.616456747055054,8.58290696144104,9.978994131088257,9.061765976250172,8.424303360283375,-0.6374626159667969,10.457853145897388,1.3960871696472168,tail_only,content,1_unique,7,7,True,True,True,9,sourcewide_onegap_vs_sourcewide_onegap_scrambled/tail_only
