row_pos,masked_tokens_cpu_proxy,masked_source_tokens_cpu_proxy,masked_view_tokens_cpu_proxy,masked_other_tokens_cpu_proxy,selected_groups_cpu_proxy
594,25,18,7,0,22
595,29,11,18,0,22
596,25,18,7,0,17
597,44,25,19,0,33
598,34,21,13,0,21
599,31,22,9,0,21
600,23,16,7,0,20
601,30,19,11,0,24
602,22,14,8,0,19
603,26,17,9,0,18
604,33,14,19,0,24
605,28,16,12,0,24
606,29,20,9,0,20
607,38,26,12,0,30
608,34,19,15,0,27
609,47,22,25,0,34
610,30,17,13,0,22
611,17,7,10,0,14
612,57,29,28,0,31
613,44,18,26,0,28
614,31,21,10,0,18
615,33,17,16,0,23
616,33,19,14,0,25
617,30,19,11,0,25
618,44,17,27,0,26
619,29,15,14,0,19
620,25,14,11,0,18
621,25,14,11,0,12
622,32,21,11,0,23
623,35,19,16,0,20
624,31,24,7,0,21
625,41,32,9,0,25
626,39,27,12,0,26
627,30,23,7,0,18
628,15,9,6,0,12
629,27,18,9,0,22
630,42,22,20,0,20
631,14,7,7,0,13
632,19,11,8,0,17
633,19,10,9,0,15
634,38,25,13,0,25
635,24,10,14,0,18
636,30,17,13,0,25
637,20,10,10,0,14
638,31,16,15,0,23
639,21,12,9,0,16
640,20,8,12,0,15
641,33,18,15,0,18
642,33,23,10,0,24
643,46,24,22,0,27
644,21,19,2,0,17
645,27,13,14,0,18
646,40,32,8,0,23
647,32,18,14,0,25
648,27,18,9,0,18
649,26,16,10,0,17
650,29,11,18,0,22
651,27,21,6,0,19
652,18,12,6,0,12
653,29,16,13,0,18
654,33,26,7,0,24
655,33,22,11,0,20
656,29,23,6,0,24
657,24,16,8,0,19
658,22,15,7,0,17
659,22,14,8,0,18
660,25,13,12,0,21
661,33,19,14,0,27
662,30,26,4,0,22
663,41,27,14,0,23
664,24,13,8,3,15
665,36,18,18,0,27
666,42,23,19,0,26
667,17,10,7,0,14
668,18,14,4,0,15
669,35,24,11,0,24
670,29,23,6,0,23
671,33,18,15,0,25
672,48,30,18,0,31
673,24,13,11,0,16
674,49,29,20,0,26
675,44,34,10,0,31
676,21,13,8,0,19
677,35,20,15,0,27
678,32,19,13,0,24
679,38,24,14,0,25
680,45,33,12,0,28
681,31,21,10,0,20
682,23,15,8,0,18
683,38,25,13,0,22
684,35,23,12,0,25
685,36,17,19,0,25
686,27,16,11,0,19
687,37,17,20,0,28
688,33,17,16,0,25
689,37,20,17,0,21
690,29,16,13,0,20
691,32,19,13,0,25
692,21,13,8,0,19
693,19,15,4,0,16
694,24,17,7,0,19
695,26,21,5,0,18
696,23,11,12,0,19
697,34,18,16,0,26
698,47,23,24,0,28
699,20,14,6,0,15
700,40,27,13,0,29
701,34,22,12,0,18
702,19,13,6,0,10
703,34,18,16,0,19
704,28,18,10,0,18
705,23,18,5,0,21
706,33,22,11,0,20
707,26,18,8,0,19
708,47,23,18,6,29
709,31,15,16,0,18
710,28,16,12,0,24
711,36,21,15,0,19
712,23,12,11,0,18
713,15,11,4,0,12
714,39,28,11,0,18
715,35,27,8,0,24
716,25,14,11,0,19
717,24,13,11,0,18
718,45,32,13,0,30
719,27,13,14,0,23
720,28,15,13,0,21
721,26,14,12,0,21
722,18,9,9,0,14
723,18,14,4,0,14
724,33,19,14,0,26
725,36,21,15,0,26
726,38,20,18,0,27
727,30,19,11,0,24
728,31,23,8,0,22
729,17,12,5,0,14
730,31,17,14,0,22
731,22,9,13,0,18
732,33,21,12,0,24
733,24,18,6,0,17
734,34,18,16,0,25
735,17,14,3,0,14
736,44,25,19,0,27
737,31,20,11,0,20
738,25,15,10,0,18
739,27,20,7,0,20
740,25,15,10,0,19
741,22,16,6,0,22
742,27,16,11,0,21
743,41,24,17,0,25
744,21,9,12,0,16
745,44,24,20,0,25
746,32,24,8,0,26
747,14,6,8,0,13
748,19,14,5,0,14
749,10,3,7,0,9
750,36,21,15,0,23
751,29,26,3,0,16
752,31,25,6,0,27
753,38,21,17,0,26
754,27,17,10,0,18
755,19,12,7,0,14
756,29,17,12,0,20
757,40,23,17,0,26
758,22,16,6,0,16
759,18,4,14,0,12
760,17,8,9,0,14
761,29,18,11,0,21
762,31,12,19,0,19
763,17,14,3,0,16
764,17,14,3,0,14
765,27,20,7,0,18
766,37,24,13,0,26
767,30,16,14,0,24
768,28,19,9,0,19
769,31,17,14,0,25
770,25,18,7,0,15
771,32,16,16,0,19
772,23,10,13,0,17
773,30,9,21,0,17
774,29,17,12,0,25
775,32,20,12,0,20
776,44,34,10,0,30
777,37,18,19,0,21
778,32,20,12,0,23
779,36,27,9,0,20
780,27,25,2,0,16
781,10,6,4,0,9
782,34,22,12,0,26
783,28,21,7,0,20
784,29,16,13,0,20
785,35,18,17,0,20
786,28,17,11,0,18
787,25,18,7,0,17
788,31,13,18,0,24
789,22,19,3,0,18
790,35,25,10,0,22
791,45,20,25,0,21
792,23,15,8,0,19
793,15,8,7,0,13
794,33,27,6,0,20
795,44,31,13,0,33
796,44,27,17,0,28
797,12,8,4,0,12
798,17,9,8,0,15
799,29,19,10,0,18
800,30,18,12,0,23
801,27,15,12,0,20
802,23,15,8,0,17
803,48,28,20,0,29
804,22,18,4,0,20
805,24,14,10,0,22
806,36,27,9,0,23
807,24,16,8,0,21
808,38,23,15,0,24
809,34,17,17,0,17
810,29,13,16,0,19
811,27,23,4,0,16
812,40,22,18,0,31
813,13,10,3,0,13
814,25,12,13,0,22
815,33,14,19,0,25
816,24,11,13,0,19
817,21,16,5,0,15
818,44,24,20,0,30
819,37,28,9,0,23
820,23,15,8,0,17
821,19,12,7,0,15
822,36,27,9,0,22
823,25,20,5,0,23
824,32,21,11,0,24
825,20,13,7,0,16
826,27,18,9,0,20
827,19,10,9,0,16
828,39,27,12,0,25
829,28,24,4,0,16
830,32,23,9,0,23
831,27,11,16,0,14
832,37,26,11,0,22
833,13,6,7,0,12
834,28,22,6,0,22
835,20,4,16,0,15
836,38,20,18,0,24
837,24,15,9,0,13
838,39,19,20,0,27
839,25,15,10,0,19
840,38,22,16,0,21
841,13,8,5,0,13
842,39,23,16,0,30
843,25,17,8,0,19
844,22,14,8,0,16
845,25,19,6,0,22
846,18,9,9,0,14
847,32,25,7,0,22
848,24,13,11,0,20
849,27,10,17,0,18
850,37,24,13,0,27
851,49,34,15,0,30
852,33,27,6,0,27
853,28,13,15,0,22
854,24,14,10,0,20
855,27,18,9,0,20
856,21,7,14,0,17
857,25,18,7,0,23
858,50,27,23,0,34
859,29,20,9,0,14
860,33,16,17,0,23
861,29,19,10,0,22
862,43,26,17,0,26
863,31,18,13,0,25
864,34,15,19,0,25
865,27,20,7,0,19
866,32,25,7,0,19
867,41,23,18,0,27
868,26,13,13,0,17
869,43,31,12,0,27
870,25,14,11,0,13
871,33,20,13,0,24
872,46,29,17,0,31
873,27,19,8,0,20
874,32,15,17,0,19
875,34,22,12,0,22
876,57,23,34,0,22
877,26,15,11,0,18
878,23,17,6,0,22
879,34,21,13,0,26
880,23,15,8,0,19
881,26,18,8,0,17
882,30,22,8,0,20
883,24,12,12,0,20
884,31,18,13,0,25
885,23,16,7,0,17
886,32,25,7,0,24
887,27,17,10,0,20
888,23,14,9,0,17
889,25,15,10,0,18
890,36,20,16,0,23
891,46,19,27,0,22
892,27,9,18,0,14
893,28,14,14,0,20
894,31,20,11,0,24
895,31,20,11,0,22
896,37,27,10,0,26
897,37,24,13,0,26
898,21,15,6,0,15
899,18,10,8,0,16
900,27,12,15,0,21
901,28,21,7,0,22
902,28,17,11,0,22
903,18,14,4,0,15
904,36,24,12,0,26
905,25,14,11,0,20
906,24,12,12,0,21
907,12,6,6,0,11
908,28,14,14,0,18
909,26,17,9,0,18
910,41,28,13,0,32
911,17,11,6,0,10
912,27,17,10,0,18
913,23,14,9,0,16
914,30,11,19,0,23
915,27,17,10,0,21
916,25,13,12,0,21
