family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_margin_full_a_minus_b,delta_mean_effect_no_initial_qbox_a_minus_b,delta_mean_effect_no_last_relevant_update_a_minus_b,delta_mean_effect_no_all_relevant_updates_a_minus_b,mean_effect_no_all_relevant_updates_a,mean_effect_no_all_relevant_updates_b,mean_effect_no_initial_qbox_a,mean_effect_no_initial_qbox_b,mean_effect_no_last_relevant_update_a,mean_effect_no_last_relevant_update_b,mean_margin_full_a,mean_margin_full_b
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,ALL,RminusC,1221,-0.3192563385113061,0.3756115948270326,0.010009794231324198,0.5263513392058676,-0.8661594630190821,-1.3925108022249497,0.6059969619563327,0.23038536712930008,-0.4384610943990492,-0.4484708886303734,-0.043642845874336485,0.2756134926369696
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,ALL,CminusR,1221,0.3192563385113061,-0.3756115948270326,-0.010009794231324198,-0.5263513392058676,-1.3925108022249497,-0.8661594630190821,0.23038536712930008,0.6059969619563327,-0.4484708886303734,-0.4384610943990492,0.2756134926369696,-0.043642845874336485
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,rel_ge2,RminusC,1205,-0.31504883233195025,0.37190373627723994,0.015762558022969997,0.5389600903166776,-0.877964452799425,-1.4169245431161026,0.5944568762517074,0.2225531399744675,-0.44458710169149135,-0.46034965971446135,-0.04121130596058003,0.2738375263713702
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,rel_ge2,CminusR,1205,0.31504883233195025,-0.37190373627723994,-0.015762558022969997,-0.5389600903166776,-1.4169245431161026,-0.877964452799425,0.2225531399744675,0.5944568762517074,-0.46034965971446135,-0.44458710169149135,0.2738375263713702,-0.04121130596058003
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,rel_ge3,RminusC,716,-0.28484737364231877,0.46260730124094296,0.012870118896055494,0.6926464349260377,-1.0064054447637256,-1.6990518796897633,0.606418291179661,0.143810989938718,-0.4223558529170865,-0.435225971813142,0.16079937408589784,0.4456467477282166
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,rel_ge3,CminusR,716,0.28484737364231877,-0.46260730124094296,-0.012870118896055494,-0.6926464349260377,-1.6990518796897633,-1.0064054447637256,0.143810989938718,0.606418291179661,-0.435225971813142,-0.4223558529170865,0.4456467477282166,0.16079937408589784
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,rel_updates_1,RminusC,16,-0.636134147644043,0.6548596918582916,-0.42324522882699966,-0.42324522882699966,0.02290382981300354,0.4461490586400032,1.4751096665859222,0.8202499747276306,0.02290382981300354,0.4461490586400032,-0.22676819562911987,0.4093659520149231
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,rel_updates_1,CminusR,16,0.636134147644043,-0.6548596918582916,0.42324522882699966,0.42324522882699966,0.4461490586400032,0.02290382981300354,0.8202499747276306,1.4751096665859222,0.4461490586400032,0.02290382981300354,0.4093659520149231,-0.22676819562911987
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,rel_updates_2,RminusC,489,-0.3592701910676888,0.23909442643263595,0.01999770406565049,0.313930595960232,-0.6898995238701014,-1.0038301198303334,0.5769428208561763,0.33784839442354037,-0.4771383780155689,-0.4971360820812194,-0.33699790496523885,0.022272286102449967
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,rel_updates_2,CminusR,489,0.3592701910676888,-0.23909442643263595,-0.01999770406565049,-0.313930595960232,-1.0038301198303334,-0.6898995238701014,0.33784839442354037,0.5769428208561763,-0.4971360820812194,-0.4771383780155689,0.022272286102449967,-0.33699790496523885
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,rel_updates_3,RminusC,296,-0.31229066551738494,0.5178474758223102,0.07201496093861154,0.7779375560128607,-0.895559732223282,-1.6734972882361427,0.5257777484083498,0.007930272586039594,-0.38620361142061854,-0.4582185723592301,0.07298350807380032,0.38527417359118526
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,rel_updates_3,CminusR,296,0.31229066551738494,-0.5178474758223102,-0.07201496093861154,-0.7779375560128607,-1.6734972882361427,-0.895559732223282,0.007930272586039594,0.5257777484083498,-0.4582185723592301,-0.38620361142061854,0.38527417359118526,0.07298350807380032
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,rel_updates_4,RminusC,326,-0.2949165134387879,0.32610130710013074,-0.03810928291155513,0.6632402557536867,-1.0273851502709594,-1.6906254060246462,0.6205540255991959,0.2944527184990652,-0.4687900298669294,-0.4306807469553743,0.1390610297033392,0.4339775431421271
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,rel_updates_4,CminusR,326,0.2949165134387879,-0.32610130710013074,0.03810928291155513,-0.6632402557536867,-1.6906254060246462,-1.0273851502709594,0.2944527184990652,0.6205540255991959,-0.4306807469553743,-0.4687900298669294,0.4339775431421271,0.1390610297033392
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,rel_updates_5,RminusC,94,-0.16350956546499373,0.7620739226645612,0.003427690648018067,0.5260532707610028,-1.2826921140893977,-1.8087453848504005,0.811326283089658,0.049252360425096876,-0.37515927629267914,-0.3785869669406972,0.5127163592805254,0.6762259247455191
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,rel_updates_5,CminusR,94,0.16350956546499373,-0.7620739226645612,-0.003427690648018067,-0.5260532707610028,-1.8087453848504005,-1.2826921140893977,0.049252360425096876,0.811326283089658,-0.3785869669406972,-0.37515927629267914,0.6762259247455191,0.5127163592805254
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,type_ambiref,RminusC,399,-0.5676526685705161,0.16716109010808747,-0.015001411650115093,0.21338887090671033,-0.6977271368180898,-0.9111160077248002,0.2701031961536646,0.10294210604557716,-0.4193467644969921,-0.404345352846877,0.14236376070438472,0.7100164292749008
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,type_ambiref,CminusR,399,0.5676526685705161,-0.16716109010808747,0.015001411650115093,-0.21338887090671033,-0.9111160077248002,-0.6977271368180898,0.10294210604557716,0.2701031961536646,-0.404345352846877,-0.4193467644969921,0.7100164292749008,0.14236376070438472
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,type_move_contents,RminusC,381,-0.13762515624911767,0.4380928917233087,0.043721666173359264,0.6962235103950414,-0.873318639092558,-1.5695421494875994,0.7714759311650995,0.3333830394417908,-0.37304319867624697,-0.41676486484960623,-0.3428623950856877,-0.20523723883657005
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,type_move_contents,CminusR,381,0.13762515624911767,-0.4380928917233087,-0.043721666173359264,-0.6962235103950414,-1.5695421494875994,-0.873318639092558,0.3333830394417908,0.7714759311650995,-0.41676486484960623,-0.37304319867624697,-0.20523723883657005,-0.3428623950856877
entity_ablation,D,D_RS_43022,D_C_43022,chck_80M,43022,type_regular,RminusC,441,-0.2514362585754081,0.5102292303494316,0.0035137578067866437,0.6627475469797648,-1.0123654767837114,-1.6751130237634761,0.7669360215634176,0.25670679121398604,-0.5122725136763925,-0.5157862714831791,0.046574868920709,0.2980111274961171
entity_ablation,D,D_C_43022,D_RS_43022,chck_80M,43022,type_regular,CminusR,441,0.2514362585754081,-0.5102292303494316,-0.0035137578067866437,-0.6627475469797648,-1.6751130237634761,-1.0123654767837114,0.25670679121398604,0.7669360215634176,-0.5157862714831791,-0.5122725136763925,0.2980111274961171,0.046574868920709
entity_ablation,D,D_RS_43022,D_C_43022,chck_90M,43022,ALL,RminusC,1221,-0.4659108520866075,0.44899672641129795,0.08471152991099162,0.8752588539992221,-1.0265906361724195,-1.9018494901716416,0.6349119913324189,0.18591526492112098,-0.4638372843720501,-0.5485488142830417,-0.01836959889538458,0.4475412531912229
