arm,checkpoint,predictions,source_payload,score_from_payload,is_clean_reference,group,numops_group,split_group,macro_score_pp,micro_accuracy_pp,n_scored,subtask_count,pred_correct_option_frac_micro,pred_not_in_options_frac_micro
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,numops_2,2,all,19.29675622410284,19.309778142974526,1217,3,0.19309778142974526,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,numops_3,3,all,23.874869904120487,23.870967741935484,1240,3,0.23870967741935484,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,numops_4,4,all,24.40048605504374,24.595744680851062,1175,3,0.24595744680851064,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,numops_5,5,all,27.05280079213118,27.027027027027028,333,3,0.2702702702702703,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,zero_ops,zero,all,39.535379588054845,39.584685269305645,1541,3,0.3958468526930565,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,nonzero_ops,nonzero,all,21.88239319725652,20.977285741553732,5239,15,0.2097728574155373,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,split_ambiref,all,ambiref,23.71619774234665,23.88768898488121,2315,6,0.23887688984881209,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref_zero_ops,zero,ambiref,30.511811023622048,30.511811023622048,508,1,0.3051181102362205,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,ambiref_nonzero_ops,nonzero,ambiref,22.357075086091577,22.02545655783066,1807,5,0.22025456557830658,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,split_regular,all,regular,24.89945416381678,25.558534405719392,2238,6,0.2555853440571939,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,regular_zero_ops,zero,regular,43.32688588007737,43.32688588007737,517,1,0.4332688588007737,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,regular_nonzero_ops,nonzero,regular,21.213967820564662,20.22080185938408,1721,5,0.2022080185938408,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,split_move_contents,all,move_contents,25.858020881005288,26.22361921867984,2227,6,0.2622361921867984,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,move_contents_zero_ops,zero,move_contents,44.76744186046512,44.76744186046512,516,1,0.4476744186046512,0.0
clean_maxgeom,chck_100M,experiments/archive/frontier_consolidation/data/deberta_maxgeom_clean_stable_eval/eval/official_outputs/deberta_maxgeom_clean_seed43022_chck_100M/Entity/chck_100M/full_deberta_maxgeom_clean_seed43022_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,,,True,move_contents_nonzero_ops,nonzero,move_contents,22.07613668511332,20.631209818819404,1711,5,0.20631209818819404,0.0
