family,dose_name,rho,checkpoint,words,subgroup,n,margin_mean,margin_median,margin_stdev,frac_margin_positive,binary_delta_mean,frac_binary_positive
EWoK,dose1p82,0.07712,chck_10M,10000000,all,55,0.06399091414429925,0.047728925943374634,0.45015694972804327,0.5818181818181818,-0.01818181818181818,0.18181818181818182
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_agent-properties,5,0.14829297810792924,0.08087354898452759,0.1870947932616667,0.8,0.2,0.2
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_material-dynamics,5,0.00262603759765625,0.22543120384216309,0.472062062608886,0.6,0.2,0.2
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_material-properties,5,0.22541532516479493,0.11967849731445312,0.21217353686133797,0.8,0.0,0.2
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_physical-dynamics,5,0.031039619445800783,0.08912092447280884,0.6653566758242582,0.8,0.0,0.0
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_physical-interactions,5,-0.005360257625579834,-0.026239484548568726,0.6024680324563181,0.4,-0.2,0.0
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_physical-relations,5,0.21222834289073944,0.0004178732633590698,0.6017383031444904,0.6,-0.2,0.2
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_quantitative-properties,5,-0.12489792704582214,-0.13706013560295105,0.08298128155301622,0.0,-0.4,0.0
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_social-interactions,5,-0.247015118598938,-0.05427718162536621,0.421637493336033,0.4,-0.2,0.0
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_social-properties,5,0.31896319389343264,0.09072697162628174,0.4938163691915613,0.8,0.2,0.4
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_social-relations,5,-0.010678458213806152,-0.07476043701171875,0.08594591819210039,0.4,-0.2,0.2
EWoK,dose1p82,0.07712,chck_10M,10000000,domain_spatial-relations,5,0.1532863199710846,0.047728925943374634,0.2162498174034226,0.8,0.4,0.6
EWoK,dose1p82,0.07712,chck_20M,20000000,all,55,-0.10655950917439028,-0.05015195906162262,1.1433918171647144,0.4727272727272727,0.01818181818181818,0.16363636363636364
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_agent-properties,5,0.44079274758696557,0.0019012205302715302,1.2080151729142503,0.6,0.0,0.0
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_material-dynamics,5,0.49825277328491213,0.6121633052825928,0.8708720584516336,0.8,0.6,0.6
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_material-properties,5,-0.8749732136726379,-1.156334988772869,0.7900225321661688,0.2,-0.4,0.0
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_physical-dynamics,5,-0.9533378794789314,-1.1420865654945374,0.8990276634711266,0.2,-0.2,0.0
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_physical-interactions,5,0.4320737361907959,0.3935800641775131,0.441551996548207,0.8,0.4,0.4
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_physical-relations,5,-0.20004194751381874,0.6072261035442352,2.6239147806582555,0.8,0.2,0.2
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_quantitative-properties,5,-0.2228342652320862,-0.19102942943572998,0.17085573267964824,0.2,0.0,0.0
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_social-interactions,5,-0.047241204977035524,0.14882221817970276,0.4883313443482825,0.6,-0.2,0.2
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_social-properties,5,0.11452118158340455,0.2540728449821472,0.6010324463310253,0.6,0.0,0.2
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_social-relations,5,-0.11970538496971131,-0.6720231771469116,0.8097667036170314,0.4,-0.2,0.2
EWoK,dose1p82,0.07712,chck_20M,20000000,domain_spatial-relations,5,-0.23966114372015,-0.19436445832252502,0.1030318930286895,0.0,0.0,0.0
EWoK,dose1p82,0.07712,chck_30M,30000000,all,55,-0.038354999938217754,-0.055826928466558456,2.3109921544985377,0.4909090909090909,0.05454545454545454,0.16363636363636364
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_agent-properties,5,-0.3646699596196413,-0.6015398912131786,1.7607024574281223,0.4,0.2,0.2
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_material-dynamics,5,1.7258135393261909,1.5745857134461403,1.225945668731368,1.0,0.2,0.2
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_material-properties,5,-0.8746780462563037,-1.4360283613204956,1.2247443672567444,0.4,-0.2,0.2
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_physical-dynamics,5,-1.2377314567565918,-1.1084698215126991,2.3428110871586134,0.2,0.0,0.2
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_physical-interactions,5,-1.7904866248369218,-1.4717805981636047,1.8043259374947176,0.0,-0.2,0.0
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_physical-relations,5,0.2476363956928253,-0.055826928466558456,3.9632964178847954,0.4,0.0,0.0
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_quantitative-properties,5,1.279010173678398,1.3413881361484528,1.5901603902580477,0.8,0.2,0.4
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_social-interactions,5,0.050531099736690524,-0.24343004822731018,1.0353025641305562,0.4,0.2,0.4
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_social-properties,5,-0.07685584500432015,0.28638559579849243,0.7637226062843937,0.6,0.0,0.0
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_social-relations,5,-0.7556722618639469,-1.5422493144869804,2.6095902880791715,0.4,0.2,0.2
EWoK,dose1p82,0.07712,chck_30M,30000000,domain_spatial-relations,5,1.3751979865832253,1.1098889831919223,2.105414263713752,0.8,0.0,0.0
EWoK,dose1p82,0.07712,chck_40M,40000000,all,55,-0.7729989819948307,-0.11321234703063965,4.958539095226781,0.45454545454545453,-0.01818181818181818,0.16363636363636364
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_agent-properties,5,-6.994961998891085,-6.16161175374873,6.057237732977223,0.0,-0.2,0.0
EWoK,dose1p82,0.07712,chck_40M,40000000,domain_material-dynamics,5,0.6173075877130032,0.7960684299468994,2.381704856423541,0.6,0.4,0.4
