pair_id,key,source_words,view_words,ratio_view_to_source,compact_source_content_coverage,repeat_source_content_coverage,compact_minus_repeat_content_coverage,compact_tail_content_coverage,compact_has_tail_content_recovery,compact_content_fraction,repeat_content_fraction,compact_source_absent_content_words,compact_source_absent_content_fraction_of_view,compact_source_absent_content_fraction_of_content,compact_copied_content_words,compact_tail_only_content_words,compact_tail_any_content_words,compact_tail_only_content_fraction_of_content,compact_content_jaccard_source,repeat_content_jaccard_source,compact_vs_repeat_content_jaccard,compact_minus_repeat_active_tokens,compact_minus_repeat_word_groups,compact_minus_repeat_truncated
compact:frontier_consolidation_fwcompact_medium_007476,sid:7476|doc:1606,22,15,0.6818181818181818,0.4666666666666667,0.7333333333333333,-0.26666666666666666,0.75,True,0.6666666666666666,0.7333333333333333,3,0.2,0.3,7,3,3,0.3,0.3888888888888889,0.7333333333333333,0.23529411764705882,2,0,0
compact:frontier_consolidation_fwcompact_medium_059223,sid:59223|doc:3477,16,10,0.625,0.8571428571428571,0.5714285714285714,0.2857142857142857,1.0,True,0.6,0.4,0,0.0,0.0,6,3,3,0.5,0.8571428571428571,0.5714285714285714,0.42857142857142855,0,0,0
compact:frontier_consolidation_fwcompact_medium_044690,sid:44690|doc:13199,19,11,0.5789473684210527,0.7142857142857143,0.42857142857142855,0.2857142857142857,1.0,True,0.6363636363636364,0.2727272727272727,2,0.18181818181818182,0.2857142857142857,5,4,4,0.5714285714285714,0.5555555555555556,0.42857142857142855,0.1111111111111111,2,0,0
compact:frontier_consolidation_fwcompact_medium_037910,sid:37910|doc:12281,14,8,0.5714285714285714,0.75,0.5,0.25,0.75,True,0.75,0.5,0,0.0,0.0,6,3,3,0.5,0.75,0.5,0.42857142857142855,-1,0,0
compact:frontier_consolidation_fwcompact_medium_022427,sid:22427|doc:11877,35,17,0.4857142857142857,0.8461538461538461,0.5384615384615384,0.3076923076923077,0.8333333333333334,True,0.7058823529411765,0.4117647058823529,1,0.058823529411764705,0.08333333333333333,11,5,5,0.4166666666666667,0.7857142857142857,0.5384615384615384,0.46153846153846156,6,0,0
compact:frontier_consolidation_fwcompact_medium_059419,sid:59419|doc:6562,23,16,0.6956521739130435,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.75,True,0.6875,0.5,1,0.0625,0.09090909090909091,10,3,3,0.2727272727272727,0.7692307692307693,0.6666666666666666,0.5833333333333334,5,0,0
compact:frontier_consolidation_fwcompact_medium_005788,sid:5788|doc:13239,18,11,0.6111111111111112,0.7272727272727273,0.6363636363636364,0.09090909090909091,0.25,True,0.8181818181818182,0.6363636363636364,2,0.18181818181818182,0.2222222222222222,7,0,1,0.0,0.5833333333333334,0.7,0.7777777777777778,5,0,0
compact:frontier_consolidation_fwcompact_medium_020191,sid:20191|doc:16428,27,16,0.5925925925925926,0.8181818181818182,0.6363636363636364,0.18181818181818182,0.5,True,0.5625,0.4375,1,0.0625,0.1111111111111111,8,1,2,0.1111111111111111,0.7272727272727273,0.7,0.7777777777777778,1,0,0
compact:frontier_consolidation_fwcompact_medium_001971,sid:1971|doc:16518,19,11,0.5789473684210527,0.5454545454545454,0.5454545454545454,0.0,0.8,True,0.5454545454545454,0.5454545454545454,1,0.09090909090909091,0.16666666666666666,5,3,4,0.5,0.5,0.6666666666666666,0.2,2,0,0
compact:frontier_consolidation_fwcompact_medium_017507,sid:17507|doc:11820,14,9,0.6428571428571429,0.5,0.5,0.0,0.0,False,0.5555555555555556,0.2222222222222222,3,0.3333333333333333,0.6,2,0,0,0.0,0.2857142857142857,0.5,0.4,5,0,0
