arm,group,late_mean_accuracy_pct,late_mean_stale_pick_pct_among_wrong_stale_available_not_gold,mean_prefix_words,mean_relevant_updates,mean_total_ops,n,n_checkpoints,seed
C,total_ops_10,23.328785811732605,32.18170990201033,141.51841746248294,2.8076398362892223,10.0,733,3,43122
C,total_ops_11,22.544283413848632,38.30515297906602,149.18961352657004,2.9504830917874396,11.0,828,3,43122
C,total_ops_12,22.705839680812478,37.81676413255361,158.37431991294886,3.115342763873776,12.0,919,3,43122
C,total_ops_2,30.97345132743363,41.904761904761905,77.53687315634218,0.4424778761061947,2.0,339,3,43122
C,total_ops_3,27.6536312849162,70.3962703962704,85.74022346368714,0.723463687150838,3.0,358,3,43122
C,total_ops_4,25.925925925925924,39.03508771929825,93.0,1.005420054200542,4.0,369,3,43122
C,total_ops_5,24.173027989821882,51.45658263305322,101.42493638676845,1.3231552162849873,5.0,393,3,43122
C,total_ops_6,25.186846038863976,47.06486042692939,109.03363228699551,1.6591928251121075,6.0,446,3,43122
C,total_ops_7,22.965879265091864,41.38169679205341,117.93897637795276,2.045275590551181,7.0,508,3,43122
C,total_ops_8,22.466216216216218,42.44731133126016,126.08952702702703,2.285472972972973,8.0,592,3,43122
C,total_ops_9,23.282828282828284,37.862031342267954,134.4,2.5196969696969695,9.0,660,3,43122
R,ALL,25.653883972468044,49.77988155075125,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
R,rel0_total_ops_0,46.82017543859649,nan,61.473684210526315,0.0,0.0,304,3,43122
R,rel0_total_ops_1,45.39559014267186,nan,69.715953307393,0.0,1.0,257,3,43122
R,rel0_total_ops_10,42.59259259259259,nan,143.72222222222223,0.0,10.0,36,3,43122
R,rel0_total_ops_11,41.666666666666664,nan,148.96875,0.0,11.0,32,3,43122
R,rel0_total_ops_12,45.55555555555556,nan,157.36666666666667,0.0,12.0,30,3,43122
R,rel0_total_ops_2,48.113207547169814,nan,77.93867924528301,0.0,2.0,212,3,43122
R,rel0_total_ops_3,54.457364341085274,nan,85.88372093023256,0.0,3.0,172,3,43122
R,rel0_total_ops_4,42.49363867684478,nan,93.36641221374046,0.0,4.0,131,3,43122
R,rel0_total_ops_5,52.56410256410256,nan,100.5673076923077,0.0,5.0,104,3,43122
R,rel0_total_ops_6,51.89393939393939,nan,107.64772727272727,0.0,6.0,88,3,43122
R,rel0_total_ops_7,59.09090909090909,nan,117.81818181818181,0.0,7.0,66,3,43122
R,rel0_total_ops_8,47.08994708994709,nan,127.47619047619048,0.0,8.0,63,3,43122
R,rel0_total_ops_9,52.17391304347826,nan,134.91304347826087,0.0,9.0,46,3,43122
R,rel_eq0,48.38849232100368,nan,88.73329007138221,0.0,3.388059701492537,1541,3,43122
R,rel_ge1,18.966723929503086,49.77988155075125,129.96087039511357,2.5831265508684864,8.527772475663294,5239,3,43122
R,rel_ge2,20.60776302349336,49.94716668393246,136.0349846782431,3.1179775280898876,9.274770173646578,3916,3,43122
R,rel_ge3,21.78616352201258,49.55073618587131,140.93735849056603,3.6520754716981134,9.80188679245283,2650,3,43122
R,rel_ge4,24.694835680751176,51.23175708591235,143.64225352112675,4.216901408450704,10.112676056338028,1420,3,43122
R,rel_updates_0,48.38849232100368,nan,88.73329007138221,0.0,3.388059701492537,1541,3,43122
R,rel_updates_1,14.109347442680777,36.111111111111114,111.98185941043084,1.0,6.316704459561603,1323,3,43122
R,rel_updates_2,18.14112690889942,50.4869630523948,125.77330173775671,2.0,8.171406003159557,1266,3,43122
R,rel_updates_3,18.428184281842817,47.30732651187196,137.81463414634146,3.0,9.44308943089431,1230,3,43122
R,rel_updates_4,23.860911270983213,54.01710913384065,142.931654676259,4.0,10.02158273381295,1112,3,43122
R,rel_updates_5,27.705627705627705,39.65560462536269,146.2077922077922,5.0,10.441558441558442,308,3,43122
R,total_ops_0,46.82017543859649,nan,61.473684210526315,0.0,0.0,304,3,43122
R,total_ops_1,38.77139979859013,nan,69.66465256797584,0.22356495468277945,1.0,331,3,43122
