arm,checkpoint,correct,domain,family,index,interaction,margin,model,numops,option_count,split,uid,words
dose1_repeat,chck_80M,False,material-properties,EWoK,156,0.41744451597332954,-0.24444155022501945,dose1_repeat_chck_80M,,,,material-properties_156,80000000
dose1_repeat,chck_80M,True,physical-dynamics,EWoK,4,-1.8534131739288568,4.038280684500933,dose1_repeat_chck_80M,,,,physical-dynamics_4,80000000
dose1_repeat,chck_80M,False,physical-dynamics,EWoK,16,-1.3241103701293468,-0.18886782974004745,dose1_repeat_chck_80M,,,,physical-dynamics_16,80000000
dose1_repeat,chck_80M,True,physical-dynamics,EWoK,66,2.3401281498372555,0.6990450359880924,dose1_repeat_chck_80M,,,,physical-dynamics_66,80000000
dose1_repeat,chck_80M,False,physical-dynamics,EWoK,88,-5.58105387352407,-6.734857292845845,dose1_repeat_chck_80M,,,,physical-dynamics_88,80000000
dose1_repeat,chck_80M,True,physical-dynamics,EWoK,103,3.1696896255016327,3.494727708399296,dose1_repeat_chck_80M,,,,physical-dynamics_103,80000000
dose1_repeat,chck_80M,False,physical-interactions,EWoK,25,0.9490086361765862,-2.5847450755536556,dose1_repeat_chck_80M,,,,physical-interactions_25,80000000
dose1_repeat,chck_80M,False,physical-interactions,EWoK,330,0.42568764090538025,-0.11762890219688416,dose1_repeat_chck_80M,,,,physical-interactions_330,80000000
dose1_repeat,chck_80M,False,physical-interactions,EWoK,345,1.1364510585553944,-0.024282177444547415,dose1_repeat_chck_80M,,,,physical-interactions_345,80000000
dose1_repeat,chck_80M,True,physical-interactions,EWoK,414,-1.3022099286317825,5.4793902933597565,dose1_repeat_chck_80M,,,,physical-interactions_414,80000000
dose1_repeat,chck_80M,True,physical-interactions,EWoK,479,0.5415856018662453,2.8506847005337477,dose1_repeat_chck_80M,,,,physical-interactions_479,80000000
dose1_repeat,chck_80M,True,physical-relations,EWoK,64,1.0326331859687343,33.2098023602739,dose1_repeat_chck_80M,,,,physical-relations_64,80000000
dose1_repeat,chck_80M,False,physical-relations,EWoK,558,-2.2220663456246257,-2.0727382665500045,dose1_repeat_chck_80M,,,,physical-relations_558,80000000
dose1_repeat,chck_80M,True,physical-relations,EWoK,644,0.42857475206255913,0.42460719123482704,dose1_repeat_chck_80M,,,,physical-relations_644,80000000
dose1_repeat,chck_80M,True,physical-relations,EWoK,675,-0.17487330362200737,1.7589029464870691,dose1_repeat_chck_80M,,,,physical-relations_675,80000000
dose1_repeat,chck_80M,False,physical-relations,EWoK,799,-40.40024216566235,-18.582485410384834,dose1_repeat_chck_80M,,,,physical-relations_799,80000000
dose1_repeat,chck_80M,False,quantitative-properties,EWoK,57,-0.4925912618637085,-2.441628873348236,dose1_repeat_chck_80M,,,,quantitative-properties_57,80000000
dose1_repeat,chck_80M,False,quantitative-properties,EWoK,173,0.7179983854293823,-1.911378726363182,dose1_repeat_chck_80M,,,,quantitative-properties_173,80000000
dose1_repeat,chck_80M,False,quantitative-properties,EWoK,234,0.16097936034202576,-1.9867176413536072,dose1_repeat_chck_80M,,,,quantitative-properties_234,80000000
dose1_repeat,chck_80M,False,quantitative-properties,EWoK,252,0.08572018146514893,-0.8273850679397583,dose1_repeat_chck_80M,,,,quantitative-properties_252,80000000
dose1_repeat,chck_80M,False,quantitative-properties,EWoK,311,-0.3720186986029148,-0.29846219904720783,dose1_repeat_chck_80M,,,,quantitative-properties_311,80000000
dose1_repeat,chck_80M,False,social-interactions,EWoK,118,2.538632171228528,-2.453607091680169,dose1_repeat_chck_80M,,,,social-interactions_118,80000000
dose1_repeat,chck_80M,True,social-interactions,EWoK,161,2.2603235580027103,0.04580981284379959,dose1_repeat_chck_80M,,,,social-interactions_161,80000000
dose1_repeat,chck_80M,False,social-interactions,EWoK,243,0.6309892311692238,-0.3939043991267681,dose1_repeat_chck_80M,,,,social-interactions_243,80000000
