seed,checkpoint,contrast,group,numops,n_items,weighted_delta
43122,chck_80M,CminusR,ambiref,4,434,-3.219999999999999
43122,chck_80M,CminusR,move_contents,4,353,2.2699999999999996
43122,chck_80M,CminusR,ALL_TYPES,5,333,-0.6045645645645656
43122,chck_80M,CminusR,regular,5,94,-2.1300000000000026
43122,chck_80M,CminusR,ambiref,5,123,-0.8200000000000004
43122,chck_80M,CminusR,move_contents,5,116,0.8599999999999994
43122,chck_90M,VminusC,ALL_TYPES,0,1541,-1.0349837767683323
43122,chck_90M,VminusC,regular,0,517,-1.3500000000000014
43122,chck_90M,VminusC,ambiref,0,508,1.1799999999999997
43122,chck_90M,VminusC,move_contents,0,516,-2.8999999999999986
43122,chck_90M,VminusC,ALL_TYPES,1,1274,-0.5492935635792777
43122,chck_90M,VminusC,regular,1,409,1.9499999999999993
43122,chck_90M,VminusC,ambiref,1,428,-1.6300000000000008
43122,chck_90M,VminusC,move_contents,1,437,-1.8299999999999983
43122,chck_90M,VminusC,ALL_TYPES,2,1217,1.2297452752670512
43122,chck_90M,VminusC,regular,2,405,0.0
43122,chck_90M,VminusC,ambiref,2,413,1.4500000000000028
43122,chck_90M,VminusC,move_contents,2,399,2.25
43122,chck_90M,VminusC,ALL_TYPES,3,1240,3.8724677419354845
43122,chck_90M,VminusC,regular,3,425,8.470000000000002
43122,chck_90M,VminusC,ambiref,3,409,1.4700000000000026
43122,chck_90M,VminusC,move_contents,3,406,1.4799999999999969
43122,chck_90M,VminusC,ALL_TYPES,4,1175,7.911523404255318
43122,chck_90M,VminusC,regular,4,388,3.3500000000000014
43122,chck_90M,VminusC,ambiref,4,434,8.29
43122,chck_90M,VminusC,move_contents,4,353,12.459999999999997
43122,chck_90M,VminusC,ALL_TYPES,5,333,6.607057057057056
43122,chck_90M,VminusC,regular,5,94,4.25
43122,chck_90M,VminusC,ambiref,5,123,6.509999999999998
43122,chck_90M,VminusC,move_contents,5,116,8.620000000000001
43122,chck_90M,VminusR,ALL_TYPES,0,1541,-8.692524334847501
43122,chck_90M,VminusR,regular,0,517,-13.54
43122,chck_90M,VminusR,ambiref,0,508,-2.3599999999999994
43122,chck_90M,VminusR,move_contents,0,516,-10.07
43122,chck_90M,VminusR,ALL_TYPES,1,1274,2.512825745682888
43122,chck_90M,VminusR,regular,1,409,5.129999999999999
43122,chck_90M,VminusR,ambiref,1,428,-0.7000000000000011
43122,chck_90M,VminusR,move_contents,1,437,3.210000000000001
43122,chck_90M,VminusR,ALL_TYPES,2,1217,2.7911668036154493
43122,chck_90M,VminusR,regular,2,405,1.2300000000000004
43122,chck_90M,VminusR,ambiref,2,413,2.4200000000000017
43122,chck_90M,VminusR,move_contents,2,399,4.760000000000002
43122,chck_90M,VminusR,ALL_TYPES,3,1240,7.178903225806452
43122,chck_90M,VminusR,regular,3,425,10.110000000000003
43122,chck_90M,VminusR,ambiref,3,409,4.41
43122,chck_90M,VminusR,move_contents,3,406,6.8999999999999995
43122,chck_90M,VminusR,ALL_TYPES,4,1175,8.168519148936168
43122,chck_90M,VminusR,regular,4,388,10.05
43122,chck_90M,VminusR,ambiref,4,434,5.07
43122,chck_90M,VminusR,move_contents,4,353,9.909999999999997
43122,chck_90M,VminusR,ALL_TYPES,5,333,4.204954954954955
43122,chck_90M,VminusR,regular,5,94,3.1900000000000013
43122,chck_90M,VminusR,ambiref,5,123,3.25
43122,chck_90M,VminusR,move_contents,5,116,6.039999999999999
43122,chck_90M,CminusR,ALL_TYPES,0,1541,-7.657540558079169
43122,chck_90M,CminusR,regular,0,517,-12.189999999999998
43122,chck_90M,CminusR,ambiref,0,508,-3.539999999999999
43122,chck_90M,CminusR,move_contents,0,516,-7.170000000000002
43122,chck_90M,CminusR,ALL_TYPES,1,1274,3.062119309262166
43122,chck_90M,CminusR,regular,1,409,3.1799999999999997
43122,chck_90M,CminusR,ambiref,1,428,0.9299999999999996
43122,chck_90M,CminusR,move_contents,1,437,5.039999999999999
43122,chck_90M,CminusR,ALL_TYPES,2,1217,1.5614215283483979
43122,chck_90M,CminusR,regular,2,405,1.2300000000000004
43122,chck_90M,CminusR,ambiref,2,413,0.969999999999999
43122,chck_90M,CminusR,move_contents,2,399,2.5100000000000016
43122,chck_90M,CminusR,ALL_TYPES,3,1240,3.306435483870968
43122,chck_90M,CminusR,regular,3,425,1.6400000000000006
43122,chck_90M,CminusR,ambiref,3,409,2.9399999999999977
43122,chck_90M,CminusR,move_contents,3,406,5.420000000000003
43122,chck_90M,CminusR,ALL_TYPES,4,1175,0.2569957446808512
43122,chck_90M,CminusR,regular,4,388,6.7
43122,chck_90M,CminusR,ambiref,4,434,-3.219999999999999
43122,chck_90M,CminusR,move_contents,4,353,-2.5500000000000007
43122,chck_90M,CminusR,ALL_TYPES,5,333,-2.4021021021021016
43122,chck_90M,CminusR,regular,5,94,-1.0599999999999987
43122,chck_90M,CminusR,ambiref,5,123,-3.259999999999998
43122,chck_90M,CminusR,move_contents,5,116,-2.580000000000002
43122,chck_100M,VminusC,ALL_TYPES,0,1541,-0.7145554834523047
43122,chck_100M,VminusC,regular,0,517,0.18999999999999773
43122,chck_100M,VminusC,ambiref,0,508,1.5699999999999967
43122,chck_100M,VminusC,move_contents,0,516,-3.8699999999999974
43122,chck_100M,VminusC,ALL_TYPES,1,1274,-0.9371193092621665
43122,chck_100M,VminusC,regular,1,409,1.959999999999999
43122,chck_100M,VminusC,ambiref,1,428,-1.6300000000000008
43122,chck_100M,VminusC,move_contents,1,437,-2.969999999999999
43122,chck_100M,VminusC,ALL_TYPES,2,1217,0.9856039441248977
43122,chck_100M,VminusC,regular,2,405,0.25
43122,chck_100M,VminusC,ambiref,2,413,1.2100000000000009
43122,chck_100M,VminusC,move_contents,2,399,1.5
43122,chck_100M,VminusC,ALL_TYPES,3,1240,3.70908870967742
43122,chck_100M,VminusC,regular,3,425,8.239999999999998
43122,chck_100M,VminusC,ambiref,3,409,1.7100000000000009
43122,chck_100M,VminusC,move_contents,3,406,0.9800000000000004
43122,chck_100M,VminusC,ALL_TYPES,4,1175,8.426442553191489
43122,chck_100M,VminusC,regular,4,388,3.8599999999999994
43122,chck_100M,VminusC,ambiref,4,434,9.219999999999999
43122,chck_100M,VminusC,move_contents,4,353,12.469999999999999
43122,chck_100M,VminusC,ALL_TYPES,5,333,6.001081081081082
43122,chck_100M,VminusC,regular,5,94,3.1900000000000013
43122,chck_100M,VminusC,ambiref,5,123,6.5
43122,chck_100M,VminusC,move_contents,5,116,7.7500000000000036
43122,chck_100M,VminusR,ALL_TYPES,0,1541,-8.631628812459445
43122,chck_100M,VminusR,regular,0,517,-12.580000000000005
43122,chck_100M,VminusR,ambiref,0,508,-2.360000000000003
43122,chck_100M,VminusR,move_contents,0,516,-10.850000000000001
43122,chck_100M,VminusR,ALL_TYPES,1,1274,2.358029827315541
43122,chck_100M,VminusR,regular,1,409,5.379999999999999
43122,chck_100M,VminusR,ambiref,1,428,-0.9299999999999996
43122,chck_100M,VminusR,move_contents,1,437,2.75
43122,chck_100M,VminusR,ALL_TYPES,2,1217,1.8940755957271982
43122,chck_100M,VminusR,regular,2,405,0.5
43122,chck_100M,VminusR,ambiref,2,413,1.6999999999999993
43122,chck_100M,VminusR,move_contents,2,399,3.5100000000000016
43122,chck_100M,VminusR,ALL_TYPES,3,1240,7.096064516129031
43122,chck_100M,VminusR,regular,3,425,10.59
43122,chck_100M,VminusR,ambiref,3,409,3.669999999999998
43122,chck_100M,VminusR,move_contents,3,406,6.890000000000001
43122,chck_100M,VminusR,ALL_TYPES,4,1175,7.4892255319148955
43122,chck_100M,VminusR,regular,4,388,10.05
43122,chck_100M,VminusR,ambiref,4,434,4.150000000000002
43122,chck_100M,VminusR,move_contents,4,353,8.780000000000001
43122,chck_100M,VminusR,ALL_TYPES,5,333,3.0010210210210215
43122,chck_100M,VminusR,regular,5,94,0.0
43122,chck_100M,VminusR,ambiref,5,123,4.059999999999999
43122,chck_100M,VminusR,move_contents,5,116,4.310000000000002
43122,chck_100M,CminusR,ALL_TYPES,0,1541,-7.917073329007141
43122,chck_100M,CminusR,regular,0,517,-12.770000000000003
43122,chck_100M,CminusR,ambiref,0,508,-3.9299999999999997
43122,chck_100M,CminusR,move_contents,0,516,-6.980000000000004
43122,chck_100M,CminusR,ALL_TYPES,1,1274,3.2951491365777077
43122,chck_100M,CminusR,regular,1,409,3.42
43122,chck_100M,CminusR,ambiref,1,428,0.7000000000000011
43122,chck_100M,CminusR,move_contents,1,437,5.719999999999999
43122,chck_100M,CminusR,ALL_TYPES,2,1217,0.9084716516023007
43122,chck_100M,CminusR,regular,2,405,0.25
43122,chck_100M,CminusR,ambiref,2,413,0.48999999999999844
43122,chck_100M,CminusR,move_contents,2,399,2.0100000000000016
43122,chck_100M,CminusR,ALL_TYPES,3,1240,3.3869758064516127
43122,chck_100M,CminusR,regular,3,425,2.3500000000000014
43122,chck_100M,CminusR,ambiref,3,409,1.959999999999997
43122,chck_100M,CminusR,move_contents,3,406,5.91
43122,chck_100M,CminusR,ALL_TYPES,4,1175,-0.9372170212765935
43122,chck_100M,CminusR,regular,4,388,6.190000000000002
43122,chck_100M,CminusR,ambiref,4,434,-5.069999999999997
43122,chck_100M,CminusR,move_contents,4,353,-3.6899999999999977
43122,chck_100M,CminusR,ALL_TYPES,5,333,-3.0000600600600613
43122,chck_100M,CminusR,regular,5,94,-3.1900000000000013
43122,chck_100M,CminusR,ambiref,5,123,-2.4400000000000013
43122,chck_100M,CminusR,move_contents,5,116,-3.4400000000000013
