seed,checkpoint,contrast,uid,entity_type,numops,n_items,score_a,score_b,delta
43122,chck_100M,VminusR,ambiref_5_ops,ambiref,5,123,30.08,26.02,4.059999999999999
43122,chck_100M,VminusR,move_contents_0_ops,move_contents,0,516,46.71,57.56,-10.850000000000001
43122,chck_100M,VminusR,move_contents_1_ops,move_contents,1,437,16.25,13.5,2.75
43122,chck_100M,VminusR,move_contents_2_ops,move_contents,2,399,20.55,17.04,3.5100000000000016
43122,chck_100M,VminusR,move_contents_3_ops,move_contents,3,406,23.89,17.0,6.890000000000001
43122,chck_100M,VminusR,move_contents_4_ops,move_contents,4,353,31.73,22.95,8.780000000000001
43122,chck_100M,VminusR,move_contents_5_ops,move_contents,5,116,35.34,31.03,4.310000000000002
43122,chck_100M,VminusR,regular_0_ops,regular,0,517,42.55,55.13,-12.580000000000005
43122,chck_100M,VminusR,regular_1_ops,regular,1,409,16.63,11.25,5.379999999999999
43122,chck_100M,VminusR,regular_2_ops,regular,2,405,18.77,18.27,0.5
43122,chck_100M,VminusR,regular_3_ops,regular,3,425,28.24,17.65,10.59
43122,chck_100M,VminusR,regular_4_ops,regular,4,388,28.09,18.04,10.05
43122,chck_100M,VminusR,regular_5_ops,regular,5,94,30.85,30.85,0.0
43122,chck_100M,CminusR,ambiref_0_ops,ambiref,0,508,27.76,31.69,-3.9299999999999997
43122,chck_100M,CminusR,ambiref_1_ops,ambiref,1,428,15.65,14.95,0.7000000000000011
43122,chck_100M,CminusR,ambiref_2_ops,ambiref,2,413,21.31,20.82,0.48999999999999844
43122,chck_100M,CminusR,ambiref_3_ops,ambiref,3,409,22.74,20.78,1.9599999999999973
43122,chck_100M,CminusR,ambiref_4_ops,ambiref,4,434,24.42,29.49,-5.069999999999997
43122,chck_100M,CminusR,ambiref_5_ops,ambiref,5,123,23.58,26.02,-2.4400000000000013
43122,chck_100M,CminusR,move_contents_0_ops,move_contents,0,516,50.58,57.56,-6.980000000000004
43122,chck_100M,CminusR,move_contents_1_ops,move_contents,1,437,19.22,13.5,5.719999999999999
43122,chck_100M,CminusR,move_contents_2_ops,move_contents,2,399,19.05,17.04,2.0100000000000016
43122,chck_100M,CminusR,move_contents_3_ops,move_contents,3,406,22.91,17.0,5.91
43122,chck_100M,CminusR,move_contents_4_ops,move_contents,4,353,19.26,22.95,-3.6899999999999977
43122,chck_100M,CminusR,move_contents_5_ops,move_contents,5,116,27.59,31.03,-3.4400000000000013
43122,chck_100M,CminusR,regular_0_ops,regular,0,517,42.36,55.13,-12.770000000000003
43122,chck_100M,CminusR,regular_1_ops,regular,1,409,14.67,11.25,3.42
43122,chck_100M,CminusR,regular_2_ops,regular,2,405,18.52,18.27,0.25
43122,chck_100M,CminusR,regular_3_ops,regular,3,425,20.0,17.65,2.3500000000000014
43122,chck_100M,CminusR,regular_4_ops,regular,4,388,24.23,18.04,6.190000000000001
43122,chck_100M,CminusR,regular_5_ops,regular,5,94,27.66,30.85,-3.1900000000000013
