endpoint,word,child_aoa,model_aoa_word_count,model_aoa_log10_word_count,n_subword_tokens,n_model_points,n_child_points,first_word_count,last_word_count,threshold,best_perf,ceiling
dense_seed62065,flower,0.8297928212580227,13928725.376932522,7.14391137578561,1,18,16,1000000.0,89168037.0,-8.842307530421998,-7.980554533004761,-9.704060527839234
dense_seed62065,food,1.2054160017139068,6725624.641306535,6.827732625577753,1,18,16,1000000.0,89168037.0,-8.317078743953491,-6.930096960067749,-9.704060527839234
dense_seed62065,fork,2.8006067984067564,1728016.689778838,6.237547932728436,1,18,16,1000000.0,89168037.0,-9.601770976702532,-9.499481425565833,-9.704060527839234
dense_seed62065,friend,1.635193053158268,5591522.805416408,6.747530100538499,1,18,16,1000000.0,89168037.0,-7.794095061797883,-5.884129595756531,-9.704060527839234
dense_seed62065,full,1.2532299508612814,20865399.079535007,7.3194266956081115,1,18,16,1000000.0,89168037.0,-8.649513588924194,-7.594966650009155,-9.704060527839234
dense_seed62065,game,1.4529568094344192,7188166.689365679,6.856618139587789,1,18,16,1000000.0,89168037.0,-7.6808824241946,-5.657704320549965,-9.704060527839234
dense_seed62065,garden,1.1346020047750076,4644804.373208682,6.6669674273877675,1,18,16,1000000.0,89168037.0,-8.984035991210725,-8.264011454582214,-9.704060527839234
dense_seed62065,get,3.854430433329349,2619664.950669719,6.418245749571609,1,18,16,1000000.0,89168037.0,-6.975400070924545,-4.246739614009857,-9.704060527839234
dense_seed62065,girl,1.2065204780616083,6957719.093138006,6.842466890815312,1,18,16,1000000.0,89168037.0,-7.552601103563095,-5.401141679286956,-9.704060527839234
dense_seed62065,give,1.8459986087998488,1834554.9255809663,6.2635307188282106,1,18,16,1000000.0,89168037.0,-8.207371793765809,-6.710683059692383,-9.704060527839234
dense_seed62065,go,0.9705547610347265,3861958.867241204,6.5868076439060115,1,18,16,1000000.0,89168037.0,-7.462451557893539,-5.220842587947845,-9.704060527839234
dense_seed62065,good,4.080950226303303,1541545.3843800542,6.187956315242013,1,18,16,1000000.0,89168037.0,-7.587537090558792,-5.471013653278351,-9.704060527839234
dense_seed62065,grass,1.2149340001327427,11148794.82092197,7.047227922907762,1,18,16,1000000.0,89168037.0,-8.484606640119338,-7.265152752399445,-9.704060527839234
dense_seed62065,green,2.34795478639004,7964579.86621856,6.901162871587833,1,18,16,1000000.0,89168037.0,-8.25520084210136,-6.806341156363487,-9.704060527839234
dense_seed62065,gum,7.64511922930246,55225845.463058956,7.742142373291875,1,18,16,1000000.0,89168037.0,-9.171467482956567,-8.6388744380739,-9.704060527839234
dense_seed62065,hair,1.2445160978217809,28160485.44371423,7.449640137107475,1,18,16,1000000.0,89168037.0,-8.450301586169983,-7.196542644500733,-9.704060527839234
dense_seed62065,hamburger,1.5049919998746024,1148035.5276037494,6.059955328134706,1,18,16,1000000.0,89168037.0,-9.57916798847813,-9.454275449117025,-9.704060527839234
dense_seed62065,hand,1.3012817543193596,4190048.7490897425,6.622219075791477,1,18,16,1000000.0,89168037.0,-7.860380457420136,-6.016700387001038,-9.704060527839234
dense_seed62065,happy,1.349145396844294,6493338.308880214,6.812468030602974,1,18,16,1000000.0,89168037.0,-7.634754304666306,-5.565448081493377,-9.704060527839234
dense_seed62065,hard,1.4415883122139375,5732113.643845976,6.758314792054329,1,18,16,1000000.0,89168037.0,-8.185189203996444,-6.666317880153656,-9.704060527839234
dense_seed62065,hat,1.3990804427801915,1055004.109159687,6.023254151180538,1,18,16,1000000.0,89168037.0,-8.98427196599939,-8.264483404159545,-9.704060527839234
dense_seed62065,hate,1.2987407689548678,58132869.70685999,7.764421762266417,1,18,16,1000000.0,89168037.0,-9.048081748266007,-8.392102968692779,-9.704060527839234
dense_seed62065,have,4.580319021908147,1461163.9685678638,6.164698954228978,1,18,16,1000000.0,89168037.0,-6.697214292068268,-3.6903680562973022,-9.704060527839234
dense_seed62065,head,1.4571351530158272,1613489.108038522,6.207766038017127,1,18,16,1000000.0,89168037.0,-8.36366681911447,-7.0232731103897095,-9.704060527839234
dense_seed62065,hear,5.425848942538017,8436308.853851715,6.926152470909574,1,18,16,1000000.0,89168037.0,-7.712949000377442,-5.72183747291565,-9.704060527839234
dense_seed62065,help,2.837011402616735,5810277.57879949,6.764196880765766,1,18,16,1000000.0,89168037.0,-7.363475959081436,-5.022891390323639,-9.704060527839234
dense_seed62065,hide,4.608906673747335,10166075.228552561,7.007153319140477,1,18,16,1000000.0,89168037.0,-8.695505295772339,-7.686950063705444,-9.704060527839234
dense_seed62065,high,1.925878502075044,1919168.7410306516,6.283113161330942,1,18,16,1000000.0,89168037.0,-8.441195969362045,-7.178331410884857,-9.704060527839234
dense_seed62065,hold,4.6703772287403105,8529245.061917692,6.930910592720529,1,18,16,1000000.0,89168037.0,-8.4758849368284,-7.247709345817566,-9.704060527839234
dense_seed62065,home,1.494611298547168,1376468.7588689756,6.138766358842474,1,18,16,1000000.0,89168037.0,-8.325490574617172,-6.946920621395111,-9.704060527839234
dense_seed62065,horse,1.4888265986992277,8714372.095522515,6.940236099963065,1,18,16,1000000.0,89168037.0,-7.6447460249851,-5.585431522130966,-9.704060527839234
dense_seed62065,hose,1.7348128734721626,11026186.799642053,7.042425345785783,2,18,16,1000000.0,89168037.0,-16.169366116390492,-12.930611177102515,-19.408121055678468
dense_seed62065,hot,1.491558265663425,10020041.160189375,7.000869505523882,1,18,16,1000000.0,89168037.0,-8.7536827550123,-7.803304982185364,-9.704060527839234
dense_seed62065,house,1.8632653466651823,6793731.308834637,6.832108366584939,1,18,16,1000000.0,89168037.0,-7.5699807748983154,-5.435901021957397,-9.704060527839234
dense_seed62065,hungry,1.5037473247241349,2753962.1812925525,6.439957972025215,1,18,16,1000000.0,89168037.0,-9.411133474686727,-9.11820642153422,-9.704060527839234
dense_seed62065,hurry,1.3587618001260002,40496692.68974336,7.6074195564184945,1,18,16,1000000.0,89168037.0,-8.046200765416675,-6.388341002994114,-9.704060527839234
dense_seed62065,hurt,1.3484210413564874,10449557.564953953,7.019097902775608,1,18,16,1000000.0,89168037.0,-8.881773601550844,-8.059486675262452,-9.704060527839234
