label,baseline,checkpoint,group,n,base_accuracy_pct,label_accuracy_pct,delta_accuracy_pct,base_recency_pick_pct_among_available,label_recency_pick_pct_among_available,delta_recency_pick_pct_among_available,base_recency_not_gold_pick_pct,label_recency_not_gold_pick_pct,delta_recency_not_gold_pick_pct
binding_ep25_alpha0p75,chck82,eval,rel_eq0,1541,37.44321868916288,26.216742375081115,-11.226476314081768,23.052959501557634,29.595015576323988,6.542056074766354,23.052959501557634,29.595015576323988,6.542056074766354
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_1,257,38.91050583657587,29.961089494163424,-8.949416342412448,12.307692307692308,15.384615384615385,3.0769230769230766,12.307692307692308,15.384615384615385,3.0769230769230766
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_10,36,25.0,13.88888888888889,-11.11111111111111,41.666666666666664,50.0,8.333333333333336,41.666666666666664,50.0,8.333333333333336
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_11,32,28.125,15.625,-12.5,30.0,30.0,0.0,30.0,30.0,0.0
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_12,30,23.333333333333332,10.0,-13.333333333333332,25.0,50.0,25.0,25.0,50.0,25.0
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_1to3,641,39.0015600624025,31.825273010920437,-7.17628705148206,16.265060240963855,18.072289156626507,1.8072289156626518,16.265060240963855,18.072289156626507,1.8072289156626518
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_2,212,39.15094339622642,31.132075471698112,-8.018867924528305,23.25581395348837,18.6046511627907,-4.651162790697672,23.25581395348837,18.6046511627907,-4.651162790697672
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_3,172,38.95348837209303,35.46511627906977,-3.4883720930232585,15.517241379310345,20.689655172413794,5.172413793103448,15.517241379310345,20.689655172413794,5.172413793103448
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_4,131,39.69465648854962,22.900763358778626,-16.793893129770993,23.68421052631579,36.8421052631579,13.157894736842106,23.68421052631579,36.8421052631579,13.157894736842106
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_4to6,323,43.03405572755418,21.671826625387,-21.362229102167184,27.63157894736842,38.1578947368421,10.526315789473681,27.63157894736842,38.1578947368421,10.526315789473681
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_5,104,44.23076923076923,21.153846153846153,-23.07692307692308,39.130434782608695,39.130434782608695,0.0,39.130434782608695,39.130434782608695,0.0
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_6,88,46.59090909090909,20.454545454545453,-26.13636363636364,20.0,40.0,20.0,20.0,40.0,20.0
binding_ep25_alpha0p75,chck82,eval,rel_eq0_irrelevant_ops_7,66,28.78787878787879,15.151515151515152,-13.636363636363637,30.434782608695652,56.52173913043478,26.08695652173913,30.434782608695652,56.52173913043478,26.08695652173913
