arch,arm,checkpoint,companion_words,gain,probe_family,probe_id,repeated_nll,role,seed,source_domain,source_example_id,source_words,span_len,unrepeated_nll
C,C,chck_80M,8,3.3190843164920807,heldout_natural_source_repeat,heldoutcopy:1:190:23133,0.12286052107810974,,NA,gutenberg,23133,10,1,3.4419448375701904
C,C,chck_80M,13,1.4338915348052979,heldout_natural_source_repeat,heldoutcopy:1:191:59486,0.09426093101501465,,NA,simple_wiki,59486,21,1,1.5281524658203125
C,C,chck_80M,18,0.07910778827499598,heldout_natural_source_repeat,heldoutcopy:1:192:38482,0.0016445695655420423,,NA,gutenberg,38482,29,1,0.08075235784053802
C,C,chck_80M,8,-0.8246939182281494,heldout_natural_source_repeat,heldoutcopy:1:193:45843,3.248074769973755,,NA,open_subtitles,45843,10,1,2.4233808517456055
C,C,chck_80M,8,3.8986490294337273,heldout_natural_source_repeat,heldoutcopy:1:194:61912,0.12429351359605789,,NA,simple_wiki,61912,10,1,4.022942543029785
C,C,chck_80M,8,8.1078419983387,heldout_natural_source_repeat,heldoutcopy:1:195:1018,0.18590208888053894,,NA,bnc_spoken,1018,13,1,8.293744087219238
C,C,chck_80M,8,8.485859811306,heldout_natural_source_repeat,heldoutcopy:1:196:45756,0.08766847848892212,,NA,open_subtitles,45756,13,1,8.573528289794922
C,C,chck_80M,8,1.2495153779163957,heldout_natural_source_repeat,heldoutcopy:1:197:51773,0.004747784696519375,,NA,open_subtitles,51773,13,1,1.254263162612915
C,C,chck_80M,8,0.016545436345040798,heldout_natural_source_repeat,heldoutcopy:1:198:14587,0.0022644372656941414,,NA,childes,14587,12,1,0.01880987361073494
C,C,chck_80M,22,-4.7681169235147536e-07,heldout_natural_source_repeat,heldoutcopy:1:199:7065,5.376194530981593e-05,,NA,childes,7065,36,1,5.328513361746445e-05
C,C,chck_80M,9,-0.0013496391475200653,heldout_natural_source_repeat,heldoutcopy:1:19:58281,0.022983120754361153,,NA,simple_wiki,58281,15,1,0.021633481606841087
C,C,chck_80M,17,0.9192132949829102,heldout_natural_source_repeat,heldoutcopy:1:1:57252,8.904524803161621,,NA,simple_wiki,57252,28,1,9.823738098144531
C,C,chck_80M,8,0.7411000127904117,heldout_natural_source_repeat,heldoutcopy:1:200:7935,0.002488494385033846,,NA,childes,7935,11,1,0.7435885071754456
C,C,chck_80M,8,1.3895826246589422,heldout_natural_source_repeat,heldoutcopy:1:201:50052,0.030527720227837563,,NA,open_subtitles,50052,11,1,1.4201103448867798
C,C,chck_80M,12,1.5023809056729078,heldout_natural_source_repeat,heldoutcopy:1:202:7743,0.021564068272709846,,NA,childes,7743,19,1,1.5239449739456177
C,C,chck_80M,22,11.258523486554623,heldout_natural_source_repeat,heldoutcopy:1:203:52392,0.048079945147037506,,NA,open_subtitles,52392,36,1,11.30660343170166
C,C,chck_80M,10,0.5002332488074899,heldout_natural_source_repeat,heldoutcopy:1:204:21975,0.01255230512470007,,NA,childes,21975,16,1,0.5127855539321899
C,C,chck_80M,12,11.088804069906473,heldout_natural_source_repeat,heldoutcopy:1:205:42298,0.05843370780348778,,NA,open_subtitles,42298,19,1,11.147237777709961
C,C,chck_80M,19,12.977213768288493,heldout_natural_source_repeat,heldoutcopy:1:206:56120,0.016385169699788094,,NA,simple_wiki,56120,30,1,12.993598937988281
C,C,chck_80M,9,0.9742741584777832,heldout_natural_source_repeat,heldoutcopy:1:207:31876,5.756566524505615,,NA,gutenberg,31876,14,1,6.730840682983398
C,C,chck_80M,10,0.0558744294103235,heldout_natural_source_repeat,heldoutcopy:1:208:17882,0.0036435427609831095,,NA,childes,17882,16,1,0.05951797217130661
C,C,chck_80M,9,8.362068474292755,heldout_natural_source_repeat,heldoutcopy:1:209:29842,0.22932595014572144,,NA,gutenberg,29842,14,1,8.591394424438477
C,C,chck_80M,8,2.6094191186130047,heldout_natural_source_repeat,heldoutcopy:1:20:18239,0.017874468117952347,,NA,childes,18239,12,1,2.627293586730957
C,C,chck_80M,8,6.660578023642302,heldout_natural_source_repeat,heldoutcopy:1:210:17570,0.035470712929964066,,NA,childes,17570,10,1,6.696048736572266
C,C,chck_80M,9,6.752777534537017,heldout_natural_source_repeat,heldoutcopy:1:211:36593,0.011045974679291248,,NA,gutenberg,36593,15,1,6.763823509216309
C,C,chck_80M,9,3.9014778658747673,heldout_natural_source_repeat,heldoutcopy:1:212:12470,0.06479591876268387,,NA,childes,12470,15,1,3.966273784637451
C,C,chck_80M,8,0.30661537032574415,heldout_natural_source_repeat,heldoutcopy:1:213:20655,0.0037923576310276985,,NA,childes,20655,11,1,0.31040772795677185
C,C,chck_80M,9,13.029726400971413,heldout_natural_source_repeat,heldoutcopy:1:214:42006,0.05532895028591156,,NA,open_subtitles,42006,14,1,13.085055351257324
C,C,chck_80M,22,-1.6689109543222003e-06,heldout_natural_source_repeat,heldoutcopy:1:215:60583,1.2040065485052764e-05,,NA,simple_wiki,60583,36,1,1.0371154530730564e-05
C,C,chck_80M,12,1.4374269135296345,heldout_natural_source_repeat,heldoutcopy:1:216:18563,0.04046357795596123,,NA,childes,18563,19,1,1.4778904914855957
C,C,chck_80M,8,3.5505760610103607,heldout_natural_source_repeat,heldoutcopy:1:217:6247,0.30357471108436584,,NA,childes,6247,11,1,3.8541507720947266
C,C,chck_80M,10,0.00028798356652259827,heldout_natural_source_repeat,heldoutcopy:1:218:56147,0.0016011287225410342,,NA,simple_wiki,56147,16,1,0.0018891122890636325
C,C,chck_80M,9,0.15632259845733643,heldout_natural_source_repeat,heldoutcopy:1:219:50022,1.1800024509429932,,NA,open_subtitles,50022,14,1,1.3363250494003296
C,C,chck_80M,11,9.946543842554092,heldout_natural_source_repeat,heldoutcopy:1:21:54800,0.308278888463974,,NA,simple_wiki,54800,17,1,10.254822731018066
C,C,chck_80M,27,11.74247993528843,heldout_natural_source_repeat,heldoutcopy:1:220:445,0.15515457093715668,,NA,bnc_spoken,445,44,1,11.897634506225586
C,C,chck_80M,8,0.0035400092601776123,heldout_natural_source_repeat,heldoutcopy:1:221:17535,0.015001459047198296,,NA,childes,17535,10,1,0.018541468307375908
C,C,chck_80M,9,-0.09801515191793442,heldout_natural_source_repeat,heldoutcopy:1:222:50711,0.1860310584306717,,NA,open_subtitles,50711,15,1,0.08801590651273727
C,C,chck_80M,9,8.428644955158234,heldout_natural_source_repeat,heldoutcopy:1:223:20001,0.12642592191696167,,NA,childes,20001,14,1,8.555070877075195
C,C,chck_80M,17,7.702166274189949,heldout_natural_source_repeat,heldoutcopy:1:224:777,0.08211736381053925,,NA,bnc_spoken,777,27,1,7.784283638000488
C,C,chck_80M,16,13.778285504318774,heldout_natural_source_repeat,heldoutcopy:1:225:1742,0.009108065627515316,,NA,bnc_spoken,1742,25,1,13.787393569946289
C,C,chck_80M,14,4.59051526337862,heldout_natural_source_repeat,heldoutcopy:1:226:25849,0.10389124602079391,,NA,gutenberg,25849,22,1,4.694406509399414
C,C,chck_80M,9,1.0723653975874186,heldout_natural_source_repeat,heldoutcopy:1:227:11615,0.01437557302415371,,NA,childes,11615,15,1,1.0867409706115723
C,C,chck_80M,9,0.5912409038282931,heldout_natural_source_repeat,heldoutcopy:1:228:57671,0.0023497133515775204,,NA,simple_wiki,57671,14,1,0.5935906171798706
C,C,chck_80M,8,4.9319813549518585,heldout_natural_source_repeat,heldoutcopy:1:229:57417,0.2112276256084442,,NA,simple_wiki,57417,10,1,5.143208980560303
C,C,chck_80M,8,7.627751737833023,heldout_natural_source_repeat,heldoutcopy:1:22:24538,0.06466731429100037,,NA,gutenberg,24538,13,1,7.692419052124023
C,C,chck_80M,11,7.657585263252258,heldout_natural_source_repeat,heldoutcopy:1:230:1756,0.5689677000045776,,NA,bnc_spoken,1756,18,1,8.226552963256836
C,C,chck_80M,28,9.916566263884306,heldout_natural_source_repeat,heldoutcopy:1:231:17433,0.03972684219479561,,NA,childes,17433,45,1,9.956293106079102
C,C,chck_80M,9,0.7389382310211658,heldout_natural_source_repeat,heldoutcopy:1:232:49603,0.05371324345469475,,NA,open_subtitles,49603,14,1,0.7926514744758606
C,C,chck_80M,14,8.957514569163322,heldout_natural_source_repeat,heldoutcopy:1:233:24329,0.1953708678483963,,NA,gutenberg,24329,22,1,9.152885437011719
C,C,chck_80M,9,2.4237443953752518,heldout_natural_source_repeat,heldoutcopy:1:234:35242,0.06481580436229706,,NA,gutenberg,35242,14,1,2.488560199737549
C,C,chck_80M,14,-0.006586745381355286,heldout_natural_source_repeat,heldoutcopy:1:235:43592,0.17062640190124512,,NA,open_subtitles,43592,22,1,0.16403965651988983
C,C,chck_80M,8,7.521907210350037,heldout_natural_source_repeat,heldoutcopy:1:236:3574,0.9384714365005493,,NA,bnc_spoken,3574,12,1,8.460378646850586
C,C,chck_80M,8,3.621211864054203,heldout_natural_source_repeat,heldoutcopy:1:237:28648,0.052002809941768646,,NA,gutenberg,28648,13,1,3.6732146739959717
C,C,chck_80M,10,0.02408244856633246,heldout_natural_source_repeat,heldoutcopy:1:238:7814,0.0025769618805497885,,NA,childes,7814,16,1,0.026659410446882248
C,C,chck_80M,22,0.0018181651830673218,heldout_natural_source_repeat,heldoutcopy:1:239:5577,0.07877979427576065,,NA,childes,5577,36,1,0.08059795945882797
C,C,chck_80M,12,-0.26741576194763184,heldout_natural_source_repeat,heldoutcopy:1:23:12025,2.272313117980957,,NA,childes,12025,19,1,2.004897356033325
C,C,chck_80M,8,7.06781542301178,heldout_natural_source_repeat,heldoutcopy:1:240:53669,0.7623213529586792,,NA,simple_wiki,53669,13,1,7.830136775970459
C,C,chck_80M,14,3.8941276781260967,heldout_natural_source_repeat,heldoutcopy:1:241:60425,0.03067605569958687,,NA,simple_wiki,60425,22,1,3.9248037338256836
C,C,chck_80M,12,5.5393126383423805,heldout_natural_source_repeat,heldoutcopy:1:242:33497,0.024004660546779633,,NA,gutenberg,33497,20,1,5.56331729888916
C,C,chck_80M,16,3.9929656982421875,heldout_natural_source_repeat,heldoutcopy:1:243:15521,0.8942322731018066,,NA,childes,15521,26,1,4.887197971343994
C,C,chck_80M,9,5.735119141638279,heldout_natural_source_repeat,heldoutcopy:1:244:13301,0.07429905980825424,,NA,childes,13301,15,1,5.809418201446533
C,C,chck_80M,28,4.946713238954544,heldout_natural_source_repeat,heldoutcopy:1:245:37303,0.1225564181804657,,NA,gutenberg,37303,49,1,5.06926965713501
C,C,chck_80M,8,5.0773641243577,heldout_natural_source_repeat,heldoutcopy:1:246:19400,0.030918918550014496,,NA,childes,19400,10,1,5.108283042907715
C,C,chck_80M,8,0.00023937574587762356,heldout_natural_source_repeat,heldoutcopy:1:247:11686,0.0033450147602707148,,NA,childes,11686,12,1,0.0035843905061483383
C,C,chck_80M,26,8.689646491780877,heldout_natural_source_repeat,heldoutcopy:1:248:25542,0.019254913553595543,,NA,gutenberg,25542,42,1,8.708901405334473
