overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
ALL,nonoverlap,HVminusHM,gain_U_vs_N,1200,0.044019508858133716,0.017694960490800386,0.5333333333333333
ALL,nonoverlap,HMminusV,gain_T_vs_U,1200,-0.1832296544995107,0.03420073833777817,0.435
ALL,nonoverlap,HMminusV,gain_T_vs_N,1200,-0.26210945173632355,0.034784465811533334,0.4083333333333333
ALL,nonoverlap,HMminusV,gain_U_vs_N,1200,-0.07887979723681281,0.018581827455183404,0.46
ALL,nonoverlap,HMminusR,gain_T_vs_U,1200,0.11741014187638131,0.033708476070284286,0.5266666666666666
ALL,nonoverlap,HMminusR,gain_T_vs_N,1200,-0.006321970526607608,0.034118256800020376,0.48333333333333334
ALL,nonoverlap,HMminusR,gain_U_vs_N,1200,-0.12373211240298891,0.017871956384067328,0.42333333333333334
ALL,overlap,RminusC,gain_T_vs_U,1200,0.15388579482903475,0.055005869754790035,0.5516666666666666
ALL,overlap,RminusC,gain_T_vs_N,1200,0.1955432667939143,0.05230896172393808,0.57
ALL,overlap,RminusC,gain_U_vs_N,1200,0.04165747196487953,0.029811412107249465,0.5225
ALL,overlap,VminusC,gain_T_vs_U,1200,0.2905655811330346,0.057806437035405,0.5825
ALL,overlap,VminusC,gain_T_vs_N,1200,0.2978418080418406,0.05760595218017072,0.5791666666666667
ALL,overlap,VminusC,gain_U_vs_N,1200,0.007276226908806065,0.03131715083427717,0.49166666666666664
ALL,overlap,HVminusC,gain_T_vs_U,1200,0.06492861711702265,0.05032160787127817,0.5108333333333334
ALL,overlap,HVminusC,gain_T_vs_N,1200,0.03243752649064443,0.04841156901272839,0.4975
ALL,overlap,HVminusC,gain_U_vs_N,1200,-0.032491090626378234,0.029227361884911793,0.4791666666666667
ALL,overlap,HVminusV,gain_T_vs_U,1200,-0.2256369640160119,0.049933489822204434,0.445
ALL,overlap,HVminusV,gain_T_vs_N,1200,-0.26540428155119616,0.05052761105330304,0.43666666666666665
ALL,overlap,HVminusV,gain_U_vs_N,1200,-0.0397673175351843,0.03000181572824112,0.4775
ALL,overlap,VminusHV,gain_T_vs_U,1200,0.2256369640160119,0.049933489822204434,0.555
ALL,overlap,VminusHV,gain_T_vs_N,1200,0.26540428155119616,0.05052761105330304,0.5633333333333334
ALL,overlap,VminusHV,gain_U_vs_N,1200,0.0397673175351843,0.03000181572824112,0.5225
ALL,overlap,HMminusC,gain_T_vs_U,1200,0.3517018985124337,0.05519051247028087,0.5791666666666667
ALL,overlap,HMminusC,gain_T_vs_N,1200,0.32427222275610096,0.05358328715459657,0.5758333333333333
ALL,overlap,HMminusC,gain_U_vs_N,1200,-0.027429675756332775,0.03116568883303532,0.49083333333333334
ALL,overlap,HMminusHV,gain_T_vs_U,1200,0.2867732813954111,0.04874801097728237,0.585
ALL,overlap,HMminusHV,gain_T_vs_N,1200,0.29183469626545655,0.04666230368393024,0.5783333333333334
ALL,overlap,HMminusHV,gain_U_vs_N,1200,0.005061414870045459,0.029040389963154875,0.49916666666666665
ALL,overlap,HVminusHM,gain_T_vs_U,1200,-0.2867732813954111,0.04874801097728237,0.415
ALL,overlap,HVminusHM,gain_T_vs_N,1200,-0.29183469626545655,0.04666230368393024,0.4216666666666667
ALL,overlap,HVminusHM,gain_U_vs_N,1200,-0.005061414870045459,0.029040389963154875,0.5008333333333334
ALL,overlap,HMminusV,gain_T_vs_U,1200,0.06113631737939917,0.04642915550475498,0.5233333333333333
ALL,overlap,HMminusV,gain_T_vs_N,1200,0.026430414714260327,0.04546351016030787,0.5033333333333333
ALL,overlap,HMminusV,gain_U_vs_N,1200,-0.03470590266513884,0.028171727634978237,0.4716666666666667
ALL,overlap,HMminusR,gain_T_vs_U,1200,0.19781610368339897,0.04764789570887665,0.55
ALL,overlap,HMminusR,gain_T_vs_N,1200,0.12872895596218667,0.045404997069935255,0.515
