model,arm,seed,data_arm,checkpoint,words,uid,domain,index,official_margin,target2_context_margin,interaction,correct,saved_pred_match
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_64,quantitative-properties,64,5.8583984375,-2.28369140625,3.57470703125,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_103,quantitative-properties,103,1.46728515625,3.47509765625,4.9423828125,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_106,quantitative-properties,106,4.3865966796875,-0.16845703125,4.2181396484375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_122,quantitative-properties,122,-1.9296875,-3.60205078125,-5.53173828125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_192,quantitative-properties,192,0.15496826171875,4.53912353515625,4.694091796875,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,quantitative-properties_253,quantitative-properties,253,2.144775390625,-1.029296875,1.115478515625,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_12,social-interactions,12,3.03955078125,0.31640625,3.35595703125,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_16,social-interactions,16,1.2215576171875,0.61541748046875,1.83697509765625,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_19,social-interactions,19,0.49853515625,-0.62347412109375,-0.12493896484375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_53,social-interactions,53,-0.1209716796875,1.270751953125,1.1497802734375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_101,social-interactions,101,0.68017578125,3.030029296875,3.710205078125,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_108,social-interactions,108,3.076171875,-0.3165283203125,2.7596435546875,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_130,social-interactions,130,0.1328125,1.452392578125,1.585205078125,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_191,social-interactions,191,-2.438720703125,6.145751953125,3.70703125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_237,social-interactions,237,0.609375,1.5546875,2.1640625,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-interactions_266,social-interactions,266,-1.327880859375,1.83642578125,0.508544921875,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_25,social-properties,25,0.09375,-1.49755859375,-1.40380859375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_86,social-properties,86,-0.169921875,-0.2861328125,-0.4560546875,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_107,social-properties,107,-0.046875,-3.7734375,-3.8203125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_137,social-properties,137,-4.46875,-2.28125,-6.75,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_239,social-properties,239,-1.387939453125,1.4423828125,0.054443359375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_254,social-properties,254,-0.376953125,-0.41015625,-0.787109375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_292,social-properties,292,1.830078125,-1.10546875,0.724609375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_300,social-properties,300,5.8544921875,-2.4638671875,3.390625,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_303,social-properties,303,-0.9833984375,1.5107421875,0.52734375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-properties_304,social-properties,304,1.328125,-0.130859375,1.197265625,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_64,social-relations,64,3.334228515625,-1.17236328125,2.161865234375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_154,social-relations,154,23.009033203125,20.157470703125,43.16650390625,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_165,social-relations,165,-5.551025390625,-4.82958984375,-10.380615234375,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_239,social-relations,239,-1.056640625,0.7734375,-0.283203125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_333,social-relations,333,-9.322509765625,1.724609375,-7.597900390625,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_417,social-relations,417,0.33984375,0.05029296875,0.39013671875,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_661,social-relations,661,3.3828125,-2.69873046875,0.68408203125,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_763,social-relations,763,9.5106201171875,-2.05126953125,7.4593505859375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_790,social-relations,790,-0.20068359375,1.64990234375,1.44921875,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,social-relations_1192,social-relations,1192,0.9140625,7.38671875,8.30078125,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_91,spatial-relations,91,4.4140625,-5.3984375,-0.984375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_156,spatial-relations,156,1.4453125,3.3515625,4.796875,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_241,spatial-relations,241,-1.2765884399414062,-3.6267242431640625,-4.903312683105469,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_248,spatial-relations,248,-2.84320068359375,-2.2393951416015625,-5.0825958251953125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_255,spatial-relations,255,1.88958740234375,3.09063720703125,4.980224609375,True,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_281,spatial-relations,281,-1.9273529052734375,-2.994598388671875,-4.9219512939453125,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_293,spatial-relations,293,-3.92791748046875,10.440147399902344,6.512229919433594,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_352,spatial-relations,352,-2.5924835205078125,-2.9204483032226562,-5.512931823730469,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_393,spatial-relations,393,-0.27972412109375,0.78741455078125,0.5076904296875,False,True
seed43022_compact_chck_80M,seed43022_compact,43022,compact,chck_80M,80000000,spatial-relations_428,spatial-relations,428,2.167236328125,-3.546875,-1.379638671875,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_426,agent-properties,426,-13.176513671875,-5.665283203125,-18.841796875,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_851,agent-properties,851,4.57080078125,2.0736083984375,6.6444091796875,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_895,agent-properties,895,5.0482177734375,1.8812255859375,6.929443359375,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_910,agent-properties,910,-2.270517349243164,1.788604736328125,-0.48191261291503906,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_1132,agent-properties,1132,0.49959373474121094,-0.5598354339599609,-0.06024169921875,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_1283,agent-properties,1283,0.37964630126953125,-0.6467666625976562,-0.267120361328125,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_1519,agent-properties,1519,-2.2977142333984375,9.164352416992188,6.86663818359375,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_1692,agent-properties,1692,1.4548797607421875,-11.4736328125,-10.018753051757812,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_1823,agent-properties,1823,13.821075439453125,10.80462646484375,24.625701904296875,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,agent-properties_1994,agent-properties,1994,1.90167236328125,0.998291015625,2.89996337890625,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_115,material-dynamics,115,1.3125,-1.2109375,0.1015625,True,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_122,material-dynamics,122,-1.19921875,-0.515625,-1.71484375,False,True
seed43022_compact_chck_100M,seed43022_compact,43022,compact,chck_100M,100000000,material-dynamics_131,material-dynamics,131,-0.328125,0.15625,-0.171875,False,True
