family,arch,arm,checkpoint,seed,role,group,n,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates,mean_margin_no_all_relevant_updates,mean_margin_no_initial_qbox,mean_margin_no_last_relevant_update,mean_relevant_updates,mean_total_ops
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_ge2,1205,0.11104572254592453,0.7228008965486313,-0.590921410262832,-2.034221593398771,-1.9231758708528464,0.8338466190945558,-0.4798756877169075,3.020746887966805,9.269709543568466
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_ge3,716,0.41151905476048006,0.6648155092443834,-0.5497892547461241,-2.324653863688338,-1.9131348089278577,1.0763345640048634,-0.138270199985644,3.717877094972067,9.886871508379889
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_updates_1,16,-0.13726353645324707,1.1158039569854736,0.015275001525878906,0.015275001525878906,-0.12198853492736816,0.9785404205322266,-0.12198853492736816,1.0,8.5
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_updates_2,489,-0.3289111401649584,0.8077038358325607,-0.651147633882388,-1.608966980868444,-1.9378781210334024,0.4787926956676023,-0.9800587740473464,2.0,8.366053169734151
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_updates_3,296,-0.03979144446753167,0.7224578691294065,-0.4298268764002903,-2.0626015477889292,-2.102392992256461,0.6826664246618748,-0.46961832086782196,3.0,9.54054054054054
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_updates_4,326,0.4461532551452426,0.6299377515272129,-0.681458053276217,-2.4371942028266154,-1.9910409476813729,1.0760910066724554,-0.23530479813097444,4.0,10.13803680981595
entity_ablation,D,D_R_43222,chck_90M,43222,R,rel_updates_5,94,1.7125526552504682,0.6042624293489659,-0.4709045278265121,-2.7595404056792563,-1.046987750428788,2.316815084599434,1.2416481274239561,5.0,10.106382978723405
entity_ablation,D,D_R_43222,chck_90M,43222,R,type_ambiref,399,-0.16154082451846666,0.7302041198675495,-0.4698426299226613,-1.3252011813167344,-1.486742005835201,0.5686632953490829,-0.6313834544411279,3.0526315789473686,9.230576441102757
entity_ablation,D,D_R_43222,chck_90M,43222,R,type_move_contents,381,0.11286885242449643,0.8156610315083832,-0.6606935984271718,-2.180333074641822,-2.0674642222173256,0.9285298839328796,-0.5478247460026754,2.900262467191601,9.401574803149606
entity_ablation,D,D_R_43222,chck_90M,43222,R,type_regular,441,0.34708760837578717,0.6501352535624082,-0.6181959841324358,-2.475125730696584,-2.1280381223207967,0.9972228619381954,-0.27110837575664865,3.0226757369614514,9.16326530612245
entity_ablation,D,D_V_43222,chck_100M,43222,V,ALL,1221,0.8639298912738796,-0.19038948282465204,-0.8311354929457718,-1.1887677262836944,-0.32483783500981467,0.6735404084492277,0.032794398328107856,2.994266994266994,9.25962325962326
entity_ablation,D,D_V_43222,chck_100M,43222,V,rel_ge2,1205,0.8559716384935181,-0.1862622193775731,-0.8333247256971493,-1.1957056027972353,-0.3397339643037171,0.6697094191159451,0.022646912796368737,3.020746887966805,9.269709543568466
entity_ablation,D,D_V_43222,chck_100M,43222,V,rel_ge3,716,1.0828572375148369,-0.13753036746765648,-0.8652517942909422,-1.3437748604854725,-0.26091762297063564,0.9453268700471803,0.21760544322389463,3.717877094972067,9.886871508379889
entity_ablation,D,D_V_43222,chck_100M,43222,V,rel_updates_1,16,1.4632858037948608,-0.501224011182785,-0.6662589013576508,-0.6662589013576508,0.7970269024372101,0.9620617926120758,0.7970269024372101,1.0,8.5
