arm_key,contrast_group,model_family,seed,data_role,checkpoint,predictions,split,numops,n_gold_filtered,n_pred,n_scored,correct,score_pp,pred_option0_frac,pred_not_in_options_frac
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,1,428,428,428,67,15.654205607476635,0.15654205607476634,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,2,413,413,413,100,24.213075060532688,0.24213075060532688,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,3,409,409,409,110,26.894865525672373,0.26894865525672373,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,4,434,434,434,158,36.40552995391705,0.3640552995391705,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,ambiref,5,123,123,123,36,29.26829268292683,0.2926829268292683,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,0,517,517,517,209,40.42553191489362,0.40425531914893614,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,1,409,409,409,60,14.669926650366747,0.1466992665036675,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,2,405,405,405,92,22.71604938271605,0.2271604938271605,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,3,425,425,425,112,26.352941176470587,0.2635294117647059,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,4,388,388,388,120,30.927835051546392,0.30927835051546393,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,regular,5,94,94,94,32,34.04255319148936,0.3404255319148936,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,0,516,516,516,232,44.96124031007752,0.4496124031007752,0.0
deberta_basin1_view,deberta_basin1,DeBERTa,43022,view,chck_100M,experiments/archive/frontier_consolidation/data/dose_ladder_stable_eval/eval/official_outputs/dose_max_view_chck_100M/Entity/chck_100M/full_dose_max_view_chck_100M_Entity/zero_shot/mlm/entity_tracking/entity_tracking/predictions.json,move_contents,1,437,437,437,71,16.247139588100687,0.16247139588100687,0.0
