identity,quantity,window,n,mean,median,min,max,checkpoints
D1_VR_equals_VB_plus_BR,cheap5_no_GlobalPIQA_Reading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,cheap5_no_GlobalPIQA_Reading,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VR_equals_VB_plus_BR,cheap6_no_GlobalPIQA,common10_80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,cheap6_no_GlobalPIQA,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,cheap6_no_GlobalPIQA,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,cheap6_no_GlobalPIQA,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VR_equals_VB_plus_BR,exEntity4_noReading,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VR_equals_VB_plus_BR,exEntity4_noReading,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,exEntity4_noReading,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,exEntity4_noReading,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
D1_VR_equals_VB_plus_BR,exEntity5,common10_80,8,0.0,0.0,0.0,0.0,chck_10M;chck_20M;chck_30M;chck_40M;chck_50M;chck_60M;chck_70M;chck_80M
D1_VR_equals_VB_plus_BR,exEntity5,endpoint100,1,0.0,0.0,0.0,0.0,chck_100M
D1_VR_equals_VB_plus_BR,exEntity5,endpoint80,1,0.0,0.0,0.0,0.0,chck_80M
D1_VR_equals_VB_plus_BR,exEntity5,late80_100,3,0.0,0.0,0.0,0.0,chck_80M;chck_90M;chck_100M
