contrast,arm_a,arm_b,checkpoint,words,quantity,missing_a,missing_b
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_40M,40000000,exEntity4_noReading,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_40M,40000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,BLiMP,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,Supplement,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,EWoK,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,Entity,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,COMPS,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,Reading,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,exEntity5,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,exEntity4_noReading,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_50M,50000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,BLiMP,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,Supplement,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,EWoK,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,Entity,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,COMPS,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,Reading,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,cheap5_no_GlobalPIQA_Reading,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,exEntity5,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,exEntity4_noReading,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_60M,60000000,EWoK_plus_Entity_sum,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_70M,70000000,BLiMP,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_70M,70000000,Supplement,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_70M,70000000,EWoK,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_70M,70000000,Entity,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_70M,70000000,COMPS,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_70M,70000000,Reading,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_70M,70000000,cheap6_no_GlobalPIQA,True,True
deberta_basin2_VminusR,deberta_basin2_view,deberta_basin2_repeat,chck_70M,70000000,cheap5_no_GlobalPIQA_Reading,True,True
