contrast,arm_a,arm_b,checkpoint,words,quantity,delta,score_a,score_b
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,exEntity5,-0.8609999999999971,46.381,47.242
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_70M,70000000,exEntity4_noReading,-1.042500000000004,56.1125,57.155
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,BLiMP,-0.8700000000000045,66.3,67.17
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,Supplement,1.8200000000000003,60.37,58.55
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,EWoK,-0.15000000000000568,49.8,49.95
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,Entity,3.1000000000000014,27.98,24.88
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,COMPS,-1.1799999999999997,50.93,52.11
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,Reading,0.0699999999999994,7.6499999999999995,7.58
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,cheap6_no_GlobalPIQA,0.4649999999999963,43.83833333333333,43.373333333333335
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,cheap5_no_GlobalPIQA_Reading,0.544000000000004,51.076,50.532
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,exEntity5,-0.06200000000000472,47.01,47.072
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,exEntity4_noReading,-0.09500000000000597,56.849999999999994,56.945
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_80M,80000000,EWoK_plus_Entity_sum,1.4750000000000014,38.89,37.415
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,BLiMP,-0.6099999999999994,66.86,67.47
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,Supplement,1.1899999999999977,59.54,58.35
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,EWoK,1.2600000000000051,50.45,49.19
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,Entity,3.080000000000002,28.19,25.11
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,COMPS,-1.3599999999999994,50.94,52.3
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,Reading,-0.0649999999999995,7.665000000000001,7.73
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,cheap6_no_GlobalPIQA,0.582499999999996,43.94083333333333,43.358333333333334
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,cheap5_no_GlobalPIQA_Reading,0.7119999999999962,51.196,50.484
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,exEntity5,0.08300000000000551,47.091,47.007999999999996
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,exEntity4_noReading,0.11999999999999744,56.9475,56.8275
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_90M,90000000,EWoK_plus_Entity_sum,2.1700000000000017,39.32,37.15
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,BLiMP,-0.5499999999999972,66.84,67.39
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,Supplement,1.6999999999999957,59.55,57.85
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,EWoK,0.8999999999999986,50.15,49.25
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,Entity,2.8000000000000007,28.09,25.29
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,COMPS,-1.3499999999999943,50.88,52.23
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,Reading,-0.05000000000000071,7.685,7.735
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,cheap6_no_GlobalPIQA,0.5750000000000028,43.865833333333335,43.29083333333333
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,cheap5_no_GlobalPIQA_Reading,0.7000000000000028,51.102000000000004,50.402
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,exEntity5,0.13000000000000256,47.021,46.891
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,exEntity4_noReading,0.17500000000000426,56.855000000000004,56.68
deberta_basin1_VminusB,deberta_basin1_view,deberta_basin1_breadth,chck_100M,100000000,EWoK_plus_Entity_sum,1.8500000000000014,39.12,37.269999999999996
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_10M,10000000,BLiMP,1.2899999999999991,57.51,56.22
deberta_basin1_BminusR,deberta_basin1_breadth,deberta_basin1_repeat,chck_10M,10000000,Supplement,-0.09000000000000341,53.43,53.52
