target_word,n_contexts,coherent86,dense_seed62064,dense_seed62065,d64_minus_coherent,d65_minus_coherent,d65_minus_d64,cdi_final_30m,cdi_mean_16_30m,cdi_first_month_ge_0p5
corn,20,8.053195767104626,8.117027650028467,8.100557294860483,0.06383188292384148,0.04736152775585652,-0.016470355167984962,0.71,0.40399999999999997,25.0
couch,20,7.599441134929657,7.9100356817245485,7.924073839187622,0.31059454679489135,0.3246327042579651,0.014038157463073731,0.69,0.39466666666666667,25.0
country,20,6.046324920654297,6.092058897018433,6.100399661064148,0.045733976364135745,0.05407474040985107,0.008340764045715331,0.15,0.051333333333333335,
cover,20,8.42390239238739,8.516473293304443,8.50681004524231,0.09257090091705322,0.08290765285491944,-0.009663248062133789,0.48,0.21133333333333332,28.0
cow,12,11.486867109934488,11.937942266464233,11.951179027557373,0.45107515652974445,0.4643119176228841,0.013236761093139648,0.85,0.622,21.0
cowboy,4,11.732545375823975,11.798754215240479,11.824358701705933,0.0662088394165039,0.09181332588195801,0.0256044864654541,0.34,0.12466666666666668,
cracker,1,11.24913215637207,11.61086654663086,11.616491317749023,0.36173439025878906,0.3673591613769531,0.0056247711181640625,0.78,0.6046666666666667,21.0
crayon,3,10.689542134602865,10.66930357615153,10.65813414255778,-0.020238558451334637,-0.03140799204508463,-0.01116943359375,0.76,0.4566666666666667,24.0
crib,20,8.402022287249565,8.394444356858731,8.407818825542927,-0.007577930390834808,0.0057965382933616635,0.013374468684196473,0.64,0.3413333333333333,26.0
cry,20,7.935561728477478,8.190287542343139,8.204041230678559,0.2547258138656616,0.2684795022010803,0.013753688335418702,0.8,0.45399999999999996,24.0
cup,20,6.273699378967285,6.590078540146351,6.580384774506092,0.3163791611790657,0.3066853955388069,-0.009693765640258789,0.85,0.64,21.0
cut,20,8.215087366104125,8.36834375858307,8.3625932097435,0.15325639247894288,0.14750584363937377,-0.005750548839569092,0.62,0.2853333333333333,27.0
cute,20,11.72246196269989,11.934895277023315,11.951996040344238,0.2124333143234253,0.22953407764434813,0.017100763320922852,0.57,0.282,28.0
daddy,3,6.978788375854492,7.458831628163655,7.452131907145183,0.4800432523091634,0.4733435312906901,-0.006699721018473308,0.92,0.928,16.0
dance,20,9.654280632734299,9.696320942044258,9.695472323894501,0.04204030930995941,0.04119169116020203,-0.0008486181497573853,0.78,0.4593333333333333,23.0
dark,20,8.898247122764587,9.184475517272949,9.210136938095093,0.2862283945083618,0.31188981533050536,0.025661420822143555,0.62,0.31,27.0
day,20,5.228480665385723,5.346914740651846,5.338962355256081,0.11843407526612282,0.11048168987035752,-0.007952385395765305,0.54,0.232,28.0
deer,15,11.627874437967936,11.939478747049968,11.95875956217448,0.31160430908203124,0.330885124206543,0.01928081512451172,0.49,0.292,28.0
diaper,10,9.806134366989136,9.61106448173523,9.589156913757325,-0.19506988525390626,-0.21697745323181153,-0.021907567977905273,0.84,0.6373333333333334,21.0
dinner,20,7.50739449262619,7.420186173915863,7.417724871635437,-0.08720831871032715,-0.08966962099075318,-0.0024613022804260256,0.71,0.39466666666666667,25.0
dirty,20,10.596292543411256,10.733400321006775,10.735371780395507,0.13710777759552,0.13907923698425292,0.00197145938873291,0.8,0.48800000000000004,23.0
dish,20,8.855435736104846,9.040602842345834,9.040817163139582,0.18516710624098778,0.18538142703473567,0.00021432079374790193,0.5,0.26066666666666666,28.0
doctor,20,8.479168391227722,8.928899550437928,8.950133967399598,0.44973115921020507,0.470965576171875,0.021234416961669923,0.73,0.37133333333333335,25.0
dog,20,9.449535793066024,9.775835400819778,9.806472355127335,0.32629960775375366,0.3569365620613098,0.03063695430755615,0.92,0.8326666666666667,16.0
doll,13,8.444879972017729,8.588152445279635,8.603749165168175,0.14327247326190656,0.15886919315044695,0.015596719888540415,0.69,0.4826666666666667,23.0
donkey,5,11.121837425231934,11.261246299743652,11.275973701477051,0.13940887451171874,0.1541362762451172,0.014727401733398437,0.43,0.232,28.0
donut,1,13.749327659606934,13.42110538482666,13.40906047821045,-0.32822227478027344,-0.3402671813964844,-0.012044906616210938,0.59,0.3,27.0
door,20,7.011785835027695,7.419631588459015,7.43118509054184,0.4078457534313202,0.4193992555141449,0.011553502082824707,0.84,0.5986666666666667,22.0
downtown,20,9.49488968849182,9.478432536125183,9.49674072265625,-0.016457152366638184,0.001851034164428711,0.018308186531066896,0.21,0.084,
draw,20,9.598162603378295,9.740906500816346,9.737727999687195,0.14274389743804933,0.13956539630889891,-0.0031785011291503907,0.66,0.3466666666666667,26.0
drawer,13,7.528603001282765,7.6501627770754,7.65323989207928,0.12155977579263541,0.12463689079651466,0.0030771150038792537,0.53,0.24800000000000003,28.0
drive,20,8.667241621017457,9.038230097293853,9.049820554256438,0.3709884762763977,0.3825789332389832,0.01159045696258545,0.67,0.3453333333333334,26.0
drop,20,9.956717252731323,10.012783455848695,9.989302062988282,0.05606620311737061,0.03258481025695801,-0.0234813928604126,0.63,0.306,27.0
dryer,14,16.03161759807595,16.43960835332317,16.456837118736335,0.4079907552472183,0.4252195206603834,0.017228765413165092,0.47,0.21533333333333332,28.0
