seed,probe_family,span_len,contrast,n_checkpoints,late_mean_delta_copy_gain_a_minus_b,late_mean_copy_gain_a,late_mean_copy_gain_b,late_mean_delta_repeated_nll_a_minus_b,late_mean_delta_unrepeated_nll_a_minus_b
43022,actual_packet_source_repeat,ALL,VminusR,3,-0.45333560633672515,5.727276645336124,6.180612251672849,0.2733868235652375,-0.1799487827714875
43022,random_token_span,1,CminusV,3,-0.001917312429064862,0.5247526869035902,0.5266699993326551,0.10200074621609308,0.10008343378702793
43022,random_token_span,1,RminusC,3,0.013558253915537036,0.5383109408191272,0.5247526869035902,0.079537253252098,0.09309550716763464
43022,random_token_span,1,RminusV,3,0.011640941486472175,0.5383109408191272,0.5266699993326551,0.18153799946819107,0.19317894095466256
43022,random_token_span,1,VminusC,3,0.001917312429064862,0.5266699993326551,0.5247526869035902,-0.10200074621609308,-0.10008343378702793
43022,random_token_span,1,VminusR,3,-0.011640941486472175,0.5266699993326551,0.5383109408191272,-0.18153799946819107,-0.19317894095466256
43022,random_token_span,4,CminusV,3,0.029997143587984294,7.543404377866093,7.513407234278109,0.2656590436057498,0.2956561871937347
43022,random_token_span,4,RminusC,3,-0.6664327528239008,6.876971625042192,7.543404377866093,0.7354850394261024,0.06905228660220193
43022,random_token_span,4,RminusV,3,-0.6364356092359165,6.876971625042192,7.513407234278109,1.0011440830318523,0.3647084737959367
43022,random_token_span,4,VminusC,3,-0.029997143587984294,7.513407234278109,7.543404377866093,-0.2656590436057498,-0.2956561871937347
43022,random_token_span,4,VminusR,3,0.6364356092359165,7.513407234278109,6.876971625042192,-1.0011440830318523,-0.3647084737959367
43022,random_token_span,8,CminusV,3,0.09275000154306845,9.432462689969245,9.339712688426177,0.08959409359620807,0.18234409513927533
43022,random_token_span,8,RminusC,3,0.22539386341503467,9.65785655338428,9.432462689969245,-0.04556967032341556,0.17982419309162032
43022,random_token_span,8,RminusV,3,0.31814386495810315,9.65785655338428,9.339712688426177,0.04402442327279251,0.36216828823089564
43022,random_token_span,8,VminusC,3,-0.09275000154306845,9.339712688426177,9.432462689969245,-0.08959409359620807,-0.18234409513927533
43022,random_token_span,8,VminusR,3,-0.31814386495810315,9.339712688426177,9.65785655338428,-0.04402442327279251,-0.36216828823089564
43022,random_token_span,ALL,CminusV,3,0.040276610900662625,5.833539918246309,5.793263307345647,0.15241796113935013,0.19269457204001425
43022,random_token_span,ALL,RminusC,3,-0.14249354516444276,5.691046373081867,5.833539918246309,0.25648420745159495,0.11399066228715189
43022,random_token_span,ALL,RminusV,3,-0.10221693426378013,5.691046373081867,5.793263307345647,0.4089021685909451,0.30668523432716616
43022,random_token_span,ALL,VminusC,3,-0.040276610900662625,5.793263307345647,5.833539918246309,-0.15241796113935013,-0.19269457204001425
43022,random_token_span,ALL,VminusR,3,0.10221693426378013,5.793263307345647,5.691046373081867,-0.4089021685909451,-0.30668523432716616
43122,ALL,1,CminusV,3,0.03704073471590178,3.631963604853712,3.5949228701378098,0.22417575362967282,0.26121648834557476
43122,ALL,1,RminusC,3,0.5260492783373881,4.1580128831911,3.631963604853712,-0.45151943394757055,0.0745298443898168
43122,ALL,1,RminusV,3,0.5630900130532899,4.1580128831911,3.5949228701378098,-0.22734368031789773,0.33574633273539156
43122,ALL,1,VminusC,3,-0.03704073471590178,3.5949228701378098,3.631963604853712,-0.22417575362967282,-0.26121648834557476
43122,ALL,1,VminusR,3,-0.5630900130532899,3.5949228701378098,4.1580128831911,0.22734368031789773,-0.33574633273539156
43122,ALL,4,CminusV,3,0.1338904219975013,6.578192901223592,6.444302479226091,0.1110226277797528,0.24491304977725412
43122,ALL,4,RminusC,3,0.2701008787095966,6.848293779933189,6.578192901223592,-0.11565004378537506,0.15445083492422226
43122,ALL,4,RminusV,3,0.4039913007070979,6.848293779933189,6.444302479226091,-0.0046274160056222575,0.3993638847014764
43122,ALL,4,VminusC,3,-0.1338904219975013,6.444302479226091,6.578192901223592,-0.1110226277797528,-0.24491304977725412
43122,ALL,4,VminusR,3,-0.4039913007070979,6.444302479226091,6.848293779933189,0.0046274160056222575,-0.3993638847014764
43122,ALL,8,CminusV,3,0.40167181165400506,7.181484365099037,6.779812553445033,0.03288488222830891,0.4345566938823146
43122,ALL,8,RminusC,3,-0.07480769025854735,7.10667667484049,7.181484365099037,-0.17706094782136458,-0.25186863807991244
43122,ALL,8,RminusV,3,0.32686412139545773,7.10667667484049,6.779812553445033,-0.14417606559305565,0.18268805580240213
43122,ALL,8,VminusC,3,-0.40167181165400506,6.779812553445033,7.181484365099037,-0.03288488222830891,-0.4345566938823146
43122,ALL,8,VminusR,3,-0.32686412139545773,6.779812553445033,7.10667667484049,0.14417606559305565,-0.18268805580240213
43122,ALL,ALL,CminusV,3,0.19086765612246914,5.7972136237254475,5.606345967602978,0.12269442121257838,0.3135620773350478
