arm,checkpoint,seed,role,probe_family,span_len,pair_id,mask_occurrence,source_pair_id,body_len,seq_len,repeated_nll,unrepeated_nll,copy_gain
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:164:compact:frontier_consolidation_fwcompact_medium_012638,companion,compact:frontier_consolidation_fwcompact_medium_012638,34,36,1.2745616436004639,1.5063964128494263,0.2318347692489624
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:165:compact:frontier_consolidation_fwcompact_medium_061454,companion,compact:frontier_consolidation_fwcompact_medium_061454,41,43,0.16852031648159027,4.55551290512085,4.386992588639259
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:166:compact:frontier_consolidation_fwcompact_medium_047757,companion,compact:frontier_consolidation_fwcompact_medium_047757,28,30,0.022609317675232887,14.631468772888184,14.60885945521295
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:167:compact:frontier_consolidation_fwcompact_medium_004183,companion,compact:frontier_consolidation_fwcompact_medium_004183,67,69,0.037377309054136276,0.38260629773139954,0.34522898867726326
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:168:compact:frontier_consolidation_fwcompact_medium_003817,companion,compact:frontier_consolidation_fwcompact_medium_003817,65,67,0.0023405556567013264,19.010204315185547,19.007863759528846
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:169:compact:frontier_consolidation_fwcompact_medium_027098,companion,compact:frontier_consolidation_fwcompact_medium_027098,36,38,0.06004024296998978,1.3453378677368164,1.2852976247668266
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:16:compact:frontier_consolidation_fwcompact_medium_014997,companion,compact:frontier_consolidation_fwcompact_medium_014997,64,66,0.04806983470916748,5.023098945617676,4.975029110908508
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:170:compact:frontier_consolidation_fwcompact_medium_044824,companion,compact:frontier_consolidation_fwcompact_medium_044824,55,57,0.07621894776821136,13.80047607421875,13.724257126450539
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:171:compact:frontier_consolidation_fwcompact_medium_020133,companion,compact:frontier_consolidation_fwcompact_medium_020133,30,32,0.9072080254554749,7.385202407836914,6.477994382381439
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,1,packet:1:172:compact:frontier_consolidation_fwcompact_medium_024298,companion,compact:frontier_consolidation_fwcompact_medium_024298,38,40,0.06322622299194336,15.013297080993652,14.950070858001709
