checkpoint,seed,probe_family,span_len,contrast,n,delta_copy_gain_a_minus_b,copy_gain_a,copy_gain_b,delta_repeated_nll_a_minus_b,delta_unrepeated_nll_a_minus_b
chck_90M,43022,actual_packet_source_repeat,4,RminusV,900,0.539010799470832,6.3735156374836315,5.8345048380127995,-0.17802227225671635,0.3609885272141158
chck_90M,43022,actual_packet_source_repeat,4,CminusV,900,-0.047554659110748077,5.786950178902051,5.8345048380127995,0.07533832529890386,0.027783666188155642
chck_90M,43022,actual_packet_source_repeat,4,VminusC,900,0.047554659110748077,5.8345048380127995,5.786950178902051,-0.07533832529890386,-0.027783666188155642
chck_90M,43022,actual_packet_source_repeat,4,VminusR,900,-0.539010799470832,5.8345048380127995,6.3735156374836315,0.17802227225671635,-0.3609885272141158
chck_90M,43022,actual_packet_source_repeat,8,RminusC,900,0.29263703174763744,5.201467778357037,4.908830746609399,-0.24733729726059311,0.045299734487044496
chck_90M,43022,actual_packet_source_repeat,8,RminusV,900,0.2816983981920078,5.201467778357037,4.919769380165029,-0.16752454385467394,0.11417385433733429
chck_90M,43022,actual_packet_source_repeat,8,CminusV,900,-0.010938633555629629,4.908830746609399,4.919769380165029,0.07981275340591917,0.0688741198502898
chck_90M,43022,actual_packet_source_repeat,8,VminusC,900,0.010938633555629629,4.919769380165029,4.908830746609399,-0.07981275340591917,-0.0688741198502898
chck_90M,43022,actual_packet_source_repeat,8,VminusR,900,-0.2816983981920078,4.919769380165029,5.201467778357037,0.16752454385467394,-0.11417385433733429
chck_90M,43022,actual_packet_source_repeat,ALL,RminusC,2700,0.5713150165345224,6.189674321104229,5.618359304569706,-0.327650582399606,0.24366443413491634
chck_90M,43022,actual_packet_source_repeat,ALL,RminusV,2700,0.4656877306671454,6.189674321104229,5.723986590437083,-0.2712550258656982,0.19443270480144648
chck_90M,43022,actual_packet_source_repeat,ALL,CminusV,2700,-0.10562728586737702,5.618359304569706,5.723986590437083,0.056395556533907765,-0.049231729333469865
chck_90M,43022,actual_packet_source_repeat,ALL,VminusC,2700,0.10562728586737702,5.723986590437083,5.618359304569706,-0.056395556533907765,0.049231729333469865
chck_90M,43022,actual_packet_source_repeat,ALL,VminusR,2700,-0.4656877306671454,5.723986590437083,6.189674321104229,0.2712550258656982,-0.19443270480144648
chck_90M,43022,random_token_span,1,RminusC,700,0.013377361531768606,0.5527351729997567,0.5393578114679881,0.09028734081557843,0.1036647023473467
chck_90M,43022,random_token_span,1,RminusV,700,0.020257758902651912,0.5527351729997567,0.5324774140971048,0.23859474065048403,0.25885249955313583
chck_90M,43022,random_token_span,1,CminusV,700,0.006880397370883307,0.5393578114679881,0.5324774140971048,0.1483073998349056,0.15518779720578912
chck_90M,43022,random_token_span,1,VminusC,700,-0.006880397370883307,0.5324774140971048,0.5393578114679881,-0.1483073998349056,-0.15518779720578912
chck_90M,43022,random_token_span,1,VminusR,700,-0.020257758902651912,0.5324774140971048,0.5527351729997567,-0.23859474065048403,-0.25885249955313583
chck_90M,43022,random_token_span,4,RminusC,700,-0.45370144362295317,7.126100292268342,7.579801735891295,0.5031544187598458,0.04945297513689262
chck_90M,43022,random_token_span,4,RminusV,700,-0.45318343642433856,7.126100292268342,7.579283728692681,0.8566885996170877,0.4035051631927491
chck_90M,43022,random_token_span,4,CminusV,700,0.0005180071986146118,7.579801735891295,7.579283728692681,0.35353418085724186,0.3540521880558565
chck_90M,43022,random_token_span,4,VminusC,700,-0.0005180071986146118,7.579283728692681,7.579801735891295,-0.35353418085724186,-0.3540521880558565
