arm,checkpoint,seed,role,probe_family,span_len,n,mean_copy_gain,sd_copy_gain,se_copy_gain,mean_repeated_nll,mean_unrepeated_nll
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,8,900,4.947661882971427,3.7099336461725443,0.12366445487241814,0.263491936102752,5.211153819074179
D_C_43122,chck_100M,43122,C,actual_packet_source_repeat,ALL,2700,5.539724154322326,4.336757675749813,0.08346094038347768,0.36874399133397945,5.908468145656306
D_C_43122,chck_100M,43122,C,random_token_span,1,700,0.5295664700439998,1.1350412278753126,0.042900525953763875,12.254677289383752,12.784243759427751
D_C_43122,chck_100M,43122,C,random_token_span,4,700,7.789371763834996,4.180383125303333,0.15800363049319405,4.962282947615853,12.751654711450849
D_C_43122,chck_100M,43122,C,random_token_span,8,700,10.05169234862152,3.720261096184802,0.1406126524676219,2.836446860444599,12.888139209066118
D_C_43122,chck_100M,43122,C,random_token_span,ALL,2100,6.123543527500172,5.231385427726169,0.11415818910497193,6.684469032481402,12.808012559981574
D_C_43122,chck_80M,43122,C,ALL,1,1600,3.6384579028155897,4.710028520229552,0.1177507130057388,5.741041553972082,9.379499456787672
D_C_43122,chck_80M,43122,C,ALL,4,1600,6.641862025632508,4.278001692629013,0.10695004231572533,2.3117056506037623,8.95356767623627
D_C_43122,chck_80M,43122,C,ALL,8,1600,7.246351118050552,4.517555639789204,0.11293889099473009,1.3670963684228445,8.613447486473397
D_C_43122,chck_80M,43122,C,ALL,ALL,4800,5.842223682166217,4.773592464412424,0.06890087235825204,3.1399478576662294,8.982171539832446
D_C_43122,chck_80M,43122,C,actual_packet_source_repeat,1,900,6.072833518181287,4.998055359871761,0.1666018453290587,0.5786058156718435,6.651439333853131
D_C_43122,chck_80M,43122,C,actual_packet_source_repeat,4,900,5.642086118149649,4.147752632256669,0.1382584210752223,0.3171777199649821,5.959263838114631
D_C_43122,chck_80M,43122,C,actual_packet_source_repeat,8,900,4.95199522459679,3.7065543046221356,0.12355181015407118,0.27603014189190517,5.228025366488695
D_C_43122,chck_80M,43122,C,actual_packet_source_repeat,ALL,2700,5.555638286975909,4.34213093512477,0.0835643488083629,0.3906045591762436,5.946242846152153
D_C_43122,chck_80M,43122,C,random_token_span,1,700,0.5085463973454066,1.0833017126373097,0.040944956092695405,12.378458931786673,12.88700532913208
D_C_43122,chck_80M,43122,C,random_token_span,4,700,7.927288192396185,4.095710279070812,0.15480329772274745,4.876098704282194,12.80338689667838
D_C_43122,chck_80M,43122,C,random_token_span,8,700,10.196237266776818,3.6761124903874878,0.13894399201519447,2.769895802534052,12.96613306931087
D_C_43122,chck_80M,43122,C,random_token_span,ALL,2100,6.21069061883947,5.2538216683291825,0.1146477880138936,6.67481781286764,12.885508431707109
D_C_43122,chck_90M,43122,C,ALL,1,1600,3.627110830301408,4.708941808725318,0.11772354521813296,5.650666612245168,9.277777442546576
D_C_43122,chck_90M,43122,C,ALL,4,1600,6.518278580912847,4.268001594152839,0.10670003985382097,2.3759039435599334,8.89418252447278
D_C_43122,chck_90M,43122,C,ALL,8,1600,7.117426765553218,4.467092331089362,0.11167730827723406,1.4374504884581165,8.554877254011336
