endpoint,word,child_aoa,model_aoa_log10_step,n_subword_tokens,n_points,first_step,last_step
control,shirt,21.81321042623773,7.053327763461253,1,12,1000000.0,30000000.0
control,shopping,26.165070893047815,7.321598677659455,1,12,1000000.0,30000000.0
control,shovel,26.187099976529097,7.149500190843231,1,12,1000000.0,30000000.0
control,show,27.51748617185101,6.797579655740055,1,12,1000000.0,30000000.0
control,shower,24.142481410581965,7.280565262946941,1,12,1000000.0,30000000.0
control,sick,26.810475954734216,6.873628540357515,1,12,1000000.0,30000000.0
control,sing,24.394043224950867,6.951662010101388,1,12,1000000.0,30000000.0
control,sink,25.39558925497061,7.302750226548234,1,12,1000000.0,30000000.0
control,sister,27.616276000578306,6.805444202955897,1,12,1000000.0,30000000.0
control,sit,21.993039748466675,7.183288326007565,1,12,1000000.0,30000000.0
control,sky,24.28770977177167,6.813393333873586,1,12,1000000.0,30000000.0
control,sleep,22.902856230719685,6.801754516258583,1,12,1000000.0,30000000.0
control,slipper,27.842979416757387,7.3059092279960325,1,12,1000000.0,30000000.0
control,slow,28.72766020830381,6.926614802659479,1,12,1000000.0,30000000.0
control,snow,24.687574502270998,6.863205029190552,1,12,1000000.0,30000000.0
control,soap,22.847457883648175,7.315329208148456,1,12,1000000.0,30000000.0
control,soft,26.553159844649922,6.727800993626989,1,12,1000000.0,30000000.0
control,soup,24.801226241774163,7.320685416900266,1,12,1000000.0,30000000.0
control,spaghetti,24.726416693619992,7.398228257878112,1,12,1000000.0,30000000.0
control,splash,25.71250883152326,7.229997188355873,2,12,1000000.0,30000000.0
control,spoon,20.39908980036582,7.061642542905031,1,12,1000000.0,30000000.0
control,stairs,24.467643662000622,6.804755832990544,1,12,1000000.0,30000000.0
control,star,22.531843509244336,6.854581006657177,1,12,1000000.0,30000000.0
control,stop,22.7025658907012,6.895790067061806,1,12,1000000.0,30000000.0
control,store,24.24553978030457,7.138713468050218,1,12,1000000.0,30000000.0
control,story,24.83326348723299,6.6525013602242,1,12,1000000.0,30000000.0
control,stove,27.921580602893854,6.9878864593455035,1,12,1000000.0,30000000.0
control,strawberry,23.553803863761342,7.463337046190735,1,12,1000000.0,30000000.0
control,street,25.889294579190338,6.883911176695794,1,12,1000000.0,30000000.0
control,stroller,24.699849125295277,6.729423411481897,3,12,1000000.0,30000000.0
control,stuck,26.18224202591845,6.98178852125637,1,12,1000000.0,30000000.0
control,sun,22.620513837393432,6.777324191689852,1,12,1000000.0,30000000.0
control,sweater,25.835012184430894,7.442205705173297,1,12,1000000.0,30000000.0
control,swim,24.758145909832024,6.998018631325078,1,12,1000000.0,30000000.0
control,table,23.623454640728905,6.856288410539831,1,12,1000000.0,30000000.0
control,take,26.912440144087405,6.721665762694097,1,12,1000000.0,30000000.0
control,talk,26.1666744723998,7.171714470520197,1,12,1000000.0,30000000.0
control,taste,28.750765928594387,7.066116922995283,1,12,1000000.0,30000000.0
control,teacher,28.36884966091159,6.934604848762226,1,12,1000000.0,30000000.0
control,throw,24.69394529214973,6.913580293048812,1,12,1000000.0,30000000.0
control,tired,25.834664804067693,7.083633120129235,1,12,1000000.0,30000000.0
control,tissue,24.71696112712117,7.030298112170039,1,12,1000000.0,30000000.0
