arm,word,z_mean_subword,child_aoa,control_model_aoa_log10_step,arm_model_aoa_log10_step,delta_model_aoa_log10_step,beneficial_for_childes_enriched_words_if_negative,control_n_points,arm_n_points
enrichment,cold,1.2153338584589553,21.557924255355925,6.937477732324332,6.7435996897180255,-0.1938780426063067,-0.1938780426063067,12,12
enrichment,comb,0.42133121915036587,25.991290549889374,7.007763559370102,7.157301292479508,0.14953773310940566,0.14953773310940566,12,12
enrichment,cook,1.3006396064718562,25.150438741536785,7.167999885702217,6.830349811111081,-0.33765007459113594,-0.33765007459113594,12,12
enrichment,corn,0.6660211305823711,24.30521021007631,7.2950122589932525,7.021745670596132,-0.2732665883971208,-0.2732665883971208,12,12
enrichment,couch,1.7496894960858156,24.274913544484477,6.767345265819089,6.746692145104733,-0.0206531207143561,-0.0206531207143561,12,12
enrichment,cover,1.1464974956250897,29.120587673006845,6.9959063286522625,7.089056083398665,0.09314975474640264,0.09314975474640264,12,12
enrichment,cry,1.111233041443154,23.357992706748902,6.832514034215693,6.88509817528837,0.052584141072676616,0.052584141072676616,12,12
enrichment,cup,1.474872598212581,20.04657761410228,7.0247896320802266,7.109977085573675,0.08518745349344847,0.08518745349344847,12,12
enrichment,day,0.9934624309444715,28.57030413820359,6.785232320380633,6.673273073020774,-0.11195924735985852,-0.11195924735985852,12,12
enrichment,dinner,1.3292949883527851,24.335488629604637,6.9748444039433215,6.909496954484168,-0.0653474494591535,-0.0653474494591535,12,12
enrichment,doctor,1.0748544109078677,25.058857514368704,6.843889458002399,6.783692533134177,-0.06019692486822148,-0.06019692486822148,12,12
enrichment,doll,1.753890345624276,23.083057299428276,6.933356966784391,6.898968108366256,-0.03438885841813466,-0.03438885841813466,12,12
enrichment,door,1.2763912981680803,21.094330119099542,6.772640001685516,6.611747683044565,-0.16089231864095055,-0.16089231864095055,12,12
enrichment,draw,1.5253445293679198,25.332147277029616,7.063889144372073,6.8530425146258285,-0.21084662974624457,-0.21084662974624457,12,12
enrichment,drawer,1.5415909597204338,28.011508334888347,7.082293780268893,7.006261496313454,-0.07603228395543926,-0.07603228395543926,12,12
enrichment,drive,1.3355876880010307,25.239924635828906,7.025010830991879,6.972395896412281,-0.05261493457959787,-0.05261493457959787,12,12
enrichment,ear,0.7745953470675286,18.557045885439496,6.865182449831633,6.920536318134986,0.05535386830335298,0.05535386830335298,12,12
enrichment,egg,1.6870153497194438,21.979637752951344,7.165213883440508,6.987169285204724,-0.17804459823578433,-0.17804459823578433,12,12
