example_id,source,words,loss,n_masked,axis,axis_path,arm,relation,seed,description,checkpoint
920000073,bnc_spoken,160,3.220714807510376,29,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000074,bnc_spoken,160,2.710409641265869,32,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000075,bnc_spoken,160,2.253638982772827,28,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000076,bnc_spoken,160,3.2068960666656494,31,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000077,bnc_spoken,160,2.896212339401245,26,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000078,bnc_spoken,160,2.4691262245178223,36,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000079,bnc_spoken,160,2.0022623538970947,27,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000080,bnc_spoken,160,4.060250759124756,31,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000081,bnc_spoken,160,4.360296249389648,27,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000082,bnc_spoken,160,4.016949653625488,29,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000083,bnc_spoken,160,2.981794834136963,21,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000084,bnc_spoken,160,3.6014745235443115,39,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000085,bnc_spoken,160,2.7521142959594727,32,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000086,bnc_spoken,160,2.0571956634521484,25,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000087,bnc_spoken,160,2.4601705074310303,26,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000088,bnc_spoken,160,2.5009543895721436,38,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000089,bnc_spoken,160,3.113415241241455,29,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000090,bnc_spoken,160,3.392646312713623,28,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000091,bnc_spoken,160,3.962658643722534,30,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000092,bnc_spoken,160,3.0233442783355713,39,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000093,bnc_spoken,160,2.4780924320220947,23,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000094,bnc_spoken,160,2.997109889984131,27,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000095,bnc_spoken,160,3.9950449466705322,28,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000096,bnc_spoken,160,3.397841215133667,34,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
