family,seed,checkpoint,contrast,source,n_sentences,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
crv,43122,chck_100M,VIEW_SPLIT-minus-CLEAN,switchboard,51,-0.10504224344941915,0.10682166011675316,0.21186390356617232,0.1115997688460407
crv,43122,chck_100M,REPEAT_SPLIT-minus-CLEAN,bnc_spoken,120,0.015870401795837097,-0.024462802692626913,-0.04033320448846401,0.08440350663188242
crv,43122,chck_100M,REPEAT_SPLIT-minus-CLEAN,childes,113,0.15102541439343833,0.15548935192739202,0.004463937533953674,0.10280411977651559
crv,43122,chck_100M,REPEAT_SPLIT-minus-CLEAN,gutenberg,120,-0.0626426304418904,-0.14865817880102744,-0.08601554835913702,0.09554111648467215
crv,43122,chck_100M,REPEAT_SPLIT-minus-CLEAN,open_subtitles,120,0.002605163067467705,-0.0228885832989666,-0.025493746366434304,0.09891133424688209
crv,43122,chck_100M,REPEAT_SPLIT-minus-CLEAN,simple_wiki,115,0.0431453391018769,0.023790365246974903,-0.019354973854901997,0.07984953007228116
crv,43122,chck_100M,REPEAT_SPLIT-minus-CLEAN,switchboard,51,-0.05387489088610107,-0.0010429827642499231,0.052831908121851144,0.14257094025230332
crv,43122,chck_100M,VIEW-minus-VIEW_SPLIT,bnc_spoken,120,0.05544874230205702,0.1749981679856622,0.11954942568360517,0.07789847303073191
crv,43122,chck_100M,VIEW-minus-VIEW_SPLIT,childes,113,-0.05470646484357217,0.05596378940635101,0.11067025424992318,0.08315745933086437
crv,43122,chck_100M,VIEW-minus-VIEW_SPLIT,gutenberg,120,0.09470149272722968,-0.050429420905129516,-0.1451309136323592,0.10188586932342104
crv,43122,chck_100M,VIEW-minus-VIEW_SPLIT,open_subtitles,120,-0.0018419591603257384,-0.034697681705680834,-0.03285572254535509,0.08271333562689026
crv,43122,chck_100M,VIEW-minus-VIEW_SPLIT,simple_wiki,115,0.05136963818222284,0.021259944894067618,-0.030109693288155225,0.08341531713484561
crv,43122,chck_100M,VIEW-minus-VIEW_SPLIT,switchboard,51,-0.03710857599827589,-0.15884209659827106,-0.12173352059999518,0.0971398572585501
crv,43122,chck_100M,REPEAT-minus-REPEAT_SPLIT,bnc_spoken,120,-0.03697585243692932,0.028902354811240608,0.06587820724816992,0.1006446767812776
crv,43122,chck_100M,REPEAT-minus-REPEAT_SPLIT,childes,113,-0.15368765530761225,0.07685778251548032,0.23054543782309259,0.09033342992477486
crv,43122,chck_100M,REPEAT-minus-REPEAT_SPLIT,gutenberg,120,0.02968785780952506,0.23086041992840667,0.20117256211888163,0.1103572479809038
crv,43122,chck_100M,REPEAT-minus-REPEAT_SPLIT,open_subtitles,120,0.028989317963229646,-0.14263525907420746,-0.1716245770374371,0.09542724969778375
crv,43122,chck_100M,REPEAT-minus-REPEAT_SPLIT,simple_wiki,115,-0.048369461583459505,0.038268621606023415,0.08663808318948292,0.09722367091423234
crv,43122,chck_100M,REPEAT-minus-REPEAT_SPLIT,switchboard,51,0.04149829282187948,0.11973097135185026,0.07823267852997079,0.1326996887903335
crv,43122,chck_100M,VIEW-minus-REPEAT,bnc_spoken,120,-0.001469702993441994,0.008180856696950893,0.009650559690392886,0.11763520579068253
crv,43122,chck_100M,VIEW-minus-REPEAT,childes,113,0.03613693367600138,0.12474834363530514,0.08861140995930375,0.08644945748288325
crv,43122,chck_100M,VIEW-minus-REPEAT,gutenberg,120,0.0166082888962895,-0.10898115686383486,-0.12558944576012437,0.10355733060452468
crv,43122,chck_100M,VIEW-minus-REPEAT,open_subtitles,120,-0.027730936077326383,0.09759186026421958,0.12532279634154594,0.08089906509037226
crv,43122,chck_100M,VIEW-minus-REPEAT,simple_wiki,115,-0.0023764000294487116,0.0016131630572287932,0.003989563086677504,0.0848532185039379
crv,43122,chck_100M,VIEW-minus-REPEAT,switchboard,51,-0.12977422138347344,-0.17070842506911824,-0.04093420368564479,0.12212499093732608
dose,43022,chck_100M,dose21-minus-base0,bnc_spoken,120,0.01951769208050488,0.15590294649009592,0.13638525440959104,0.08346292601769563
dose,43022,chck_100M,dose21-minus-base0,childes,113,0.18268714001625383,0.0428447700459747,-0.13984236997027913,0.08703078284956096
dose,43022,chck_100M,dose21-minus-base0,gutenberg,120,0.032402555661974475,0.03722907410216673,0.004826518440192255,0.076878223835474
dose,43022,chck_100M,dose21-minus-base0,open_subtitles,120,0.0033308593470186072,0.2789247138081313,0.2755938544611126,0.0903701561762741
dose,43022,chck_100M,dose21-minus-base0,simple_wiki,115,-0.06746960845978364,-0.11562692230445859,-0.048157313844674955,0.07097726019188684
dose,43022,chck_100M,dose21-minus-base0,switchboard,51,-0.021445532347641738,0.18562311119418226,0.207068643541824,0.18799557243368248
dose,43022,chck_100M,dose25-minus-base0,bnc_spoken,120,0.07962433710345067,0.04269136874730369,-0.036932968356146983,0.07503426533441881
dose,43022,chck_100M,dose25-minus-base0,childes,113,0.1359515248477088,0.1883170010605923,0.052365476212883476,0.08393140202737515
dose,43022,chck_100M,dose25-minus-base0,gutenberg,120,0.02624814072041772,0.24355958606950784,0.2173114453490901,0.1021523912249435
dose,43022,chck_100M,dose25-minus-base0,open_subtitles,120,0.08935692719436096,0.09310936431963152,0.003752437125270565,0.08369869395387514
dose,43022,chck_100M,dose25-minus-base0,simple_wiki,115,-0.039438697193627775,0.10338427600977214,0.1428229732033999,0.07162998710841462
dose,43022,chck_100M,dose25-minus-base0,switchboard,51,-0.12175652092578364,-0.048800569228535776,0.07295595169724788,0.1176351889518751
dose,43022,chck_100M,dose25-minus-dose21,bnc_spoken,120,0.06010664502294579,-0.11321157774279224,-0.17331822276573802,0.07241695822129911
dose,43022,chck_100M,dose25-minus-dose21,childes,113,-0.04673561516854501,0.1454722310146176,0.1922078461831626,0.08892879586589807
dose,43022,chck_100M,dose25-minus-dose21,gutenberg,120,-0.006154414941556751,0.20633051196734112,0.21248492690889786,0.10483124899104909
