group,contrast,role_a,role_b,n,delta_accuracy_pct,acc_a,acc_b,mean_relevant_updates,mean_total_ops,mean_prefix_words
rel0_total_ops_6,ALNminusSHUF,ALN,SHUF,88,23.863636363636363,42.04545454545455,18.181818181818183,0.0,6.0,107.64772727272727
rel0_total_ops_6,SHUFminusOFF,SHUF,OFF,88,-6.818181818181817,18.181818181818183,25.0,0.0,6.0,107.64772727272727
rel0_total_ops_6,SEPminusOFF,SEP,OFF,88,-10.227272727272727,14.772727272727273,25.0,0.0,6.0,107.64772727272727
rel0_total_ops_6,DUPminusOFF,DUP,OFF,88,19.31818181818182,44.31818181818182,25.0,0.0,6.0,107.64772727272727
rel0_total_ops_6,ALNminusDUP,ALN,DUP,88,-2.2727272727272734,42.04545454545455,44.31818181818182,0.0,6.0,107.64772727272727
rel0_total_ops_6,DUPminusALN,DUP,ALN,88,2.2727272727272734,44.31818181818182,42.04545454545455,0.0,6.0,107.64772727272727
rel0_total_ops_6,SHUFminusSEP,SHUF,SEP,88,3.40909090909091,18.181818181818183,14.772727272727273,0.0,6.0,107.64772727272727
rel0_total_ops_6,SEPminusSHUF,SEP,SHUF,88,-3.40909090909091,14.772727272727273,18.181818181818183,0.0,6.0,107.64772727272727
rel0_total_ops_7,ALNminusOFF,ALN,OFF,66,15.151515151515156,36.36363636363637,21.21212121212121,0.0,7.0,117.81818181818181
rel0_total_ops_7,ALNminusSEP,ALN,SEP,66,16.66666666666667,36.36363636363637,19.696969696969695,0.0,7.0,117.81818181818181
rel0_total_ops_7,ALNminusSHUF,ALN,SHUF,66,25.75757575757576,36.36363636363637,10.606060606060606,0.0,7.0,117.81818181818181
rel0_total_ops_7,SHUFminusOFF,SHUF,OFF,66,-10.606060606060606,10.606060606060606,21.21212121212121,0.0,7.0,117.81818181818181
rel0_total_ops_7,SEPminusOFF,SEP,OFF,66,-1.5151515151515156,19.696969696969695,21.21212121212121,0.0,7.0,117.81818181818181
rel0_total_ops_7,DUPminusOFF,DUP,OFF,66,16.666666666666664,37.878787878787875,21.21212121212121,0.0,7.0,117.81818181818181
rel0_total_ops_7,ALNminusDUP,ALN,DUP,66,-1.5151515151515085,36.36363636363637,37.878787878787875,0.0,7.0,117.81818181818181
rel0_total_ops_7,DUPminusALN,DUP,ALN,66,1.5151515151515085,37.878787878787875,36.36363636363637,0.0,7.0,117.81818181818181
rel0_total_ops_7,SHUFminusSEP,SHUF,SEP,66,-9.09090909090909,10.606060606060606,19.696969696969695,0.0,7.0,117.81818181818181
rel0_total_ops_7,SEPminusSHUF,SEP,SHUF,66,9.09090909090909,19.696969696969695,10.606060606060606,0.0,7.0,117.81818181818181
rel0_total_ops_8,ALNminusOFF,ALN,OFF,63,25.396825396825395,36.507936507936506,11.11111111111111,0.0,8.0,127.47619047619048
rel0_total_ops_8,ALNminusSEP,ALN,SEP,63,22.22222222222222,36.507936507936506,14.285714285714285,0.0,8.0,127.47619047619048
rel0_total_ops_8,ALNminusSHUF,ALN,SHUF,63,25.396825396825395,36.507936507936506,11.11111111111111,0.0,8.0,127.47619047619048
rel0_total_ops_8,SHUFminusOFF,SHUF,OFF,63,0.0,11.11111111111111,11.11111111111111,0.0,8.0,127.47619047619048
rel0_total_ops_8,SEPminusOFF,SEP,OFF,63,3.174603174603174,14.285714285714285,11.11111111111111,0.0,8.0,127.47619047619048
rel0_total_ops_8,DUPminusOFF,DUP,OFF,63,23.809523809523807,34.92063492063492,11.11111111111111,0.0,8.0,127.47619047619048
rel0_total_ops_8,ALNminusDUP,ALN,DUP,63,1.5873015873015888,36.507936507936506,34.92063492063492,0.0,8.0,127.47619047619048
rel0_total_ops_8,DUPminusALN,DUP,ALN,63,-1.5873015873015888,34.92063492063492,36.507936507936506,0.0,8.0,127.47619047619048
rel0_total_ops_8,SHUFminusSEP,SHUF,SEP,63,-3.174603174603174,11.11111111111111,14.285714285714285,0.0,8.0,127.47619047619048
rel0_total_ops_8,SEPminusSHUF,SEP,SHUF,63,3.174603174603174,14.285714285714285,11.11111111111111,0.0,8.0,127.47619047619048
rel0_total_ops_9,ALNminusOFF,ALN,OFF,46,10.869565217391308,30.434782608695656,19.565217391304348,0.0,9.0,134.91304347826087
rel0_total_ops_9,ALNminusSEP,ALN,SEP,46,4.347826086956527,30.434782608695656,26.08695652173913,0.0,9.0,134.91304347826087
rel0_total_ops_9,ALNminusSHUF,ALN,SHUF,46,10.869565217391308,30.434782608695656,19.565217391304348,0.0,9.0,134.91304347826087
rel0_total_ops_9,SHUFminusOFF,SHUF,OFF,46,0.0,19.565217391304348,19.565217391304348,0.0,9.0,134.91304347826087
rel0_total_ops_9,SEPminusOFF,SEP,OFF,46,6.521739130434781,26.08695652173913,19.565217391304348,0.0,9.0,134.91304347826087
rel0_total_ops_9,DUPminusOFF,DUP,OFF,46,15.217391304347824,34.78260869565217,19.565217391304348,0.0,9.0,134.91304347826087
rel0_total_ops_9,ALNminusDUP,ALN,DUP,46,-4.347826086956516,30.434782608695656,34.78260869565217,0.0,9.0,134.91304347826087
rel0_total_ops_9,DUPminusALN,DUP,ALN,46,4.347826086956516,34.78260869565217,30.434782608695656,0.0,9.0,134.91304347826087
rel0_total_ops_9,SHUFminusSEP,SHUF,SEP,46,-6.521739130434781,19.565217391304348,26.08695652173913,0.0,9.0,134.91304347826087
rel0_total_ops_9,SEPminusSHUF,SEP,SHUF,46,6.521739130434781,26.08695652173913,19.565217391304348,0.0,9.0,134.91304347826087
rel_eq0,ALNminusOFF,ALN,OFF,1541,12.978585334198566,37.183646982478905,24.20506164828034,0.0,3.388059701492537,88.73329007138221
rel_eq0,ALNminusSEP,ALN,SEP,1541,20.31148604802076,37.183646982478905,16.872160934458144,0.0,3.388059701492537,88.73329007138221
rel_eq0,ALNminusSHUF,ALN,SHUF,1541,16.677482154445162,37.183646982478905,20.506164828033743,0.0,3.388059701492537,88.73329007138221
rel_eq0,SHUFminusOFF,SHUF,OFF,1541,-3.6988968202465955,20.506164828033743,24.20506164828034,0.0,3.388059701492537,88.73329007138221
rel_eq0,SEPminusOFF,SEP,OFF,1541,-7.332900713822195,16.872160934458144,24.20506164828034,0.0,3.388059701492537,88.73329007138221
rel_eq0,DUPminusOFF,DUP,OFF,1541,15.509409474367292,39.71447112264763,24.20506164828034,0.0,3.388059701492537,88.73329007138221
rel_eq0,ALNminusDUP,ALN,DUP,1541,-2.5308241401687255,37.183646982478905,39.71447112264763,0.0,3.388059701492537,88.73329007138221
rel_eq0,DUPminusALN,DUP,ALN,1541,2.5308241401687255,39.71447112264763,37.183646982478905,0.0,3.388059701492537,88.73329007138221
rel_eq0,SHUFminusSEP,SHUF,SEP,1541,3.634003893575599,20.506164828033743,16.872160934458144,0.0,3.388059701492537,88.73329007138221
rel_eq0,SEPminusSHUF,SEP,SHUF,1541,-3.634003893575599,16.872160934458144,20.506164828033743,0.0,3.388059701492537,88.73329007138221
rel_ge1,ALNminusOFF,ALN,OFF,5239,0.49627791563275636,22.427944264172552,21.931666348539796,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge1,ALNminusSEP,ALN,SEP,5239,1.6415346440160334,22.427944264172552,20.78640962015652,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge1,ALNminusSHUF,ALN,SHUF,5239,0.7253292613094082,22.427944264172552,21.702615002863144,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge1,SHUFminusOFF,SHUF,OFF,5239,-0.22905134567665186,21.702615002863144,21.931666348539796,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge1,SEPminusOFF,SEP,OFF,5239,-1.145256728383277,20.78640962015652,21.931666348539796,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge1,DUPminusOFF,DUP,OFF,5239,-1.431570910479099,20.500095438060697,21.931666348539796,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge1,ALNminusDUP,ALN,DUP,5239,1.9278488261118554,22.427944264172552,20.500095438060697,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge1,DUPminusALN,DUP,ALN,5239,-1.9278488261118554,20.500095438060697,22.427944264172552,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge1,SHUFminusSEP,SHUF,SEP,5239,0.9162053827066252,21.702615002863144,20.78640962015652,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge1,SEPminusSHUF,SEP,SHUF,5239,-0.9162053827066252,20.78640962015652,21.702615002863144,2.5831265508684864,8.527772475663294,129.96087039511357
rel_ge2,ALNminusOFF,ALN,OFF,3916,0.2042900919305417,24.412665985699693,24.20837589376915,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge2,ALNminusSEP,ALN,SEP,3916,2.451481103166497,24.412665985699693,21.961184882533196,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge2,ALNminusSHUF,ALN,SHUF,3916,0.8937691521961177,24.412665985699693,23.518896833503575,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge2,SHUFminusOFF,SHUF,OFF,3916,-0.689479060265576,23.518896833503575,24.20837589376915,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge2,SEPminusOFF,SEP,OFF,3916,-2.247191011235955,21.961184882533196,24.20837589376915,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge2,DUPminusOFF,DUP,OFF,3916,-2.1195097037793644,22.088866189989787,24.20837589376915,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge2,ALNminusDUP,ALN,DUP,3916,2.323799795709906,24.412665985699693,22.088866189989787,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge2,DUPminusALN,DUP,ALN,3916,-2.323799795709906,22.088866189989787,24.412665985699693,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge2,SHUFminusSEP,SHUF,SEP,3916,1.5577119509703792,23.518896833503575,21.961184882533196,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge2,SEPminusSHUF,SEP,SHUF,3916,-1.5577119509703792,21.961184882533196,23.518896833503575,3.1179775280898876,9.274770173646578,136.0349846782431
rel_ge3,ALNminusOFF,ALN,OFF,2650,0.5283018867924554,26.37735849056604,25.849056603773583,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge3,ALNminusSEP,ALN,SEP,2650,4.037735849056602,26.37735849056604,22.339622641509436,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge3,ALNminusSHUF,ALN,SHUF,2650,1.132075471698112,26.37735849056604,25.245283018867926,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge3,SHUFminusOFF,SHUF,OFF,2650,-0.6037735849056567,25.245283018867926,25.849056603773583,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge3,SEPminusOFF,SEP,OFF,2650,-3.509433962264147,22.339622641509436,25.849056603773583,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge3,DUPminusOFF,DUP,OFF,2650,-2.264150943396224,23.58490566037736,25.849056603773583,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge3,ALNminusDUP,ALN,DUP,2650,2.7924528301886795,26.37735849056604,23.58490566037736,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge3,DUPminusALN,DUP,ALN,2650,-2.7924528301886795,23.58490566037736,26.37735849056604,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge3,SHUFminusSEP,SHUF,SEP,2650,2.9056603773584904,25.245283018867926,22.339622641509436,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge3,SEPminusSHUF,SEP,SHUF,2650,-2.9056603773584904,22.339622641509436,25.245283018867926,3.6520754716981134,9.80188679245283,140.93735849056603
rel_ge4,ALNminusOFF,ALN,OFF,1420,0.704225352112676,28.028169014084508,27.323943661971832,4.216901408450704,10.112676056338028,143.64225352112675
rel_ge4,ALNminusSEP,ALN,SEP,1420,4.577464788732396,28.028169014084508,23.450704225352112,4.216901408450704,10.112676056338028,143.64225352112675
