seed,overlap_bin,overlap_class,contrast,n_pairs,mean_delta_diff,median_delta_diff,se_pair_delta_diff,frac_positive
43022,low,overlap,VminusC,440,-0.055291173835223265,-0.025777300198873032,0.07840740356960994,0.4909090909090909
43022,low,overlap,RminusC,440,-0.036244062049698905,-0.0074796059634536505,0.07408006643442458,0.48863636363636365
43022,low,overlap,VminusR,440,-0.019047111785524373,-8.868426084517739e-05,0.060536994338148915,0.5
43022,partial,ALL,VminusC,217,0.044387615401141264,0.11308441869914554,0.055964865482515454,0.543778801843318
43022,partial,ALL,RminusC,217,0.1299732244461678,0.17161099116007472,0.07468440602411351,0.5806451612903226
43022,partial,ALL,VminusR,217,-0.08558560904502656,-0.0073806386596213525,0.05997392963018478,0.4930875576036866
43022,partial,nonoverlap,VminusC,216,0.08276948861589987,0.0473950753609339,0.07319982678029198,0.5185185185185185
43022,partial,nonoverlap,RminusC,216,0.10598161607696158,0.12339956561724347,0.09247094328664952,0.5416666666666666
43022,partial,nonoverlap,VminusR,216,-0.023212127461061723,0.004249036312103216,0.07638409287409385,0.5092592592592593
43022,partial,overlap,VminusC,206,0.008345869207897082,-0.01705677558978347,0.08824270446263316,0.48058252427184467
43022,partial,overlap,RminusC,206,0.1679770279959978,0.05348290503025033,0.10439443266913476,0.5339805825242718
43022,partial,overlap,VminusR,206,-0.15963115878810075,-0.1618438232690096,0.08809477426049762,0.4563106796116505
43122,ALL,ALL,VminusC,732,0.00039708174028908516,0.019494737576072563,0.03420061975405323,0.5191256830601093
43122,ALL,ALL,RminusC,732,0.03574596104316998,-0.0008834074251351243,0.03766476740837092,0.5
43122,ALL,ALL,VminusR,732,-0.03534887930288091,0.023757784937818827,0.03507611450926287,0.5109289617486339
43122,ALL,nonoverlap,VminusC,727,0.008077079593734169,0.014877994855244957,0.0390901269622532,0.5116918844566712
43122,ALL,nonoverlap,RminusC,727,-0.08644146618522115,-0.0648276673422919,0.044498375582370485,0.469050894085282
43122,ALL,nonoverlap,VminusR,727,0.09451854577895534,0.06746828556060791,0.037783272575798374,0.5405777166437414
43122,ALL,overlap,VminusC,663,-0.01921717400191596,-0.003000198708226283,0.05992626605495207,0.49321266968325794
43122,ALL,overlap,RminusC,663,0.17047407179913235,0.11443436145782471,0.06584150959203573,0.5641025641025641
43122,ALL,overlap,VminusR,663,-0.1896912458010483,-0.06381076496715346,0.06213220859824154,0.46304675716440424
43122,high,ALL,VminusC,17,0.06434530532634307,0.2385071484992901,0.16698582339295479,0.7058823529411765
43122,high,ALL,RminusC,17,0.1356753531588148,0.30279985861852765,0.20117237770258906,0.6470588235294118
43122,high,ALL,VminusR,17,-0.07133004783247172,0.04380185126016478,0.23113677823307452,0.5294117647058824
43122,high,nonoverlap,VminusC,16,0.5270668967762807,0.4387820462385814,0.3023533548913263,0.75
43122,high,nonoverlap,RminusC,16,-0.01810502830388333,0.45776052276293433,0.4459315085937604,0.75
43122,high,nonoverlap,VminusR,16,0.5451719250801641,-0.008857795968651772,0.37809513119264365,0.5
43122,high,overlap,VminusC,17,-0.3812934761578552,0.03359558231507753,0.2689283637977163,0.5882352941176471
43122,high,overlap,RminusC,17,0.33993543613301835,0.41097920727528026,0.32636662750773937,0.7058823529411765
43122,high,overlap,VminusR,17,-0.7212289122908736,-0.028117544949054718,0.3978169147410558,0.4117647058823529
43122,low,ALL,VminusC,498,-0.01485584724327948,0.011035186549027798,0.04100752009005676,0.5060240963855421
43122,low,ALL,RminusC,498,0.016014393975078013,-0.011361420154571533,0.04555931456615012,0.4959839357429719
