endpoint,anchor,input_form,source,n_common_sentences_filtered,delta_row_context_loss,delta_isolation_loss,delta_context_gain,se_delta_context_gain
chck82_slow_scale1p75,coherent86_alpha075,with_special,open_subtitles,120,0.030674844937069186,0.008775889903093533,-0.021898955033975653,0.009378026799304802
chck82_slow_scale1p75,coherent86_alpha075,with_special,simple_wiki,107,0.002800645585232806,0.00023672339793677643,-0.0025639221872960295,0.010185569057341795
chck82_slow_scale1p75,coherent86_alpha075,with_special,switchboard,51,-0.001310028391433697,0.008467631250181618,0.009777659641615316,0.009649170449285219
clean_pres64_u0080,coherent86_alpha075,with_special,bnc_spoken,120,0.042258943183211765,0.03750872270029504,-0.004750220482916726,0.0199948211039639
clean_pres64_u0080,coherent86_alpha075,with_special,childes,106,0.0029092374524276785,0.02545556931782246,0.02254633186539478,0.011424823216268046
clean_pres64_u0080,coherent86_alpha075,with_special,gutenberg,119,0.05310309260003582,0.07662926812190562,0.023526175521869808,0.018688358362560328
clean_pres64_u0080,coherent86_alpha075,with_special,open_subtitles,120,0.07869853935553692,0.05690625323271282,-0.021792286122824103,0.027107411316668207
clean_pres64_u0080,coherent86_alpha075,with_special,simple_wiki,107,0.047984700058108176,0.07747163271931844,0.029486932661210264,0.025122418885156057
clean_pres64_u0080,coherent86_alpha075,with_special,switchboard,51,0.027941943383684345,0.029769345424046703,0.001827402040362358,0.015094871088389568
clean_pres65_u0080,coherent86_alpha075,with_special,bnc_spoken,120,0.042966262531020524,0.0378550589705507,-0.005111203560469828,0.019601646826659214
clean_pres65_u0080,coherent86_alpha075,with_special,childes,106,0.002693825967980956,0.023492967521032936,0.02079914155305198,0.011219470462272384
clean_pres65_u0080,coherent86_alpha075,with_special,gutenberg,119,0.052956527856202064,0.07721016509360594,0.024253637237403886,0.018268649905067817
clean_pres65_u0080,coherent86_alpha075,with_special,open_subtitles,120,0.07800665079606309,0.05671446770732776,-0.021292183088735327,0.026367320998233645
clean_pres65_u0080,coherent86_alpha075,with_special,simple_wiki,107,0.04807495012461582,0.07774907454987552,0.029674124425259706,0.02477034123647416
clean_pres65_u0080,coherent86_alpha075,with_special,switchboard,51,0.028977275040804173,0.03140129384529941,0.0024240188044952413,0.015059633408166809
dense64_u0080,coherent86_alpha075,with_special,bnc_spoken,120,0.06872882493529081,0.06403126036651277,-0.004697564568778035,0.028021811431076633
dense64_u0080,coherent86_alpha075,with_special,childes,106,0.006584309798928995,0.050501898748683195,0.0439175889497542,0.01760227378058714
dense64_u0080,coherent86_alpha075,with_special,gutenberg,119,0.09939933369844024,0.12141024361818466,0.022010909919744404,0.024899101958064024
dense64_u0080,coherent86_alpha075,with_special,open_subtitles,120,0.11293012853542071,0.09063964824369274,-0.02229048029172797,0.03550157769880907
dense64_u0080,coherent86_alpha075,with_special,simple_wiki,107,0.07500812035297678,0.12397729198091498,0.04896917162793819,0.03481723998679084
dense64_u0080,coherent86_alpha075,with_special,switchboard,51,0.05146779258753739,0.05687312597372368,0.005405333386186291,0.022176832951503994
dense65_u0080,coherent86_alpha075,with_special,bnc_spoken,120,0.07223260231403401,0.06598319683107548,-0.006249405482958536,0.028252829267878136
dense65_u0080,coherent86_alpha075,with_special,childes,106,0.007669365372997695,0.051427233586301156,0.043757868213303464,0.01761817318209354
dense65_u0080,coherent86_alpha075,with_special,gutenberg,119,0.1005824011351381,0.12420280730672681,0.023620406171588712,0.025390598563933952
dense65_u0080,coherent86_alpha075,with_special,open_subtitles,120,0.11772346208163072,0.09211927573329982,-0.02560418634833089,0.03591498210046558
dense65_u0080,coherent86_alpha075,with_special,simple_wiki,107,0.07916115873676037,0.12914798220741414,0.04998682347065377,0.035232004721953675
dense65_u0080,coherent86_alpha075,with_special,switchboard,51,0.05555648787641058,0.060588877666376384,0.005032389789965807,0.022425367780363206
