target,frame_id,subtype,alt_a,alt_b,form,delta1,delta2,correct_margin_c1,correct_margin_c2,interaction,min_signed_margin,crossed_success,same_a_bias,same_b_bias,prior_ratio
scale1p75_80M,D_0064,empty_full,empty,full,initial_plus_last,-7.483539126813412,5.944440424442291,-7.483539126813412,-5.944440424442291,-13.427979551255703,-7.483539126813412,False,False,False,4.861915367483296
scale1p75_80M,D_0064,empty_full,empty,full,last_event_only,1.9405603408813477,1.785731315612793,1.9405603408813477,-1.785731315612793,0.1548290252685547,-1.785731315612793,False,True,False,4.861915367483296
scale1p75_80M,D_0064,empty_full,empty,full,no_context,1.00848388671875,1.00848388671875,1.00848388671875,-1.00848388671875,0.0,-1.00848388671875,False,True,False,4.861915367483296
scale1p75_80M,D_0065,open_closed,open,closed,explicit_final_state,5.113465175032616,-3.237006261944771,5.113465175032616,3.237006261944771,8.350471436977386,3.237006261944771,True,False,False,4.846875
scale1p75_80M,D_0065,open_closed,open,closed,full_v3,-3.9140566661953926,3.6213207691907883,-3.9140566661953926,-3.6213207691907883,-7.535377435386181,-3.9140566661953926,False,False,False,4.846875
scale1p75_80M,D_0065,open_closed,open,closed,initial_plus_last,-3.483094185590744,3.988572120666504,-3.483094185590744,-3.988572120666504,-7.471666306257248,-3.988572120666504,False,False,False,4.846875
scale1p75_80M,D_0065,open_closed,open,closed,last_event_only,0.5618906021118164,-2.079942673444748,0.5618906021118164,2.079942673444748,2.6418332755565643,0.5618906021118164,True,False,False,4.846875
scale1p75_80M,D_0065,open_closed,open,closed,no_context,-0.08724689483642578,-0.08724689483642578,-0.08724689483642578,0.08724689483642578,0.0,-0.08724689483642578,False,False,True,4.846875
scale1p75_80M,D_0066,empty_full,empty,full,explicit_final_state,5.327258884906769,-7.795946091413498,5.327258884906769,7.795946091413498,13.123204976320267,5.327258884906769,True,False,False,4.861915367483296
scale1p75_80M,D_0066,empty_full,empty,full,full_v3,-7.255553245544434,4.9194126427173615,-7.255553245544434,-4.9194126427173615,-12.174965888261795,-7.255553245544434,False,False,False,4.861915367483296
scale1p75_80M,D_0066,empty_full,empty,full,initial_plus_last,-7.629122816026211,4.939858496189117,-7.629122816026211,-4.939858496189117,-12.568981312215328,-7.629122816026211,False,False,False,4.861915367483296
scale1p75_80M,D_0066,empty_full,empty,full,last_event_only,1.16192626953125,0.16215133666992188,1.16192626953125,-0.16215133666992188,0.9997749328613281,-0.16215133666992188,False,True,False,4.861915367483296
scale1p75_80M,D_0066,empty_full,empty,full,no_context,-0.6970052719116211,-0.6970052719116211,-0.6970052719116211,0.6970052719116211,0.0,-0.6970052719116211,False,False,True,4.861915367483296
scale1p75_80M,D_0067,empty_full,empty,full,explicit_final_state,6.11545392870903,-6.86219148337841,6.11545392870903,6.86219148337841,12.97764541208744,6.11545392870903,True,False,False,4.861915367483296
scale1p75_80M,D_0067,empty_full,empty,full,full_v3,-6.544100113213062,6.061615139245987,-6.544100113213062,-6.061615139245987,-12.60571525245905,-6.544100113213062,False,False,False,4.861915367483296
scale1p75_80M,D_0067,empty_full,empty,full,initial_plus_last,-6.86893430352211,5.795917391777039,-6.86893430352211,-5.795917391777039,-12.664851695299149,-6.86893430352211,False,False,False,4.861915367483296
scale1p75_80M,D_0067,empty_full,empty,full,last_event_only,1.4680848121643066,0.36699628829956055,1.4680848121643066,-0.36699628829956055,1.101088523864746,-0.36699628829956055,False,True,False,4.861915367483296
scale1p75_80M,D_0067,empty_full,empty,full,no_context,-0.28734493255615234,-0.28734493255615234,-0.28734493255615234,0.28734493255615234,0.0,-0.28734493255615234,False,False,True,4.861915367483296
scale1p75_80M,D_0068,open_closed,open,closed,explicit_final_state,5.314476870000362,-4.2379304096102715,5.314476870000362,4.2379304096102715,9.552407279610634,4.2379304096102715,True,False,False,4.846875
