pair_id,source,original_words,rewrite_words,pair_words,len_ratio,content_jaccard_common_def,content_overlap_min_common_def,stored_content_overlap,stored_content_jaccard,longest_common_contiguous_words_common_def
rw2s1_001217,simple_wiki,24,21,45,0.875,0.4444444444444444,0.6666666666666666,0.5714285714285714,,5
rw2s1_015548,gutenberg,38,39,77,1.0263157894736843,0.24,0.5,0.46153846153846156,,6
rw2s0_003318,open_subtitles,18,17,35,0.9444444444444444,0.7272727272727273,0.8888888888888888,0.9,,7
rw2s1_018906,gutenberg,25,27,52,1.08,0.5789473684210527,0.7333333333333333,0.7333333333333333,,10
rw2s1_016654,simple_wiki,18,19,37,1.0555555555555556,0.7692307692307693,0.9090909090909091,0.9166666666666666,,10
rw2s0_012383,simple_wiki,21,20,41,0.9523809523809523,0.6666666666666666,0.8,0.8181818181818182,,8
rw2s1_022076,simple_wiki,24,21,45,0.875,0.5,0.6666666666666666,0.6666666666666666,,6
rw2s1_025940,simple_wiki,25,25,50,1.0,0.8235294117647058,0.9333333333333333,0.875,,8
rw2s0_018914,simple_wiki,21,18,39,0.8571428571428571,0.5,0.7,0.7272727272727273,,5
rw2s0_004066,gutenberg,55,45,100,0.8181818181818182,0.896551724137931,0.9629629629629629,0.9642857142857143,,13
rw2s1_016818,gutenberg,35,28,63,0.8,0.7894736842105263,0.9375,0.8888888888888888,,5
rw2s0_002826,gutenberg,25,23,48,0.92,0.5294117647058824,0.6923076923076923,0.6923076923076923,,7
rw2s1_028407,gutenberg,26,25,51,0.9615384615384616,0.8333333333333334,0.9090909090909091,0.9166666666666666,,15
rw2s1_019678,open_subtitles,19,17,36,0.8947368421052632,0.375,0.6,0.6666666666666666,,4
rw2s0_022174,simple_wiki,26,27,53,1.0384615384615385,0.7777777777777778,0.875,0.8666666666666667,,12
rw2s1_024917,gutenberg,20,20,40,1.0,0.4166666666666667,0.625,0.6666666666666666,,3
rw2s1_029221,gutenberg,26,24,50,0.9230769230769231,0.6111111111111112,0.7857142857142857,0.8461538461538461,,8
rw2s0_001299,simple_wiki,20,23,43,1.15,0.3684210526315789,0.5833333333333334,0.5833333333333334,,6
rw2s1_008888,gutenberg,23,22,45,0.9565217391304348,0.2222222222222222,0.36363636363636365,0.36363636363636365,,3
rw2s0_027943,simple_wiki,22,22,44,1.0,0.5263157894736842,0.7142857142857143,0.6666666666666666,,4
rw2s0_007061,simple_wiki,27,28,55,1.037037037037037,0.7058823529411765,0.8571428571428571,0.8,,12
rw2s1_005515,gutenberg,19,19,38,1.0,0.8181818181818182,0.9,0.9230769230769231,,16
rw2s1_006269,gutenberg,29,29,58,1.0,0.8666666666666667,0.9285714285714286,0.9333333333333333,,25
rw2s1_016065,gutenberg,25,24,49,0.96,0.6111111111111112,0.7857142857142857,0.7857142857142857,,5
rw2s1_017385,gutenberg,39,39,78,1.0,0.8095238095238095,0.8947368421052632,0.8947368421052632,,13
rw2s0_013049,simple_wiki,20,24,44,1.2,0.8571428571428571,0.9230769230769231,0.9230769230769231,,9
rw2s0_006527,simple_wiki,21,22,43,1.0476190476190477,0.8571428571428571,0.9230769230769231,0.9230769230769231,,8
rw2s1_019036,simple_wiki,25,22,47,0.88,0.8571428571428571,0.9230769230769231,0.9375,,21
rw2s0_000793,gutenberg,43,52,95,1.2093023255813953,0.7083333333333334,0.8947368421052632,0.9,,22
rw2s1_004966,gutenberg,29,27,56,0.9310344827586207,0.8461538461538461,0.9166666666666666,0.9230769230769231,,17
rw2s0_012166,simple_wiki,29,28,57,0.9655172413793104,0.65,0.8125,0.8235294117647058,,22
