mode,word,pred_model_aoa,pred_model_status,measured_model_aoa,child_aoa,oracle_only
current,hurt,6.9811033725834415,ok,7.019692536873989,24.746533842465965,0
current,ice,6.939093137297302,ok,6.969358070339734,23.464365625838706,0
current,jacket,7.2027753557542535,ok,,23.477574623889407,0
current,jar,7.163165786902401,ok,,,0
current,jeans,6.8481582956591085,ok,7.121627995621856,28.96130506431679,0
current,jello,7.045361546534238,ok,,,0
current,jelly,,threshold_above_upper_asymptote,,28.223958940535663,0
current,juice,7.040312734042332,ok,7.048880183503259,19.337110489192803,0
current,jump,7.073809888272619,ok,6.888864240276477,22.877728721484658,0
current,keys,7.309443280648379,ok,7.985453922997175,22.06723590327549,0
current,kick,,threshold_above_upper_asymptote,,24.711999260850668,0
current,kiss,7.118554861964113,ok,,21.57034386718253,0
current,kitchen,7.059775303380094,ok,,24.044183513123148,0
current,kitty,,threshold_above_upper_asymptote,,20.292166245251202,0
current,knee,,threshold_above_upper_asymptote,,22.63315001657779,0
current,knife,7.017380390293555,ok,7.101383783709279,25.31616693081719,0
current,knock,,threshold_above_upper_asymptote,,26.086781584080928,0
current,ladder,,threshold_above_upper_asymptote,,27.93590548210792,0
current,lady,6.911651103691298,ok,,,0
current,lamb,,threshold_above_upper_asymptote,,,0
current,lamp,,threshold_above_upper_asymptote,,29.426392592767808,0
current,last,6.749355386200973,ok,,,0
current,later,6.741582662856024,ok,6.705415892846113,28.08468448252086,0
current,leg,7.036620923519428,ok,7.6238206977176874,22.967834744581136,0
current,lick,,threshold_below_lower_asymptote,6.926051283003704,27.831628726846333,0
current,light,6.957599950740315,ok,,21.573068682350033,0
current,like,,threshold_below_lower_asymptote,6.072690167001678,25.75007721668643,0
current,lion,,threshold_above_upper_asymptote,,22.93884161407195,0
current,lips,6.9719348980884135,ok,6.918610198029957,25.482076843958392,0
current,listen,6.8993666840093875,ok,6.8930996963837945,28.048745584501315,0
current,lollipop,,threshold_above_upper_asymptote,,27.842830450401625,0
current,long,,threshold_below_lower_asymptote,,,0
current,look,6.68974531443569,ok,,24.098423511314476,0
current,loud,7.074847885791973,ok,,26.12765077192083,0
current,love,6.824472282002145,ok,,23.249110931637965,0
current,lunch,6.901518632955311,ok,7.167632149891429,24.37307490241634,0
current,mad,7.131591245013213,ok,,28.357752575026606,0
current,mailman,6.750671885553757,ok,,,0
current,make,,threshold_below_lower_asymptote,6.403938853337971,26.76673663101711,0
current,man,,threshold_below_lower_asymptote,6.465362138587407,26.239323453067815,0
current,meat,7.000276263289637,ok,7.015557777180096,26.824160865348063,0
current,medicine,7.120102119804116,ok,,24.709281294511936,0
current,melon,,threshold_below_lower_asymptote,,,0
current,milk,6.981446722637974,ok,7.01555211682633,18.255048075517685,0
current,mommy,7.042318099023251,ok,,,0
current,money,,threshold_below_lower_asymptote,6.853425664564013,24.59030107938586,0
current,monkey,,threshold_above_upper_asymptote,,21.420862525347772,0
current,moon,6.932374111288456,ok,6.738854432443212,21.266352929569763,0
current,moose,,threshold_below_lower_asymptote,,,0
current,mop,,threshold_below_lower_asymptote,,,0
current,morning,,threshold_below_lower_asymptote,6.87618761822901,26.726898941775957,0
current,motorcycle,,threshold_above_upper_asymptote,,25.351378212033644,0
current,mouse,,threshold_above_upper_asymptote,,23.380858578636253,0
current,mouth,6.923176044651359,ok,6.934749786714387,20.209807579108084,0
current,movie,6.919701085773346,ok,6.82037385986426,27.917043742420812,0
current,muffin,,threshold_below_lower_asymptote,7.116312424969118,26.196634213174725,0
current,nail,,threshold_above_upper_asymptote,,,0
current,nap,,threshold_above_upper_asymptote,,22.674625384618004,0
current,napkin,,threshold_above_upper_asymptote,,25.073543767799908,0
current,naughty,,threshold_above_upper_asymptote,,,0
current,necklace,,threshold_above_upper_asymptote,,26.69518885859007,0
current,new,6.744451227486114,ok,,28.840785987993776,0
current,nice,6.785813362649878,ok,6.775518309868604,25.83342302182803,0
current,night,,threshold_below_lower_asymptote,6.827511424036405,24.482917590787725,0
current,noisy,,threshold_above_upper_asymptote,,28.973349302766035,0
current,noodles,,threshold_above_upper_asymptote,,24.271362933789078,0
current,nose,6.96752768147233,ok,7.0278514736201645,17.566643472145085,0
current,nurse,7.229934356445857,ok,,,0
current,nuts,,threshold_above_upper_asymptote,,28.18287000352459,0
current,old,,threshold_below_lower_asymptote,,,0
current,open,6.856319502679629,ok,6.920970558511345,22.114445562602707,0
current,outside,6.949683253001707,ok,7.23621999228753,20.586834888836407,0
