i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_reversed,top1_reversed,rank_reversed,nll_shuffled,top1_shuffled,rank_shuffled,example_id,mid_len_bin,mid_words,neighbor_mid_overlap,neighbor_overlap_bin,next_words,prev_words,row_index,shuffle_next_words,shuffle_prev_words,shuffle_row_index,source,target_char_end,target_char_start
103,disc:48830:103:59-62,row:48830,gutenberg,connective,But,2730,2.5978996753692627,0,3,0.7522337436676025,1,1,2.877315044403076,0,4,3.7362635135650635,0,10,38303,8_15,12,0.04114583333333333,lt0p05,53,20,48830,42,22,56343,gutenberg,62,59
104,disc:26826:104:27-28,row:26826,open_subtitles,number,0,20,6.437896251678467,0,6,7.324460506439209,0,6,6.58455753326416,0,6,6.522005081176758,0,4,46333,8_15,11,0.03333333333333333,lt0p05,5,7,26826,6,6,18997,open_subtitles,28,27
105,disc:28482:105:7-10,row:28482,switchboard,content,'re,447,0.8439693450927734,1,1,0.04244261234998703,1,1,0.04017011821269989,1,1,0.9171193838119507,0,2,62421,lt8,5,0.325,ge0p30,9,10,28482,7,8,12864,switchboard,10,7
106,disc:14638:106:15-17,row:14638,open_subtitles,content,'m,451,0.42867735028266907,1,1,0.4745887815952301,1,1,0.5818189978599548,1,1,0.792138934135437,1,1,42287,lt8,7,0.038461538461538464,lt0p05,7,5,14638,7,6,8763,open_subtitles,17,15
107,disc:25310:107:16-18,row:25310,switchboard,content,'t,294,0.0094956886023283,1,1,0.006670825183391571,1,1,0.010334904305636883,1,1,0.004924549721181393,1,1,62435,8_15,10,0.09545454545454546,0p05_0p15,12,14,25310,11,13,24045,switchboard,18,16
108,disc:40647:108:17-18,row:40647,simple_wiki,number,8,28,3.507079601287842,0,9,3.5329432487487793,0,9,3.5286896228790283,0,9,4.548735618591309,0,17,58034,8_15,10,0.06158357771260997,0p05_0p15,26,22,40647,24,26,27147,simple_wiki,18,17
109,disc:10230:109:32-34,row:10230,childes,content,'s,249,2.3263118267059326,0,2,2.678288698196411,0,2,2.856044054031372,0,2,2.104790210723877,0,2,10796,8_15,11,0.03125,lt0p05,6,4,10230,7,4,16359,childes,34,32
110,disc:64235:110:11-13,row:64235,gutenberg,content,ly,278,8.893895149230957,0,60,7.785923957824707,0,120,9.017833709716797,0,88,8.708006858825684,0,100,22670,8_15,10,0.00819672131147541,lt0p05,10,52,64235,9,37,56943,gutenberg,13,11
111,disc:55497:111:38-41,row:55497,switchboard,content,'re,447,1.2731021642684937,0,2,4.613122940063477,0,3,5.530741214752197,0,3,1.2404038906097412,0,2,62358,16_30,19,0.28629032258064513,0p15_0p30,22,21,55497,21,14,45712,switchboard,41,38
112,disc:53629:112:15-17,row:53629,open_subtitles,content,'s,249,0.9944915771484375,1,1,1.5502502918243408,0,2,1.8556609153747559,0,4,1.8102692365646362,0,2,43090,lt8,7,0.04,lt0p05,5,20,53629,7,15,40870,open_subtitles,17,15
113,disc:12542:113:30-34,row:12542,gutenberg,content,ract,2280,5.90256404876709,0,81,5.631755352020264,0,59,5.707513809204102,0,67,5.619195461273193,0,57,24809,gt30,31,0.1284313725490196,0p05_0p15,79,28,12542,62,24,38770,gutenberg,34,30
114,disc:36424:114:125-128,row:36424,simple_wiki,content,ain,373,13.488165855407715,0,3905,13.66489315032959,0,4404,13.42910385131836,0,3973,13.091498374938965,0,3837,62189,16_30,24,0.038461538461538464,lt0p05,18,6,36424,15,8,41070,simple_wiki,128,125
115,disc:48883:115:65-70,row:48883,bnc_spoken,content,phone,2741,14.435721397399902,0,5952,14.793679237365723,0,6338,15.054931640625,0,7234,15.132863998413086,0,6805,255,16_30,21,0.011111111111111112,lt0p05,3,25,48883,4,21,47531,bnc_spoken,70,65
116,disc:17477:116:7-9,row:17477,bnc_spoken,content,'s,249,0.791786789894104,1,1,0.6340776085853577,1,1,0.6221063733100891,1,1,0.6356250047683716,1,1,2630,gt30,38,0.07150776053215077,0p05_0p15,8,7,17477,4,8,15256,bnc_spoken,9,7
117,disc:63396:117:29-30,row:63396,open_subtitles,number,6,26,3.9333434104919434,0,6,3.5934340953826904,0,6,3.834548234939575,0,7,3.625464916229248,0,5,42277,8_15,10,0.02,lt0p05,6,42,63396,4,21,18204,open_subtitles,30,29
118,disc:45838:118:7-9,row:45838,childes,content,'m,451,0.5040704607963562,1,1,0.2650260329246521,1,1,0.2787986993789673,1,1,0.3273334801197052,1,1,19412,8_15,11,0.03571428571428571,lt0p05,15,4,45838,13,6,3404,childes,9,7
119,disc:43838:119:15-19,row:43838,gutenberg,content,iner,6318,11.56019401550293,0,4227,9.999700546264648,0,2198,10.43447494506836,0,2501,10.321086883544922,0,2583,27684,8_15,15,0.0,lt0p05,6,15,43838,6,15,15695,gutenberg,19,15
120,disc:10276:120:78-81,row:10276,gutenberg,content,one,449,3.813600778579712,0,3,3.28110933303833,0,2,3.244248628616333,1,1,2.687119483947754,1,1,34272,16_30,29,0.13992172211350293,0p05_0p15,27,54,10276,29,67,28888,gutenberg,81,78
121,disc:33397:121:13-15,row:33397,bnc_spoken,content,no,1782,12.539562225341797,0,5369,13.674161911010742,0,8780,13.608875274658203,0,8070,13.590825080871582,0,7963,2265,8_15,11,0.07692307692307693,0p05_0p15,5,4,33397,5,4,35926,bnc_spoken,15,13
122,disc:12097:122:47-49,row:12097,gutenberg,content,'t,294,0.009886938147246838,1,1,0.005242885090410709,1,1,0.004024502821266651,1,1,0.01315839122980833,1,1,28948,8_15,15,0.025,lt0p05,9,6,12097,12,6,38607,gutenberg,49,47
123,disc:34308:123:13-15,row:34308,childes,function,as,232,1.4689505100250244,1,1,0.008079228922724724,1,1,0.006513318512588739,1,1,1.4601004123687744,1,1,8601,16_30,18,0.34523809523809523,ge0p30,12,7,34308,11,6,55135,childes,15,13
124,disc:7163:124:45-46,row:7163,simple_wiki,number,9,29,0.004636252298951149,1,1,0.0068053374998271465,1,1,0.010899178683757782,1,1,0.009747644886374474,1,1,56718,gt30,38,0.24695652173913044,0p15_0p30,28,16,7163,28,14,50390,simple_wiki,46,45
125,disc:28496:125:14-16,row:28496,switchboard,content,'s,249,0.9451897740364075,0,2,0.5646621584892273,1,1,0.2626200318336487,1,1,2.7748284339904785,0,3,62380,8_15,15,0.1051693404634581,0p05_0p15,3,23,28496,6,22,59298,switchboard,16,14
126,disc:27270:126:152-153,row:27270,simple_wiki,number,2,22,1.7355228662490845,0,2,1.7467892169952393,0,2,1.6706968545913696,0,2,1.5213618278503418,0,2,56501,gt30,32,0.0125,lt0p05,4,9,27270,5,12,44342,simple_wiki,153,152
127,disc:33739:127:37-41,row:33739,gutenberg,content,arms,7914,8.488601684570312,0,551,8.094415664672852,0,463,8.301462173461914,0,550,8.052461624145508,0,458,36624,16_30,23,0.06190476190476191,0p05_0p15,14,9,33739,13,11,14388,gutenberg,41,37
