case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_unrelated,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_unrelated,wwm_spec_deleted_vs_unrelated,wwm_spec_shuffled_vs_unrelated,rtd_mlm_lp_full,rtd_mlm_lp_deleted,rtd_mlm_lp_shuffled,rtd_mlm_lp_unrelated,rtd_mlm_delta_deleted,rtd_mlm_delta_shuffled,rtd_mlm_delta_unrelated,rtd_mlm_spec_deleted_vs_unrelated,rtd_mlm_spec_shuffled_vs_unrelated,rtd_minus_wwm_delta_deleted,rtd_minus_wwm_delta_shuffled,rtd_minus_wwm_delta_unrelated,rtd_minus_wwm_spec_deleted_vs_unrelated,rtd_minus_wwm_spec_shuffled_vs_unrelated
10,bnc_spoken.train.txt,ĠWell,96,91,23,-6.274758338928223,-6.274639129638672,-6.274759292602539,-6.274718761444092,-0.00011920928955078125,9.5367431640625e-07,-3.9577484130859375e-05,-7.963180541992188e-05,4.0531158447265625e-05,-6.556308746337891,-6.54796028137207,-6.556164741516113,-6.550437927246094,-0.008348464965820312,-0.00014400482177734375,-0.005870819091796875,-0.0024776458740234375,0.005726814270019531,-0.008229255676269531,-0.00014495849609375,-0.005831241607666016,-0.0023980140686035156,0.005686283111572266
11,bnc_spoken.train.txt,ists,92,106,26,-9.719876289367676,-9.721426010131836,-9.720000267028809,-9.72143268585205,0.0015497207641601562,0.0001239776611328125,0.001556396484375,-6.67572021484375e-06,-0.0014324188232421875,-9.449121475219727,-9.443211555480957,-9.448817253112793,-9.432470321655273,-0.005909919738769531,-0.00030422210693359375,-0.016651153564453125,0.010741233825683594,0.01634693145751953,-0.0074596405029296875,-0.00042819976806640625,-0.018207550048828125,0.010747909545898438,0.01777935028076172
12,bnc_spoken.train.txt,ation,99,95,23,-7.921421051025391,-7.921525955200195,-7.921464920043945,-7.921449661254883,0.0001049041748046875,4.38690185546875e-05,2.86102294921875e-05,7.62939453125e-05,1.52587890625e-05,-8.054569244384766,-8.09354305267334,-8.054311752319336,-8.061100006103516,0.03897380828857422,-0.0002574920654296875,0.00653076171875,0.03244304656982422,-0.0067882537841796875,0.03886890411376953,-0.000301361083984375,0.0065021514892578125,0.03236675262451172,-0.0068035125732421875
13,bnc_spoken.train.txt,Ġknow,99,99,29,-5.834228515625,-5.834230422973633,-5.834225177764893,-5.834268569946289,1.9073486328125e-06,-3.337860107421875e-06,4.00543212890625e-05,-3.814697265625e-05,-4.3392181396484375e-05,-5.638150215148926,-5.660897254943848,-5.639122009277344,-5.676572799682617,0.022747039794921875,0.0009717941284179688,0.038422584533691406,-0.01567554473876953,-0.03745079040527344,0.022745132446289062,0.0009751319885253906,0.038382530212402344,-0.01563739776611328,-0.03740739822387695
14,bnc_spoken.train.txt,Ġsit,99,99,26,-8.609115600585938,-8.608842849731445,-8.609199523925781,-8.60879898071289,-0.0002727508544921875,8.392333984375e-05,-0.000316619873046875,4.38690185546875e-05,0.000400543212890625,-9.948324203491211,-9.953475952148438,-9.948359489440918,-9.933660507202148,0.0051517486572265625,3.528594970703125e-05,-0.0146636962890625,0.019815444946289062,0.014698982238769531,0.00542449951171875,-4.863739013671875e-05,-0.014347076416015625,0.019771575927734375,0.014298439025878906
15,bnc_spoken.train.txt,Ġwin,102,106,26,-9.359207153320312,-9.359209060668945,-9.359251022338867,-9.359150886535645,1.9073486328125e-06,4.38690185546875e-05,-5.626678466796875e-05,5.817413330078125e-05,0.00010013580322265625,-9.667219161987305,-9.678055763244629,-9.668282508850098,-9.687276840209961,0.010836601257324219,0.0010633468627929688,0.02005767822265625,-0.009221076965332031,-0.01899433135986328,0.010834693908691406,0.0010194778442382812,0.02011394500732422,-0.009279251098632812,-0.019094467163085938
16,bnc_spoken.train.txt,Ġstruggled,101,98,27,-12.278746604919434,-12.280099868774414,-12.278779029846191,-12.278745651245117,0.0013532638549804688,3.24249267578125e-05,-9.5367431640625e-07,0.001354217529296875,3.337860107421875e-05,-12.5082426071167,-12.526769638061523,-12.507305145263672,-12.538352966308594,0.01852703094482422,-0.0009374618530273438,0.03011035919189453,-0.011583328247070312,-0.031047821044921875,0.01717376708984375,-0.0009698867797851562,0.030111312866210938,-0.012937545776367188,-0.031081199645996094
17,bnc_spoken.train.txt,Ġsaid,108,100,26,-6.57131290435791,-6.571314811706543,-6.571313858032227,-6.571415901184082,1.9073486328125e-06,9.5367431640625e-07,0.000102996826171875,-0.0001010894775390625,-0.00010204315185546875,-6.78637170791626,-6.787970066070557,-6.787163734436035,-6.780357360839844,0.001598358154296875,0.0007920265197753906,-0.006014347076416016,0.007612705230712891,0.006806373596191406,0.0015964508056640625,0.0007910728454589844,-0.006117343902587891,0.007713794708251953,0.006908416748046875
18,childes.train.txt,Ġbottle,120,120,36,-9.674551010131836,-9.673164367675781,-9.674551010131836,-9.674711227416992,-0.0013866424560546875,0.0,0.00016021728515625,-0.0015468597412109375,-0.00016021728515625,-11.61777400970459,-11.628032684326172,-11.618185997009277,-11.594675064086914,0.010258674621582031,0.0004119873046875,-0.02309894561767578,0.03335762023925781,0.02351093292236328,0.011645317077636719,0.0004119873046875,-0.02325916290283203,0.03490447998046875,0.02367115020751953
19,bnc_spoken.train.txt,Ġknow,103,101,26,-5.833499908447266,-5.834231376647949,-5.833505630493164,-5.833528995513916,0.0007314682006835938,5.7220458984375e-06,2.9087066650390625e-05,0.0007023811340332031,-2.3365020751953125e-05,-5.654600620269775,-5.662661552429199,-5.655459403991699,-5.659165859222412,0.008060932159423828,0.0008587837219238281,0.004565238952636719,0.0034956932067871094,-0.0037064552307128906,0.007329463958740234,0.0008530616760253906,0.004536151885986328,0.0027933120727539062,-0.0036830902099609375
