case_id,source,target_token,prefix_tokens,later_tokens,target_idx,wwm_lp_full,wwm_lp_deleted,wwm_lp_shuffled,wwm_lp_same_near,wwm_lp_cross_near,wwm_delta_deleted,wwm_delta_shuffled,wwm_delta_same_near,wwm_delta_cross_near,wwm_spec_same_vs_cross,wwm_spec_deleted_vs_cross,cont_lp_full,cont_lp_deleted,cont_lp_shuffled,cont_lp_same_near,cont_lp_cross_near,cont_delta_deleted,cont_delta_shuffled,cont_delta_same_near,cont_delta_cross_near,cont_spec_same_vs_cross,cont_spec_deleted_vs_cross,cont_minus_wwm_delta_deleted,cont_minus_wwm_delta_shuffled,cont_minus_wwm_delta_same_near,cont_minus_wwm_delta_cross_near,cont_minus_wwm_spec_same_vs_cross,cont_minus_wwm_spec_deleted_vs_cross,wwm_sensitivity_score
20,bnc_spoken.train.txt,Ġjoin,98,97,27,-10.521323204040527,-10.520816802978516,-10.52224349975586,-10.521390914916992,-10.522140502929688,-0.0005064010620117188,0.0009202957153320312,6.771087646484375e-05,0.0008172988891601562,-0.0007495880126953125,-0.001323699951171875,-9.762306213378906,-9.762307167053223,-9.762306213378906,-9.762306213378906,-11.344295501708984,9.5367431640625e-07,0.0,0.0,1.5819892883300781,-1.5819892883300781,-1.5819883346557617,0.000507354736328125,-0.0009202957153320312,-6.771087646484375e-05,1.581171989440918,-1.5812397003173828,-1.5806646347045898,0.0009202957153320312
21,bnc_spoken.train.txt,Ġsleep,93,102,27,-9.245189666748047,-9.245205879211426,-9.24520206451416,-9.24565315246582,-9.245649337768555,1.621246337890625e-05,1.239776611328125e-05,0.0004634857177734375,0.0004596710205078125,3.814697265625e-06,-0.00044345855712890625,-10.019659042358398,-10.019658088684082,-10.019658088684082,-10.019657135009766,-8.667715072631836,-9.5367431640625e-07,-9.5367431640625e-07,-1.9073486328125e-06,-1.3519439697265625,1.3519420623779297,1.351943016052246,-1.71661376953125e-05,-1.33514404296875e-05,-0.00046539306640625,-1.3524036407470703,1.351938247680664,1.352386474609375,0.0004634857177734375
22,bnc_spoken.train.txt,Ġwhich,108,96,24,-6.559365272521973,-6.559332847595215,-6.559376239776611,-6.55952262878418,-6.559141635894775,-3.24249267578125e-05,1.0967254638671875e-05,0.00015735626220703125,-0.00022363662719726562,0.0003809928894042969,0.00019121170043945312,-6.324071884155273,-6.32407283782959,-6.324071884155273,-6.324069976806641,-8.559101104736328,9.5367431640625e-07,0.0,-1.9073486328125e-06,2.2350292205810547,-2.2350311279296875,-2.2350282669067383,3.337860107421875e-05,-1.0967254638671875e-05,-0.00015926361083984375,2.235252857208252,-2.235412120819092,-2.2352194786071777,0.00015735626220703125
23,bnc_spoken.train.txt,Ġseventy,95,107,27,-8.082489013671875,-8.082503318786621,-8.082483291625977,-8.082763671875,-8.082496643066406,1.430511474609375e-05,-5.7220458984375e-06,0.000274658203125,7.62939453125e-06,0.00026702880859375,6.67572021484375e-06,-7.861199378967285,-7.861198425292969,-7.8611979484558105,-7.861198425292969,-9.637797355651855,-9.5367431640625e-07,-1.430511474609375e-06,-9.5367431640625e-07,1.7765979766845703,-1.7765989303588867,-1.7765989303588867,-1.52587890625e-05,4.291534423828125e-06,-0.00027561187744140625,1.776590347290039,-1.7768659591674805,-1.7766056060791016,0.000274658203125
24,bnc_spoken.train.txt,Ġconsideration,101,88,23,-12.421350479125977,-12.421937942504883,-12.421347618103027,-12.424332618713379,-12.424174308776855,0.00058746337890625,-2.86102294921875e-06,0.0029821395874023438,0.0028238296508789062,0.0001583099365234375,-0.0022363662719726562,-11.204187393188477,-11.204188346862793,-11.204187393188477,-11.20418643951416,-11.707420349121094,9.5367431640625e-07,0.0,-9.5367431640625e-07,0.5032329559326172,-0.5032339096069336,-0.5032320022583008,-0.0005865097045898438,2.86102294921875e-06,-0.00298309326171875,0.5004091262817383,-0.503392219543457,-0.5009956359863281,0.0029821395874023438
25,bnc_spoken.train.txt,Ġair,105,109,27,-9.567961692810059,-9.56802749633789,-9.56796646118164,-9.567919731140137,-9.568748474121094,6.580352783203125e-05,4.76837158203125e-06,-4.1961669921875e-05,0.0007867813110351562,-0.0008287429809570312,-0.000720977783203125,-9.913064002990723,-9.913064956665039,-9.913063049316406,-9.913063049316406,-9.575820922851562,9.5367431640625e-07,-9.5367431640625e-07,-9.5367431640625e-07,-0.33724308013916016,0.33724212646484375,0.33724403381347656,-6.4849853515625e-05,-5.7220458984375e-06,4.100799560546875e-05,-0.3380298614501953,0.3380708694458008,0.3379650115966797,6.580352783203125e-05
26,bnc_spoken.train.txt,Ġtext,99,94,23,-12.987184524536133,-12.987909317016602,-12.987308502197266,-12.987621307373047,-12.989923477172852,0.00072479248046875,0.0001239776611328125,0.0004367828369140625,0.00273895263671875,-0.0023021697998046875,-0.00201416015625,-10.673907279968262,-10.673907279968262,-10.673908233642578,-10.673908233642578,-11.450296401977539,0.0,9.5367431640625e-07,9.5367431640625e-07,0.7763891220092773,-0.7763881683349609,-0.7763891220092773,-0.00072479248046875,-0.00012302398681640625,-0.00043582916259765625,0.7736501693725586,-0.7740859985351562,-0.7743749618530273,0.00072479248046875
27,bnc_spoken.train.txt,Ġtalking,90,102,26,-7.826945781707764,-7.827021598815918,-7.826920509338379,-7.826991081237793,-7.827840805053711,7.581710815429688e-05,-2.5272369384765625e-05,4.5299530029296875e-05,0.0008950233459472656,-0.0008497238159179688,-0.0008192062377929688,-7.8672637939453125,-7.867262840270996,-7.867264270782471,-7.867262840270996,-8.107657432556152,-9.5367431640625e-07,4.76837158203125e-07,-9.5367431640625e-07,0.24039363861083984,-0.24039459228515625,-0.24039459228515625,-7.677078247070312e-05,2.574920654296875e-05,-4.6253204345703125e-05,0.23949861526489258,-0.23954486846923828,-0.23957538604736328,7.581710815429688e-05
28,childes.train.txt,FAT,120,120,31,-8.435285568237305,-8.435286521911621,-8.435286521911621,-8.433473587036133,-8.433309555053711,9.5367431640625e-07,9.5367431640625e-07,-0.001811981201171875,-0.00197601318359375,0.000164031982421875,0.0019769668579101562,-6.697600364685059,-6.697601318359375,-6.697601318359375,-6.6975998878479,-6.697599411010742,9.5367431640625e-07,9.5367431640625e-07,-4.76837158203125e-07,-9.5367431640625e-07,4.76837158203125e-07,1.9073486328125e-06,0.0,0.0,0.0018115043640136719,0.0019750595092773438,-0.00016355514526367188,-0.0019750595092773438,0.001811981201171875
29,bnc_spoken.train.txt,stand,105,115,29,-13.279808044433594,-13.278752326965332,-13.28006649017334,-13.27885913848877,-13.281499862670898,-0.0010557174682617188,0.00025844573974609375,-0.0009489059448242188,0.0016918182373046875,-0.0026407241821289062,-0.0027475357055664062,-13.019081115722656,-13.019071578979492,-13.019078254699707,-13.019075393676758,-12.880671501159668,-9.5367431640625e-06,-2.86102294921875e-06,-5.7220458984375e-06,-0.13840961456298828,0.13840389251708984,0.13840007781982422,0.0010461807250976562,-0.0002613067626953125,0.0009431838989257812,-0.14010143280029297,0.14104461669921875,0.14114761352539062,0.0010557174682617188
