column,subtask,n_items,score_82,score_84,score_100,delta_84_minus_82,gains_82_to_84,losses_82_to_84,net_items_82_to_84,retention_of_82_correct_at_84,delta_100_minus_84,gains_84_to_100,losses_84_to_100,net_items_84_to_100
BLiMP,existential_there_quantifiers_1,930,98.81720430107526,98.81720430107526,99.24731182795699,0.0,3,3,0,0.9967355821545157,0.43010752688172715,5,1,4
BLiMP,existential_there_quantifiers_2,911,40.065861690450056,47.63995609220636,40.944017563117455,7.574094401756305,75,6,69,0.9835616438356164,-6.695938529088906,6,67,-61
BLiMP,existential_there_subject_raising,924,78.8961038961039,78.24675324675324,79.54545454545455,-0.6493506493506516,9,15,-6,0.9794238683127572,1.2987012987013031,21,9,12
BLiMP,expletive_it_object_raising,759,68.51119894598156,66.66666666666666,66.93017127799736,-1.8445322793149046,5,19,-14,0.9634615384615385,0.2635046113307027,10,8,2
BLiMP,inchoative,855,44.7953216374269,45.380116959064324,45.380116959064324,0.5847953216374222,17,12,5,0.9686684073107049,0.0,12,12,0
BLiMP,intransitive,868,56.68202764976959,57.94930875576036,57.373271889400925,1.2672811059907758,15,4,11,0.991869918699187,-0.5760368663594377,9,14,-5
BLiMP,irregular_past_participle_adjectives,961,91.57127991675338,92.40374609781477,91.77939646201872,0.8324661810613918,13,5,8,0.9943181818181818,-0.624349635796051,4,10,-6
BLiMP,irregular_past_participle_verbs,942,79.83014861995754,80.36093418259024,81.31634819532908,0.5307855626327012,17,12,5,0.9840425531914894,0.9554140127388422,18,9,9
BLiMP,irregular_plural_subject_verb_agreement_1,804,72.13930348258707,72.38805970149254,73.50746268656717,0.24875621890546995,15,13,2,0.9775862068965517,1.119402985074629,22,13,9
BLiMP,irregular_plural_subject_verb_agreement_2,892,81.27802690582959,78.47533632286996,79.5964125560538,-2.8026905829596274,7,32,-25,0.9558620689655173,1.1210762331838424,18,8,10
BLiMP,left_branch_island_echo_question,947,37.69799366420274,41.49947201689546,38.54276663146779,3.801478352692719,41,5,36,0.9859943977591037,-2.956705385427668,4,32,-28
BLiMP,left_branch_island_simple_question,951,52.26077812828601,52.47108307045215,51.31440588853838,0.2103049421661396,22,20,2,0.959758551307847,-1.1566771819137713,16,27,-11
BLiMP,matrix_question_npi_licensor_present,929,40.90419806243272,41.33476856835307,41.01184068891281,0.4305705059203504,25,21,4,0.9447368421052632,-0.32292787944025747,18,21,-3
BLiMP,npi_present_1,909,33.663366336633665,29.48294829482948,27.83278327832783,-4.1804180418041845,9,47,-38,0.8464052287581699,-1.6501650165016493,11,26,-15
BLiMP,npi_present_2,914,39.496717724288835,33.8074398249453,32.27571115973742,-5.689277899343537,10,62,-52,0.8282548476454293,-1.5317286652078792,20,34,-14
BLiMP,only_npi_licensor_present,882,80.04535147392289,74.94331065759637,74.82993197278913,-5.102040816326522,5,50,-45,0.9291784702549575,-0.11337868480724467,20,21,-1
BLiMP,only_npi_scope,837,74.67144563918757,71.92353643966547,74.79091995221027,-2.7479091995220983,11,34,-23,0.9456,2.867383512544805,33,9,24
BLiMP,passive_1,840,77.38095238095238,76.30952380952381,77.14285714285715,-1.0714285714285694,10,19,-9,0.9707692307692307,0.8333333333333428,17,10,7
BLiMP,passive_2,903,73.20044296788483,72.75747508305648,72.97895902547066,-0.4429678848283487,9,13,-4,0.9803328290468987,0.22148394241418146,12,10,2
BLiMP,principle_A_c_command,946,49.471458773784356,47.4630021141649,49.15433403805497,-2.008456659619455,19,38,-19,0.9188034188034188,1.6913319238900684,40,24,16
