pair_id,origin,domains,source_words,second_words,view_content_recall,repeat_content_recall,supplied_content_recall,supplied_entity_recall,view_anchor_recall,repeat_anchor_recall,view_bigram_coverage,repeat_bigram_coverage,view_trigram_coverage,repeat_trigram_coverage,view_sequence_ratio,repeat_sequence_ratio,view_complete,repeat_complete,view_pronoun_shift,repeat_pronoun_shift,view_voice_shift,repeat_voice_shift,view_anchor_order_inversion,repeat_anchor_order_inversion,view_prep_shift,repeat_prep_shift,view_event_reexpression,repeat_event_reexpression,view_identity_variation,repeat_identity_variation,view_role_reexpression,repeat_role_reexpression,source_state_hits,view_state_hits,repeat_state_hits,source_property_hits,view_property_hits,repeat_property_hits,view_entity_signature_hits,repeat_entity_signature_hits
compact:frontier_consolidation_fwcompact_expansion_015416,war_expansion_accepted,no_domain,18,11,0.875,1.0,0.6666666666666666,1.0,nan,0.0,0.3,0.9,0.1111111111111111,0.8888888888888888,0.6206896551724138,0.6896551724137931,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
compact:frontier_consolidation_fwcompact_expansion_032292,war_expansion_accepted,no_domain,18,11,0.75,1.0,0.6666666666666666,1.0,nan,0.0,0.4,0.8888888888888888,0.2222222222222222,0.75,0.5,0.4444444444444444,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
compact:frontier_consolidation_fwcompact_expansion_040363,war_expansion_accepted,institutions_society,18,11,0.7,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.36363636363636365,0.9,0.2,0.7777777777777778,0.26666666666666666,0.6206896551724138,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_044297,medium_unused_accepted,no_domain,18,11,0.75,1.0,0.6666666666666666,1.0,nan,0.0,0.4,0.9,0.2222222222222222,0.7777777777777778,0.5517241379310345,0.5517241379310345,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_004075,war_expansion_accepted,geography_places,18,11,0.7777777777777778,1.0,0.6,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.6206896551724138,0.7586206896551724,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
compact:frontier_consolidation_fwcompact_expansion_011714,war_expansion_accepted,no_domain,18,11,0.6666666666666666,1.0,0.6,1.0,nan,0.0,0.4,0.9,0.3333333333333333,0.8888888888888888,0.4827586206896552,0.6896551724137931,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_015139,war_expansion_accepted,no_domain,18,11,0.75,1.0,0.6,1.0,1.0,0.0,0.3,0.9090909090909091,0.1111111111111111,0.8,0.5333333333333333,0.5806451612903226,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_025070,war_expansion_accepted,institutions_society,18,11,0.75,1.0,0.6,1.0,nan,nan,0.3,1.0,0.0,1.0,0.5517241379310345,0.7586206896551724,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
compact:frontier_consolidation_fwcompact_expansion_027032,war_expansion_accepted,no_domain,18,11,0.75,1.0,0.6,1.0,nan,nan,0.4,1.0,0.1111111111111111,1.0,0.27586206896551724,0.7586206896551724,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_039974,medium_unused_accepted,no_domain,18,11,0.75,1.0,0.6,1.0,nan,0.0,0.3,0.9,0.1111111111111111,0.7777777777777778,0.3448275862068966,0.4827586206896552,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
compact:frontier_consolidation_fwcompact_medium_046545,medium_unused_accepted,media_culture,18,11,0.7777777777777778,1.0,0.6,1.0,1.0,0.5,0.6363636363636364,0.9090909090909091,0.5,0.8,0.5806451612903226,0.45161290322580644,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
compact:frontier_consolidation_fwcompact_expansion_033217,war_expansion_accepted,no_domain,17,10,0.75,1.0,0.6666666666666666,1.0,nan,nan,0.2222222222222222,1.0,0.125,1.0,0.5185185185185185,0.7407407407407407,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,2
compact:frontier_consolidation_fwcompact_expansion_051219,war_expansion_accepted,no_domain,17,10,0.7777777777777778,1.0,0.6666666666666666,1.0,nan,0.0,0.4444444444444444,0.8888888888888888,0.125,0.75,0.37037037037037035,0.5925925925925926,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
compact:frontier_consolidation_fwcompact_expansion_057101,war_expansion_accepted,science_physical,17,10,0.75,1.0,0.6666666666666666,1.0,nan,0.0,0.5555555555555556,0.8888888888888888,0.375,0.75,0.5925925925925926,0.4444444444444444,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_053792,war_expansion_accepted,no_domain,18,11,0.75,1.0,0.5555555555555556,1.0,nan,nan,0.5,1.0,0.2222222222222222,1.0,0.5517241379310345,0.7586206896551724,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
compact:frontier_consolidation_fwcompact_expansion_004791,war_expansion_accepted,no_domain,16,10,0.75,1.0,0.75,1.0,nan,0.0,0.4444444444444444,0.8888888888888888,0.25,0.75,0.6153846153846154,0.46153846153846156,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
compact:frontier_consolidation_fwcompact_medium_015982,medium_unused_accepted,geography_places,16,10,0.75,1.0,0.75,1.0,1.0,0.6666666666666666,0.2222222222222222,0.8888888888888888,0.0,0.75,0.15384615384615385,0.46153846153846156,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_009282,war_expansion_accepted,no_domain,17,10,0.7142857142857143,1.0,0.625,1.0,nan,0.0,0.3333333333333333,0.8888888888888888,0.25,0.75,0.37037037037037035,0.5925925925925926,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0
compact:frontier_consolidation_fwcompact_expansion_035283,war_expansion_accepted,no_domain,17,10,0.75,1.0,0.625,1.0,nan,nan,0.3333333333333333,1.0,0.125,1.0,0.5185185185185185,0.7407407407407407,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1
