arm,checkpoint,seed,role2,probe_id,pair_id,token_class,neutral_nll,target_token_id,source_token_len,rewrite_token_len,source_words,rewrite_words
D_C_43022,chck_80M,43022,C,rewritecond:28:19:compact:fwcompact_medium_026879,compact:fwcompact_medium_026879,nonoverlap,5.041769504547119,10719,56,21,36,16
D_C_43022,chck_80M,43022,C,rewritecond:28:0:compact:fwcompact_medium_026879,compact:fwcompact_medium_026879,overlap,10.62732982635498,8808,56,21,36,16
D_C_43022,chck_80M,43022,C,rewritecond:28:15:compact:fwcompact_medium_026879,compact:fwcompact_medium_026879,overlap,10.743196487426758,1213,56,21,36,16
D_C_43022,chck_80M,43022,C,rewritecond:29:1:compact:fwcompact_medium_059184,compact:fwcompact_medium_059184,nonoverlap,2.614988327026367,542,46,24,38,20
D_C_43022,chck_80M,43022,C,rewritecond:29:18:compact:fwcompact_medium_059184,compact:fwcompact_medium_059184,nonoverlap,6.466907024383545,3231,46,24,38,20
D_C_43022,chck_80M,43022,C,rewritecond:29:0:compact:fwcompact_medium_059184,compact:fwcompact_medium_059184,overlap,9.583569526672363,5035,46,24,38,20
D_C_43022,chck_80M,43022,C,rewritecond:29:22:compact:fwcompact_medium_059184,compact:fwcompact_medium_059184,overlap,5.212467193603516,3602,46,24,38,20
D_C_43022,chck_80M,43022,C,rewritecond:30:2:compact:fwcompact_medium_035107,compact:fwcompact_medium_035107,nonoverlap,9.912782669067383,8190,53,26,41,18
D_C_43022,chck_80M,43022,C,rewritecond:30:17:compact:fwcompact_medium_035107,compact:fwcompact_medium_035107,nonoverlap,5.112785339355469,661,53,26,41,18
D_C_43022,chck_80M,43022,C,rewritecond:30:0:compact:fwcompact_medium_035107,compact:fwcompact_medium_035107,overlap,17.15993309020996,12189,53,26,41,18
D_C_43022,chck_80M,43022,C,rewritecond:30:24:compact:fwcompact_medium_035107,compact:fwcompact_medium_035107,overlap,5.937279224395752,6520,53,26,41,18
D_C_43022,chck_80M,43022,C,rewritecond:31:2:compact:fwcompact_medium_048225,compact:fwcompact_medium_048225,nonoverlap,4.4408769607543945,4542,55,30,48,24
D_C_43022,chck_80M,43022,C,rewritecond:31:23:compact:fwcompact_medium_048225,compact:fwcompact_medium_048225,nonoverlap,5.971096038818359,2971,55,30,48,24
D_C_43022,chck_80M,43022,C,rewritecond:31:3:compact:fwcompact_medium_048225,compact:fwcompact_medium_048225,overlap,4.663837432861328,1797,55,30,48,24
D_C_43022,chck_80M,43022,C,rewritecond:31:28:compact:fwcompact_medium_048225,compact:fwcompact_medium_048225,overlap,9.275732040405273,6318,55,30,48,24
D_C_43022,chck_80M,43022,C,rewritecond:32:3:compact:fwcompact_medium_042222,compact:fwcompact_medium_042222,nonoverlap,6.195531845092773,849,50,26,47,22
D_C_43022,chck_80M,43022,C,rewritecond:32:17:compact:fwcompact_medium_042222,compact:fwcompact_medium_042222,nonoverlap,11.327770233154297,755,50,26,47,22
D_C_43022,chck_80M,43022,C,rewritecond:32:1:compact:fwcompact_medium_042222,compact:fwcompact_medium_042222,overlap,6.154455184936523,3303,50,26,47,22
D_C_43022,chck_80M,43022,C,rewritecond:32:24:compact:fwcompact_medium_042222,compact:fwcompact_medium_042222,overlap,4.192233085632324,1348,50,26,47,22
D_C_43022,chck_80M,43022,C,rewritecond:33:0:compact:fwcompact_medium_038001,compact:fwcompact_medium_038001,nonoverlap,9.160295486450195,1120,14,7,12,5
D_C_43022,chck_80M,43022,C,rewritecond:33:4:compact:fwcompact_medium_038001,compact:fwcompact_medium_038001,nonoverlap,6.727826118469238,1888,14,7,12,5
D_C_43022,chck_80M,43022,C,rewritecond:33:1:compact:fwcompact_medium_038001,compact:fwcompact_medium_038001,overlap,10.889922142028809,3412,14,7,12,5
D_C_43022,chck_80M,43022,C,rewritecond:33:5:compact:fwcompact_medium_038001,compact:fwcompact_medium_038001,overlap,13.06863021850586,11569,14,7,12,5
D_C_43022,chck_80M,43022,C,rewritecond:34:2:compact:fwcompact_medium_054480,compact:fwcompact_medium_054480,nonoverlap,6.1303205490112305,2591,13,7,10,6
