seed,checkpoint,group,contrast,n,delta_accuracy_pct_a_minus_b,acc_a,acc_b,mean_reported_numops,mean_relevant_updates,mean_total_ops,mean_prefix_words,delta_stale_wrong_pct_a_minus_b,stale_wrong_a,stale_wrong_b
43122,chck_80M,rel2_total3,RminusV,49,-10.204081632653063,12.244897959183673,22.448979591836736,2.0,2.0,3.0,84.0204081632653,-30.0,50.0,80.0
43122,chck_80M,rel2_total4,VminusC,73,0.0,24.65753424657534,24.65753424657534,2.0136986301369864,2.0,4.0,93.53424657534246,-18.75,31.25,50.0
43122,chck_80M,rel2_total4,VminusR,73,12.32876712328767,24.65753424657534,12.32876712328767,2.0136986301369864,2.0,4.0,93.53424657534246,-8.75,31.25,40.0
43122,chck_80M,rel2_total4,CminusR,73,12.32876712328767,24.65753424657534,12.32876712328767,2.0136986301369864,2.0,4.0,93.53424657534246,10.0,50.0,40.0
43122,chck_80M,rel2_total4,RminusC,73,-12.32876712328767,12.32876712328767,24.65753424657534,2.0136986301369864,2.0,4.0,93.53424657534246,-10.0,40.0,50.0
43122,chck_80M,rel2_total4,RminusV,73,-12.32876712328767,12.32876712328767,24.65753424657534,2.0136986301369864,2.0,4.0,93.53424657534246,8.75,40.0,31.25
43122,chck_80M,rel2_total5,VminusC,94,6.382978723404253,22.340425531914892,15.957446808510639,2.0106382978723403,2.0,5.0,99.8936170212766,-5.692307692307693,52.0,57.69230769230769
43122,chck_80M,rel2_total5,VminusR,94,7.446808510638297,22.340425531914892,14.893617021276595,2.0106382978723403,2.0,5.0,99.8936170212766,0.14814814814814525,52.0,51.851851851851855
43122,chck_80M,rel2_total5,CminusR,94,1.0638297872340434,15.957446808510639,14.893617021276595,2.0106382978723403,2.0,5.0,99.8936170212766,5.840455840455839,57.69230769230769,51.851851851851855
43122,chck_80M,rel2_total5,RminusC,94,-1.0638297872340434,14.893617021276595,15.957446808510639,2.0106382978723403,2.0,5.0,99.8936170212766,-5.840455840455839,51.851851851851855,57.69230769230769
43122,chck_80M,rel2_total5,RminusV,94,-7.446808510638297,14.893617021276595,22.340425531914892,2.0106382978723403,2.0,5.0,99.8936170212766,-0.14814814814814525,51.851851851851855,52.0
43122,chck_80M,rel2_total6,VminusC,111,0.9009009009009006,23.423423423423422,22.52252252252252,2.036036036036036,2.0,6.0,107.55855855855856,-1.5151515151515156,50.0,51.515151515151516
43122,chck_80M,rel2_total6,VminusR,111,3.6036036036036023,23.423423423423422,19.81981981981982,2.036036036036036,2.0,6.0,107.55855855855856,-5.555555555555557,50.0,55.55555555555556
