basin,checkpoint,words,group,numops_group,split_group,view_macro_score_pp,repeat_macro_score_pp,macro_delta_pp_view_minus_repeat,micro_accuracy_delta_view_minus_repeat,pred_option0_frac_delta_view_minus_repeat,pred_not_in_options_frac_delta_view_minus_repeat,n_scored_view,n_scored_repeat
seed43022_first_basin,chck_90M,90000000,numops_2,2,all,22.496689516215735,18.80399890708147,3.6926906091342637,0.03697617091207889,0.03697617091207889,0.0,1217,1217
seed43022_first_basin,chck_90M,90000000,numops_3,3,all,26.693490919679565,18.917783655068977,7.775707264610588,0.07822580645161287,0.07822580645161287,0.0,1240,1240
seed43022_first_basin,chck_90M,90000000,numops_4,4,all,32.24800435298885,24.019245125733196,8.228759227255654,0.08255319148936172,0.08255319148936172,0.0,1175,1175
seed43022_first_basin,chck_90M,90000000,numops_5,5,all,33.73093984057962,23.115407786506335,10.615532054073288,0.10510510510510512,0.10510510510510512,0.0,333,333
seed43022_first_basin,chck_90M,90000000,regular_nonzero_ops,nonzero,regular,26.039677885152383,18.112614469687195,7.927063415465188,0.07437536316095295,0.07437536316095295,0.0,1721,1721
seed43022_first_basin,chck_90M,90000000,regular_zero_ops,zero,regular,40.232108317214696,55.89941972920697,-15.667311411992273,-0.15667311411992269,-0.15667311411992269,0.0,517,517
seed43022_first_basin,chck_90M,90000000,split_ambiref,all,ambiref,27.117947189550325,23.794395515169587,3.323551674380738,0.027213822894168488,0.027213822894168488,0.0,2315,2315
seed43022_first_basin,chck_90M,90000000,split_move_contents,all,move_contents,29.04832471427314,25.383916461576884,3.664408252696255,0.013022002694207446,0.013022002694207446,0.0,2227,2227
seed43022_first_basin,chck_90M,90000000,split_regular,all,regular,28.405082957162765,24.410415346273822,3.9946676108889427,0.021000893655049147,0.021000893655049147,0.0,2238,2238
seed43022_first_basin,chck_90M,90000000,zero_ops,zero,all,38.37153615660397,48.78533018827642,-10.413794031672445,-0.10447761194029853,-0.10447761194029853,0.0,1541,1541
seed43022_first_basin,chck_100M,100000000,all_18_subtasks,all,all,28.091994136541672,24.20146791108955,3.8905262254521205,0.023303834808259594,,,6780,6780
