uid,domain,idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,pattern,te430,te431,accuracy_interaction,margin_interaction,A_all_occ,B_all_occ,min_all_occ,A_changed_occ,B_changed_occ,min_changed_occ
physical-relations_331,physical-relations,331,contain,inside,indirect,variable swap,variable swap,0100,1,0,-1,-8.664161682128906,160,1910,160,56,84,56
social-relations_861,social-relations,861,landlord,tenant,indirect,variable swap,variable swap,1110,0,-1,-1,-8.65992546081543,44,22,22,1,1,1
social-relations_773,social-relations,773,landlord,tenant,direct,variable swap,variable swap,0010,0,-1,-1,-8.593902587890625,44,22,22,1,1,1
material-dynamics_371,material-dynamics,371,pour,rip ,indirect,material,concept swap,0100,1,0,-1,-8.546371459960938,319,88,88,1,0,0
material-dynamics_641,material-dynamics,641,stir,rip ,indirect,material,concept swap,0100,1,0,-1,-8.546371459960938,149,88,88,6,0,0
material-dynamics_44,material-dynamics,44,break,rip ,direct,material,concept swap,0110,1,-1,-2,-8.507136344909668,1374,88,88,41,0,0
material-dynamics_24,material-dynamics,24,break,flap,direct,material,concept swap,0110,1,-1,-2,-8.507136344909668,1374,75,75,41,0,0
material-dynamics_58,material-dynamics,58,break,ripple,direct,material,concept swap,0110,1,-1,-2,-8.507136344909668,1374,12,12,41,0,0
physical-relations_536,physical-relations,536,support,supported,indirect,variable swap,variable swap,0100,1,0,-1,-8.427658081054688,915,258,258,165,30,30
social-relations_1324,social-relations,1324,teacher,student,direct,antonym,variable swap,0010,0,-1,-1,-8.423727035522461,887,409,409,59,113,59
material-dynamics_452,material-dynamics,452,rip ,stir,indirect,material,concept swap,0100,1,0,-1,-8.366443634033203,88,149,88,0,6,0
social-relations_856,social-relations,856,landlord,tenant,indirect,variable swap,variable swap,0111,1,0,-1,-8.293678283691406,44,22,22,1,1,1
material-dynamics_593,material-dynamics,593,squeeze,stir,indirect,material,concept swap,1110,0,-1,-1,-8.230480194091797,146,149,146,4,6,4
social-interactions_185,social-interactions,185,teach,learn,direct,variable swap,concept swap,1110,0,-1,-1,-8.130962371826172,484,1010,484,33,147,33
social-interactions_187,social-interactions,187,teach,learn,direct,variable swap,concept swap,1110,0,-1,-1,-8.130962371826172,484,1010,484,33,147,33
social-interactions_203,social-interactions,203,teach,learn,direct,variable swap,variable swap,1110,0,-1,-1,-8.130962371826172,484,1010,484,33,147,33
physical-relations_497,physical-relations,497,support,supported,indirect,variable swap,concept swap,0100,1,0,-1,-8.075230598449707,915,258,258,165,30,30
