uid,domain,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,old_instability_pattern,correct_43022,correct_43122,margin_43022,margin_43122,margin_seed_delta_430_minus_431,old_sent_len0,old_sent_len1,new_sent_len0,new_sent_len1,delta_sent_len0_new_minus_old,delta_sent_len1_new_minus_old,mean_sentence_len_delta_new_minus_old,delta_candidate_length_asymmetry_new_minus_old,old_target_len0,old_target_len1,new_target_len0,new_target_len1,target_len_delta_new_minus_old
material-dynamics_56,material-dynamics,break,ripple,direct,material,concept swap,1110,0,0,-1.8680877685546875,-1.22100830078125,-0.6470794677734375,12,11,12,11,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_64,material-dynamics,break,ripple,direct,material,concept swap,0010,0,0,-0.25882434844970703,-1.6881561279296875,1.4293317794799805,11,10,11,10,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_68,material-dynamics,break,ripple,direct,material,concept swap,0010,0,0,-0.3766765594482422,-0.9401464462280273,0.5634698867797852,11,10,11,10,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_92,material-dynamics,break,splash,direct,material,concept swap,1110,0,0,-1.8680877685546875,-1.22100830078125,-0.6470794677734375,12,11,12,11,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_96,material-dynamics,break,splash,direct,material,concept swap,0010,0,0,-0.25882434844970703,-1.6881561279296875,1.4293317794799805,11,10,11,10,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_98,material-dynamics,break,splash,direct,material,concept swap,0010,0,0,-0.3766765594482422,-0.9401464462280273,0.5634698867797852,11,10,11,10,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_155,material-dynamics,drape,stir,direct,material,concept swap,1110,1,0,1.1473655700683594,-0.6905231475830078,1.8378887176513672,14,14,14,14,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_157,material-dynamics,drape,stir,direct,material,concept swap,1110,1,0,0.6435642242431641,-0.3173713684082031,0.9609355926513672,14,14,14,14,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_159,material-dynamics,drape,stir,direct,material,concept swap,1110,1,0,0.5632419586181641,-1.5617008209228516,2.1249427795410156,12,12,14,14,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_162,material-dynamics,drape,stir,direct,material,concept swap,0010,0,1,-1.2435417175292969,0.5923290252685547,-1.8358707427978516,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_166,material-dynamics,drape,stir,direct,material,concept swap,0111,1,1,1.0305404663085938,1.498779296875,-0.46823883056640625,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_191,material-dynamics,flap,drip,direct,material,concept swap,0111,0,1,-0.9356651306152344,3.7028942108154297,-4.638559341430664,11,11,11,11,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_193,material-dynamics,flap,drip,direct,material,concept swap,0111,1,1,0.3459339141845703,4.127586364746094,-3.7816524505615234,12,12,12,12,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_195,material-dynamics,flap,drip,direct,material,concept swap,0111,0,1,-0.6239738464355469,5.1372222900390625,-5.761196136474609,11,11,12,12,1,1,1.0,0,4,4,4,4,0.0
material-dynamics_197,material-dynamics,flap,drip,direct,material,concept swap,0111,0,1,-0.4028491973876953,3.7672061920166016,-4.170055389404297,11,11,11,11,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_199,material-dynamics,flap,drip,direct,material,concept swap,0111,0,1,-0.9150943756103516,3.02471923828125,-3.9398136138916016,11,11,11,11,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_210,material-dynamics,fold,pour,direct,material,concept swap,0111,1,1,1.632883071899414,1.7571659088134766,-0.1242828369140625,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_214,material-dynamics,fold,pour,direct,material,concept swap,0111,0,0,-1.4721317291259766,-0.19198989868164062,-1.280141830444336,12,12,14,14,2,2,2.0,0,5,5,6,6,1.0
material-dynamics_218,material-dynamics,fold,pour,direct,material,concept swap,0111,1,1,2.0027427673339844,0.08052635192871094,1.9222164154052734,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_232,material-dynamics,fold,stir,direct,material,concept swap,0111,1,1,1.632883071899414,1.7571659088134766,-0.1242828369140625,12,12,12,12,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_234,material-dynamics,fold,stir,direct,material,concept swap,0111,1,0,0.22600364685058594,-0.6384754180908203,0.8644790649414062,14,14,14,14,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_235,material-dynamics,fold,stir,direct,material,concept swap,1110,1,0,1.1473655700683594,-0.6905231475830078,1.8378887176513672,14,14,14,14,0,0,0.0,0,6,6,6,6,0.0
material-dynamics_13,material-dynamics,break,drip,indirect,material,concept swap,1111,1,1,1.5612201690673828,2.1976394653320312,-0.6364192962646484,10,10,10,10,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_15,material-dynamics,break,drip,indirect,material,concept swap,1111,1,0,0.2059192657470703,-0.42601585388183594,0.6319351196289062,9,10,11,10,2,0,1.0,2,4,4,4,4,0.0
material-dynamics_17,material-dynamics,break,drip,indirect,material,concept swap,1111,1,1,2.8815460205078125,3.4024524688720703,-0.5209064483642578,9,10,9,10,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_19,material-dynamics,break,drip,indirect,material,concept swap,1111,1,1,0.3764019012451172,3.365032196044922,-2.9886302947998047,9,11,9,11,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_30,material-dynamics,break,flap,indirect,material,concept swap,1111,1,0,2.4012413024902344,-0.66412353515625,3.0653648376464844,8,9,8,9,0,0,0.0,0,3,3,3,3,0.0
material-dynamics_34,material-dynamics,break,flap,indirect,material,concept swap,1111,1,1,0.9223041534423828,0.33490753173828125,0.5873966217041016,9,9,9,10,0,1,0.5,-1,3,3,3,3,0.0
material-dynamics_39,material-dynamics,break,flap,indirect,material,concept swap,1111,0,1,-0.1846027374267578,2.2462940216064453,-2.430896759033203,9,11,9,11,0,0,0.0,0,4,4,4,4,0.0
material-dynamics_53,material-dynamics,break,ripple,direct,material,concept swap,1111,1,1,1.4776191711425781,5.724544525146484,-4.246925354003906,12,13,12,13,0,0,0.0,0,5,5,5,5,0.0
material-dynamics_61,material-dynamics,break,ripple,direct,material,concept swap,1111,1,1,6.136316299438477,6.544460296630859,-0.4081439971923828,12,13,13,14,1,1,1.0,0,5,5,5,5,0.0
material-dynamics_65,material-dynamics,break,ripple,direct,material,concept swap,1111,1,1,1.3949108123779297,6.0583648681640625,-4.663454055786133,12,13,12,13,0,0,0.0,0,5,5,5,5,0.0
