column,subtask,coherent86_n,coherent86_acc,dense_seed62064_n,dense_seed62064_acc,dense_seed62065_n,dense_seed62065_acc,clean_seed62064_n,clean_seed62064_acc,clean_seed62065_n,clean_seed62065_acc,dense_seed62064_delta_vs_coherent86,dense_seed62065_delta_vs_coherent86,clean_seed62064_delta_vs_coherent86,clean_seed62065_delta_vs_coherent86,clean_seed65_minus_seed64
EWoK,social-properties,328,46.646341463414636,328,45.1219512195122,328,44.81707317073171,328,44.81707317073171,328,44.81707317073171,-1.5243902439024382,-1.8292682926829258,-1.8292682926829258,-1.8292682926829258,0.0
EWoK,social-relations,1548,50.645994832041346,1548,50.968992248062015,1548,50.51679586563308,1548,51.22739018087855,1548,50.90439276485788,0.32299741602066945,-0.12919896640826778,0.581395348837205,0.25839793281653556,-0.32299741602066945
EWoK,spatial-relations,490,46.53061224489796,490,46.734693877551024,490,46.734693877551024,490,47.142857142857146,490,47.142857142857146,0.20408163265306456,0.20408163265306456,0.6122448979591866,0.6122448979591866,0.0
Entity,ambiref_0_ops,508,25.19685039370079,508,23.818897637795274,508,23.818897637795274,508,23.4251968503937,508,24.212598425196852,-1.3779527559055147,-1.3779527559055147,-1.7716535433070888,-0.984251968503937,0.7874015748031518
Entity,ambiref_1_ops,428,14.953271028037383,428,14.018691588785046,428,13.785046728971963,428,15.186915887850468,428,14.953271028037383,-0.934579439252337,-1.16822429906542,0.2336448598130847,0.0,-0.2336448598130847
Entity,ambiref_2_ops,413,24.93946731234867,413,24.455205811138015,413,24.213075060532688,413,24.69733656174334,413,24.69733656174334,-0.4842615012106535,-0.7263922518159802,-0.24213075060532674,-0.24213075060532674,0.0
Entity,ambiref_3_ops,409,26.65036674816626,409,28.850855745721272,409,28.60635696821516,409,28.60635696821516,409,28.60635696821516,2.200488997555013,1.9559902200488999,1.9559902200488999,1.9559902200488999,0.0
Entity,ambiref_4_ops,434,34.56221198156682,434,37.55760368663594,434,37.55760368663594,434,36.175115207373274,434,36.63594470046083,2.9953917050691246,2.9953917050691246,1.6129032258064555,2.0737327188940142,0.4608294930875587
Entity,ambiref_5_ops,123,31.70731707317073,123,36.58536585365854,123,37.39837398373984,123,35.77235772357724,123,35.77235772357724,4.878048780487806,5.691056910569106,4.065040650406505,4.065040650406505,0.0
Entity,move_contents_0_ops,516,45.542635658914726,516,42.44186046511628,516,42.44186046511628,516,42.82945736434109,516,42.82945736434109,-3.100775193798448,-3.100775193798448,-2.7131782945736376,-2.7131782945736376,0.0
