family,role,checkpoint,group,n,mean_gain,mean_intact_nll,mean_control_nll,mean_true_source_nll,mean_unrelated_source_nll,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates
entity,R,chck_80M,rel_updates_2,489,,,,,,0.23680786364892753,0.11069863949329088,-0.3202093807953755,-0.12184197527255505
entity,R,chck_80M,rel_updates_3,296,,,,,,0.08382365510270402,0.23885848957139091,-0.3465285905309626,-0.23010452695795008
entity,R,chck_80M,rel_updates_4,326,,,,,,0.4112577072681825,0.15201608608105432,-0.3805582940212788,-0.3335683228779424
entity,R,chck_80M,rel_updates_5,94,,,,,,0.025682469631763214,0.1743783874714628,-0.15588135414935173,-0.3795730661838613
entity,R,chck_90M,ALL,1221,,,,,,0.2838030734284797,0.17269096093330102,-0.34561263958417815,-0.24802714444690802
entity,R,chck_90M,rel_ge2,1205,,,,,,0.28465781053566835,0.17461991329905402,-0.3443992215073455,-0.24551798535580457
entity,R,chck_90M,rel_ge3,716,,,,,,0.3054169393118533,0.21460637733257015,-0.34576921189963483,-0.31431927960678185
entity,R,chck_90M,rel_updates_1,16,,,,,,0.21943068504333496,0.027416735887527466,-0.436998188495636,-0.436998188495636
entity,R,chck_90M,rel_updates_2,489,,,,,,0.2542620309779005,0.11607122567533715,-0.3423932642049341,-0.14477825798627544
entity,R,chck_90M,rel_updates_3,296,,,,,,0.0817718860265371,0.26268901132248546,-0.34717679104289495,-0.23845708289661924
entity,R,chck_90M,rel_updates_4,326,,,,,,0.5316274268495524,0.1800965633860395,-0.38735961328986235,-0.3403571807533685
entity,R,chck_90M,rel_updates_5,94,,,,,,0.22514371415402026,0.18288020377463482,-0.19709778339304823,-0.4629028376112593
entity,RS,chck_100M,ALL,1221,,,,,,0.2585041399962779,0.09685461302451868,-0.24636907395918187,-0.18777427831504503
entity,RS,chck_100M,rel_ge2,1205,,,,,,0.24955057603195,0.10155308325755645,-0.24439150337361695,-0.1850186855466534
entity,RS,chck_100M,rel_ge3,716,,,,,,0.29853354519305947,0.11731346226271304,-0.2681300893176201,-0.23146648080655316
entity,RS,chck_100M,rel_updates_1,16,,,,,,0.9328194260597229,-0.2569989264011383,-0.3953048586845398,-0.3953048586845398
entity,RS,chck_100M,rel_updates_2,489,,,,,,0.17782909153429277,0.0784765364933599,-0.20963316485438122,-0.11700923481845661
entity,RS,chck_100M,rel_updates_3,296,,,,,,0.022277884386681223,0.0284237708594348,-0.34276250568596095,-0.3494387397894988
entity,RS,chck_100M,rel_updates_4,326,,,,,,0.5144227304341603,0.18645204722515643,-0.26560696868077377,-0.14204463051872018
entity,RS,chck_100M,rel_updates_5,94,,,,,,0.4197229197684755,0.15744292989690253,-0.04186777104722693,-0.1701019545818897
entity,RS,chck_60M,ALL,1221,,,,,,0.2537421789645758,0.03436337036738915,-0.25995829728272585,-0.23889113917495264
entity,RS,chck_60M,rel_ge2,1205,,,,,,0.2502312505888246,0.034740193750848414,-0.2593945297462812,-0.23804764173832177
entity,RS,chck_60M,rel_ge3,716,,,,,,0.3365304866316598,0.039935232207761795,-0.279738415885904,-0.3148682783435843
entity,RS,chck_60M,rel_updates_1,16,,,,,,0.5181589722633362,0.005983859300613403,-0.3024170398712158,-0.3024170398712158
entity,RS,chck_60M,rel_updates_2,489,,,,,,0.1238708149923625,0.027133552574672582,-0.22960675372180275,-0.1255658916169149
entity,RS,chck_60M,rel_updates_3,296,,,,,,-0.03878666903521564,-0.013229345147674149,-0.3094560906693742,-0.33157479763031006
entity,RS,chck_60M,rel_updates_4,326,,,,,,0.48296955246135503,0.07197508782696871,-0.2829284243788456,-0.2675776715658925
entity,RS,chck_60M,rel_updates_5,94,,,,,,1.0105171102158568,0.09623014673273614,-0.17509613392200876,-0.4262683645207831
entity,RS,chck_70M,ALL,1221,,,,,,0.22284401624931066,0.07356165082214505,-0.22351354580253582,-0.21820316638837184
entity,RS,chck_70M,rel_ge2,1205,,,,,,0.2147831930659124,0.07705405262990611,-0.22183921584449864,-0.21645832516840385
entity,RS,chck_70M,rel_ge3,716,,,,,,0.2590975524992916,0.08505107304237408,-0.24288981054082262,-0.28501785733846313
entity,RS,chck_70M,rel_updates_1,16,,,,,,0.8299247622489929,-0.18945986032485962,-0.3496115207672119,-0.3496115207672119
entity,RS,chck_70M,rel_updates_2,489,,,,,,0.14989754612460457,0.06534471394825567,-0.19101666819098537,-0.11607258890304098
entity,RS,chck_70M,rel_updates_3,296,,,,,,0.12403304190249057,0.06465314127303459,-0.2783684408342516,-0.367458635890806
entity,RS,chck_70M,rel_updates_4,326,,,,,,0.31128224053997205,0.08462232753543035,-0.27394192716095345,-0.22597390522986102
entity,RS,chck_70M,rel_updates_5,94,,,,,,0.5034261358545181,0.1507697840954395,-0.023478485168294705,-0.23018655878432254
entity,RS,chck_80M,ALL,1221,,,,,,0.25997476866751007,0.08490257757204073,-0.24090726272089377,-0.18664191083572226
entity,RS,chck_80M,rel_ge2,1205,,,,,,0.2520296334231048,0.08901003099576071,-0.23941328456293004,-0.18442739688509233
entity,RS,chck_80M,rel_ge3,716,,,,,,0.3184717124400858,0.10398508217081677,-0.26358287361081084,-0.22414732911733276
entity,RS,chck_80M,rel_updates_1,16,,,,,,0.8583427667617798,-0.22444000840187073,-0.35342249274253845,-0.35342249274253845
entity,RS,chck_80M,rel_updates_2,489,,,,,,0.15474429891153346,0.06708337119751913,-0.2040238658343356,-0.12626896850414315
entity,RS,chck_80M,rel_updates_3,296,,,,,,0.09334535937051515,0.04483440276738759,-0.3250529927176398,-0.33365237471219655
entity,RS,chck_80M,rel_updates_4,326,,,,,,0.48629273739329143,0.13506756530948943,-0.2847576338820662,-0.16487847515410442
entity,RS,chck_80M,rel_updates_5,94,,,,,,0.4453626313108079,0.18245009919430347,0.003418478559940419,-0.08487235992512804
entity,RS,chck_90M,ALL,1221,,,,,,0.24977047027475419,0.10164924072106289,-0.24558862011321347,-0.1883426858791067
entity,RS,chck_90M,rel_ge2,1205,,,,,,0.24108865152256123,0.10626386319947935,-0.24377220240866002,-0.18576615618472278
entity,RS,chck_90M,rel_ge3,716,,,,,,0.292959677773481,0.122730219497361,-0.26570806989456686,-0.23042719990181523
entity,RS,chck_90M,rel_updates_1,16,,,,,,0.9036199450492859,-0.24588951468467712,-0.38238757848739624,-0.38238757848739624
entity,RS,chck_90M,rel_updates_2,489,,,,,,0.16513843721651106,0.08215361553223342,-0.2116534271123219,-0.12037288971961398
entity,RS,chck_90M,rel_updates_3,296,,,,,,0.023009194715602976,0.04075621430938308,-0.3393445200211293,-0.3445682549798811
entity,RS,chck_90M,rel_updates_4,326,,,,,,0.5128775886231405,0.18161807835467755,-0.2687555836753611,-0.16057132870141713
entity,RS,chck_90M,rel_updates_5,94,,,,,,0.3803224867962776,0.1766330232011511,-0.02326255149029671,-0.11327040956375446
entity,V,chck_100M,ALL,1221,,,,,,0.13176480440894275,0.10982721589999937,-0.3415981590699017,-0.2774698033282056
entity,V,chck_100M,rel_ge2,1205,,,,,,0.12379385129050101,0.11207526798564864,-0.3405522035859927,-0.27557235100457284
entity,V,chck_100M,rel_ge3,716,,,,,,0.10189050935500162,0.14502725487980764,-0.33216405680725697,-0.32818336160489303
entity,V,chck_100M,rel_updates_1,16,,,,,,0.7320772111415863,-0.059479206800460815,-0.4203716814517975,-0.4203716814517975
entity,V,chck_100M,rel_updates_2,489,,,,,,0.15586500226354305,0.06382655097906818,-0.35283423445219886,-0.19853864223191586
entity,V,chck_100M,rel_updates_3,296,,,,,,-0.14249730512902542,0.16872256510966532,-0.2793891542666667,-0.3121862798123746
entity,V,chck_100M,rel_updates_4,326,,,,,,0.3746763087489122,0.12097608165506936,-0.43745950979689147,-0.34104422484438845
entity,V,chck_100M,rel_updates_5,94,,,,,,-0.07459223016779473,0.15382375108434798,-0.1331752640135745,-0.33395458282308377
entity,V,chck_60M,ALL,1221,,,,,,0.25271208846695986,0.09657799836361047,-0.3716576956609153,-0.320286767195718
entity,V,chck_60M,rel_ge2,1205,,,,,,0.2448270184370492,0.09765025589970633,-0.36943748205034566,-0.3173844499706727
entity,V,chck_60M,rel_ge3,716,,,,,,0.3402834541304817,0.1292292835326168,-0.38419205449812904,-0.40719574023891425
entity,V,chck_60M,rel_updates_1,16,,,,,,0.8465564250946045,0.0158236026763916,-0.5388675332069397,-0.5388675332069397
entity,V,chck_60M,rel_updates_2,489,,,,,,0.10505849500862854,0.05141184325110937,-0.3478336500000125,-0.1858816200482577
entity,V,chck_60M,rel_updates_3,296,,,,,,0.11972632762548086,0.13595762848854065,-0.36210253029256256,-0.3756841872189496
entity,V,chck_60M,rel_updates_4,326,,,,,,0.557900593324673,0.13306488727499372,-0.4570428213458851,-0.4186589308311603
entity,V,chck_60M,rel_updates_5,94,,,,,,0.28008900804722564,0.0947399545223155,-0.20109789675854622,-0.4666682887584605
entity,V,chck_70M,ALL,1221,,,,,,0.10359716454458276,0.11708504991586047,-0.2901157695284444,-0.2155022281393665
entity,V,chck_70M,rel_ge2,1205,,,,,,0.09685951407024969,0.11902867946387327,-0.2906571367469566,-0.21505287613611498
entity,V,chck_70M,rel_ge3,716,,,,,,0.1014449759568582,0.1413310696292856,-0.2854871903051877,-0.2587919448341071
entity,V,chck_70M,rel_updates_1,16,,,,,,0.6110264658927917,-0.02929455041885376,-0.24934405088424683,-0.24934405088424683
entity,V,chck_70M,rel_updates_2,489,,,,,,0.09014542263709695,0.08637323701308548,-0.2982270378764178,-0.1510095771836357
entity,V,chck_70M,rel_updates_3,296,,,,,,-0.0326235266150655,0.13044480053154198,-0.2811619329291421,-0.28453246363111445
entity,V,chck_70M,rel_updates_4,326,,,,,,0.20956066305651985,0.13742621398410915,-0.3361378736291195,-0.2065125956125786
entity,V,chck_70M,rel_updates_5,94,,,,,,0.14866372879515302,0.18915360785545188,-0.12344626923824878,-0.35904592656074685
entity,V,chck_80M,ALL,1221,,,,,,0.11072515933656185,0.10652616236856197,-0.3265391330461244,-0.2554527619742254
