family,group,contrast,role_a,role_b,n_checkpoints,n_a,n_b,late_mean_delta_mean_gain_a_minus_b,late_sd_delta_mean_gain_a_minus_b,positive_checkpoints_mean_gain,negative_checkpoints_mean_gain,late_mean_delta_mean_intact_nll_a_minus_b,late_sd_delta_mean_intact_nll_a_minus_b,positive_checkpoints_mean_intact_nll,negative_checkpoints_mean_intact_nll,late_mean_delta_mean_control_nll_a_minus_b,late_sd_delta_mean_control_nll_a_minus_b,positive_checkpoints_mean_control_nll,negative_checkpoints_mean_control_nll,late_mean_delta_mean_true_source_nll_a_minus_b,late_sd_delta_mean_true_source_nll_a_minus_b,positive_checkpoints_mean_true_source_nll,negative_checkpoints_mean_true_source_nll,late_mean_delta_mean_unrelated_source_nll_a_minus_b,late_sd_delta_mean_unrelated_source_nll_a_minus_b,positive_checkpoints_mean_unrelated_source_nll,negative_checkpoints_mean_unrelated_source_nll,late_mean_delta_mean_margin_full_a_minus_b,late_sd_delta_mean_margin_full_a_minus_b,positive_checkpoints_mean_margin_full,negative_checkpoints_mean_margin_full,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_sd_delta_mean_effect_no_initial_qbox_a_minus_b,positive_checkpoints_mean_effect_no_initial_qbox,negative_checkpoints_mean_effect_no_initial_qbox,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_sd_delta_mean_effect_no_last_relevant_update_a_minus_b,positive_checkpoints_mean_effect_no_last_relevant_update,negative_checkpoints_mean_effect_no_last_relevant_update,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b,late_sd_delta_mean_effect_no_all_relevant_updates_a_minus_b,positive_checkpoints_mean_effect_no_all_relevant_updates,negative_checkpoints_mean_effect_no_all_relevant_updates
entity,rel_ge3,RminusRS,R,RS,5,716,716,,,,,,,,,,,,,,,,,,,,,-0.018113092537032825,0.042578416248979,2,3,0.06562258617838002,0.031214306255027323,5,0,-0.1084445294055193,0.035777720741521725,0,5,-0.08288749213325244,0.013962210196500298,0,5
entity,rel_ge3,RSminusR,RS,R,5,716,716,,,,,,,,,,,,,,,,,,,,,0.018113092537032825,0.042578416248979,3,2,-0.06562258617838002,0.031214306255027323,0,5,0.1084445294055193,0.035777720741521725,5,0,0.08288749213325244,0.013962210196500298,5,0
entity,rel_ge3,VminusC,V,C,5,716,716,,,,,,,,,,,,,,,,,,,,,0.07757214517566745,0.15305300746500183,2,3,0.05011295719519674,0.024605833699645377,5,0,-0.06559452544377503,0.048617393848812356,0,5,-0.09561518760366812,0.09352600260870556,1,4
entity,rel_ge3,RSminusV,RS,V,5,716,716,,,,,,,,,,,,,,,,,,,,,0.15430803145776248,0.08261728639507507,4,1,-0.04545344500568327,0.024640409678240417,0,5,0.06287271373764765,0.02199497318622889,5,0,0.06454363375402696,0.04587820166216427,4,1
entity,rel_updates_1,RminusC,R,C,5,16,16,,,,,,,,,,,,,,,,,,,,,-0.17122302055358887,0.10081348152144952,1,4,-0.05176184773445129,0.04597758261000171,1,4,-0.09781436324119568,0.11579681948252965,1,4,-0.09781436324119568,0.11579681948252965,1,4
entity,rel_updates_1,RSminusC,RS,C,5,16,16,,,,,,,,,,,,,,,,,,,,,0.45481193661689756,0.1112929581710821,5,0,-0.26090307235717775,0.10544964127664969,0,5,-0.061211252212524415,0.0919751511853689,1,4,-0.061211252212524415,0.0919751511853689,1,4
entity,rel_updates_1,RminusRS,R,RS,5,16,16,,,,,,,,,,,,,,,,,,,,,-0.6260349571704864,0.19842358770456525,0,5,0.20914122462272644,0.09276061306165645,5,0,-0.03660311102867127,0.034525150979984445,1,4,-0.03660311102867127,0.034525150979984445,1,4
entity,rel_updates_1,RSminusR,RS,R,5,16,16,,,,,,,,,,,,,,,,,,,,,0.6260349571704864,0.19842358770456525,5,0,-0.20914122462272644,0.09276061306165645,0,5,0.03660311102867127,0.034525150979984445,4,1,0.03660311102867127,0.034525150979984445,4,1
entity,rel_updates_1,VminusC,V,C,5,16,16,,,,,,,,,,,,,,,,,,,,,0.39181525707244874,0.131741842735264,5,0,-0.12066435813903809,0.07438361455871055,1,4,-0.11115056276321411,0.1991711476583301,1,4,-0.11115056276321411,0.1991711476583301,1,4
entity,rel_updates_1,RSminusV,RS,V,5,16,16,,,,,,,,,,,,,,,,,,,,,0.06299667954444885,0.2065516980830571,4,1,-0.14023871421813966,0.0667417837783881,0,5,0.049939310550689696,0.10774778831351713,4,1,0.049939310550689696,0.10774778831351713,4,1
